Ladekurvenmessung
Zeit: 2018_05_04 10.04.57
Info: FVA3, v = 1.05, T = 23, F = 20, h = 591.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	-0.000841	-0.002484	0.001296	0.002282	-0.001169
1	0.001789	-0.001991	0.001132	-0.002977	0.005241
2	-0.002155	-0.001827	0.007049	0.000967	0.001132
3	-0.000676	-0.002484	-0.000183	0.001954	0.002611
4	0.000639	-0.005278	0.001625	0.001296	0.004419
5	-1.9e-05	-0.001334	0.001625	0.002447	0.00409
6	-0.000347	-0.005278	-1.9e-05	0.001625	0.001954
7	-0.002155	-0.001498	-0.001334	0.002611	0.001954
8	0.000803	-0.002155	0.001296	0.000474	0.000146
9	0.002611	-0.006264	-0.000183	0.003268	0.004419
10	0.004419	-0.003963	0.001132	-0.002977	0.002118
11	-0.000347	-0.003635	0.000639	0.00409	0.003104
12	0.000639	-0.003799	0.000967	0.00031	0.001789
13	0.000967	-0.002977	-0.00988	0.001625	0.000967
14	0.001789	-0.00347	0.000146	-0.000676	-0.001498
15	-0.000347	-0.004292	0.000967	0.001296	0.001132
16	0.00146	-0.002484	-0.001498	0.001296	0.000803
17	-0.001827	-0.001991	0.001789	0.001954	0.00031
18	-0.004128	-0.005443	-1.9e-05	0.00146	0.001789
19	-0.001827	-0.002813	-0.001169	0.000967	0.002611
20	-0.000347	-0.002648	-0.000676	0.002282	0.001954
21	-0.001662	-0.002155	-0.000183	0.002775	-0.000183
22	0.000474	-0.00232	-0.000512	0.006884	0.000474
23	0.003433	-0.004785	0.000967	0.001789	-0.000676
24	0.002282	-0.003306	-0.014153	0.002447	0.002118
25	-0.000676	-0.002648	-0.001498	0.000474	-0.001169
26	-0.001169	-0.002813	0.003433	0.002447	0.001954
27	0.003104	-0.003306	-0.002484	-1.9e-05	0.000146
28	-0.001334	-0.004292	-0.003963	0.001296	0.000967
29	0.002282	-0.002648	-0.001991	-0.002484	-0.000347
30	-0.002484	-0.000676	-0.003306	0.002611	-0.001498
31	0.002118	-0.001991	-0.003963	0.003268	-1.9e-05
32	-0.00232	-0.002155	0.001132	-0.000512	-0.003306
33	0.00031	-0.004621	-0.000183	0.001954	-0.001498
34	-0.001498	-0.003799	0.00146	0.00146	-0.003799
35	-0.000347	-0.004785	-0.003306	-0.001169	-0.000183
