FileName	Kap_1_F	Kap_2_F	Kap_3_F	Kap_4_F	Kap_5_F	Kap_6_F	Kap_7_F	Kap_8_F	Kap_9_F	Kap_10_F
2018_05_02_15_05_57_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.023070e-10	9.688285e-11	9.784722e-11	9.542949e-11	9.857447e-11
2018_05_02_15_06_03_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.765989e-11
2018_05_02_15_10_14_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10
2018_05_02_15_10_22_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.924342e-11
2018_05_02_15_10_32_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.024392e-10
2018_05_02_15_10_41_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.762689e-11
2018_05_02_15_11_47_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.018849e-10
2018_05_02_15_11_57_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10
2018_05_02_15_12_05_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.577664e-11
2018_05_02_15_12_15_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.524623e-10
2018_05_02_15_12_22_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.348460e-10
2018_05_02_15_13_26_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.400936e-11
2018_05_02_15_13_33_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.155075e-10
2018_05_02_15_13_40_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.963703e-11
2018_05_02_15_13_46_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.047023e-10
2018_05_02_15_14_50_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.979345e-11
2018_05_02_15_14_56_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.836778e-11
2018_05_02_15_15_02_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.259750e-11
2018_05_02_15_15_07_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.943029e-11
2018_05_02_15_15_14_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.473276e-11
2018_05_02_15_18_38_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.957172e-11
2018_05_02_15_18_44_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.969836e-11
2018_05_02_15_18_50_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.203850e-11
2018_05_02_15_18_57_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.102724e-10
2018_05_02_15_19_06_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.029822e-10
2018_05_02_15_21_41_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.688096e-11
