Datum;Zeit;Text;Pt;Rt;Ra;Rq;Rsk;RzISO;Rpm;Rz;Rp;Rmax;Rku;Rv;Wt;Rpk*;Rpk;Rk;Rvk*;Rvk;Mr1;Mr2;A1;A2;Vo(70.0 %) 0.001*
08.05.18;08:31:03;Mess3_cr_quer;1.09;1.02;0.08;0.13;-2.288;0.68;0.19;0.64;0.19;0.88;11.763;0.45;0.28;0.26;0.07;0.10;0.72;0.52;12.0;83.7;3.97;42.21;8.17
08.05.18;08:33:15;Mess4_cr_quer;1.22;1.03;0.12;0.14;0.214;0.84;0.31;0.57;0.31;1.03;2.636;0.26;0.89;0.27;0.19;0.34;0.44;0.23;9.4;80.9;8.77;22.05;3.96
08.05.18;08:34:54;Mess5_cr_quer;0.19;0.19;0.02;0.03;0.024;0.18;0.08;0.16;0.08;0.19;2.695;0.08;0.00;0.05;0.03;0.07;0.07;0.03;9.0;89.4;1.18;1.62;0.79
08.05.18;08:35:22;Mess6_cr_quer;0.85;0.40;0.04;0.05;0.100;0.23;0.14;0.26;0.14;0.39;2.914;0.12;0.30;0.14;0.07;0.10;0.17;0.11;11.3;85.9;3.89;8.05;2.11
08.05.18;08:36:41;Mess7_cr_quer;0.54;0.44;0.04;0.05;-0.009;0.29;0.14;0.27;0.14;0.44;2.776;0.14;0.38;0.14;0.08;0.11;0.19;0.11;9.8;86.0;3.76;7.41;2.03
08.05.18;08:37:03;Mess8_cr_quer;0.50;0.45;0.03;0.04;-0.042;0.23;0.10;0.21;0.10;0.45;2.792;0.11;0.29;0.14;0.06;0.08;0.23;0.09;9.4;87.2;2.60;5.76;1.70
08.05.18;08:38:48;Mess9_cr_quer;0.55;0.42;0.05;0.06;0.161;0.34;0.14;0.27;0.14;0.42;2.491;0.13;0.35;0.12;0.07;0.12;0.19;0.11;10.5;79.6;3.60;11.42;2.10
08.05.18;08:39:10;Mess10_cr_quer;0.25;0.25;0.02;0.03;0.012;0.21;0.09;0.17;0.09;0.25;2.771;0.09;0.01;0.08;0.03;0.08;0.09;0.04;7.7;89.4;1.22;2.02;0.92
08.05.18;08:41:17;Mess11_Si_quer;0.70;0.78;0.07;0.08;0.066;0.49;0.21;0.38;0.21;0.70;2.595;0.18;0.40;0.27;0.13;0.12;0.40;0.38;11.3;84.3;7.11;29.59;6.16
08.05.18;08:41:39;Mess12_Si_quer;0.15;0.15;0.02;0.02;0.040;0.13;0.06;0.12;0.06;0.15;2.619;0.06;0.01;0.04;0.02;0.06;0.05;0.02;8.6;89.5;0.82;1.15;0.57
08.05.18;08:42:55;Mess13_Si_quer;0.63;0.14;0.02;0.02;0.014;0.13;0.06;0.12;0.06;0.13;2.724;0.06;0.02;0.04;0.02;0.05;0.04;0.02;9.9;87.8;0.98;1.50;0.59
08.05.18;08:43:37;Mess14_Si_quer;0.15;0.15;0.01;0.02;-0.027;0.13;0.06;0.12;0.06;0.14;3.088;0.06;0.00;0.05;0.02;0.05;0.05;0.02;8.7;90.2;0.73;1.07;0.54
08.05.18;08:45:24;Mess15_cr_laengs;0.16;0.16;0.02;0.02;-0.024;0.14;0.06;0.13;0.06;0.16;2.452;0.07;0.01;0.03;0.02;0.07;0.05;0.02;6.9;90.4;0.64;1.06;0.63
08.05.18;08:45:45;Mess16_cr_laengs;0.89;0.86;0.04;0.06;-0.837;0.40;0.14;0.38;0.14;0.78;5.187;0.24;0.21;0.18;0.05;0.06;0.63;0.27;11.4;87.5;2.78;17.08;4.37
08.05.18;08:47:03;Mess17_cr_laengs;0.22;0.22;0.02;0.03;-0.048;0.17;0.08;0.16;0.08;0.22;2.375;0.09;0.00;0.05;0.02;0.09;0.08;0.02;5.8;91.5;0.54;1.01;0.71
08.05.18;08:47:23;Mess18_cr_laengs;1.04;1.08;0.11;0.15;0.034;0.84;0.35;0.65;0.35;1.06;2.693;0.29;0.74;0.42;0.24;0.12;0.53;0.62;16.7;76.4;19.72;73.72;9.83
08.05.18;08:48:32;Mess19_cr_laengs;0.15;0.15;0.02;0.02;0.015;0.13;0.06;0.12;0.06;0.15;3.117;0.06;0.02;0.05;0.02;0.05;0.06;0.02;8.7;89.3;0.86;1.22;0.55
08.05.18;08:48:50;Mess20_cr_laengs;0.19;0.19;0.03;0.03;0.042;0.18;0.08;0.16;0.08;0.19;2.377;0.08;0.01;0.05;0.02;0.09;0.05;0.03;5.5;93.1;0.61;1.05;0.88
08.05.18;08:49:45;Mess21_cr_laengs;0.92;0.68;0.05;0.07;0.063;0.49;0.17;0.34;0.17;0.68;3.388;0.17;0.78;0.22;0.14;0.08;0.38;0.23;14.3;79.6;9.86;23.45;3.74
08.05.18;08:50:09;Mess22_cr_laengs;0.15;0.14;0.02;0.02;-0.054;0.13;0.06;0.12;0.06;0.14;2.898;0.06;0.02;0.05;0.02;0.05;0.04;0.02;8.9;88.3;0.76;1.25;0.52
08.05.18;08:50:32;Mess23_Si_laengs;0.19;0.16;0.02;0.02;-0.065;0.14;0.06;0.13;0.06;0.16;2.595;0.07;0.03;0.03;0.02;0.06;0.07;0.02;7.2;91.0;0.59;1.04;0.62
