Frequency,Z,?°
1 kHz,12.5512 m?,9.1472 °
2 kHz,12.9822 m?,18.1333 °
3 kHz,13.6941 m?,26.4755 °
4 kHz,14.502 m?,33.8442 °
5 kHz,15.9946 m?,41.0554 °
6 kHz,17.4359 m?,46.0381 °
7 kHz,18.9505 m?,50.5278 °
8 kHz,20.6272 m?,54.4804 °
9 kHz,22.3045 m?,57.521 °
10 kHz,24.1291 m?,60.3563 °
11 kHz,25.7944 m?,63.2858 °
12 kHz,27.6132 m?,65.2004 °
13 kHz,29.0672 m?,66.2839 °
14 kHz,31.7858 m?,68.3836 °
15 kHz,34.1468 m?,68.8868 °
16 kHz,35.615 m?,70.4823 °
17 kHz,37.2238 m?,71.8911 °
18 kHz,39.5309 m?,72.8348 °
19 kHz,41.6562 m?,73.3624 °
20 kHz,43.063 m?,74.6253 °
21 kHz,45.3685 m?,75.9433 °
22 kHz,47.3894 m?,76.2484 °
23 kHz,49.4631 m?,77.2454 °
24 kHz,51.5561 m?,77.3641 °
25 kHz,53.4462 m?,78.3011 °
26 kHz,55.3632 m?,78.8645 °
27 kHz,57.5208 m?,79.3343 °
28 kHz,59.4852 m?,79.6356 °
29 kHz,61.7336 m?,80.0756 °
30 kHz,64.1623 m?,80.4778 °
31 kHz,65.9046 m?,80.1822 °
32 kHz,67.6964 m?,80.79 °
33 kHz,70.0464 m?,81.4882 °
34 kHz,72.1649 m?,81.8017 °
35 kHz,73.9976 m?,81.8508 °
36 kHz,76.171 m?,82.4509 °
37 kHz,78.3795 m?,82.5951 °
38 kHz,80.7226 m?,82.8481 °
39 kHz,82.9884 m?,83.1414 °
40 kHz,85.2441 m?,83.3801 °
41 kHz,88.2464 m?,84.0887 °
42 kHz,91.0679 m?,84.6731 °
43 kHz,94.1545 m?,85.138 °
44 kHz,90.6294 m?,81.4084 °
45 kHz,93.1205 m?,81.9579 °
46 kHz,95.7301 m?,82.3671 °
47 kHz,98.4955 m?,82.9816 °
48 kHz,101.047 m?,83.5912 °
49 kHz,103.473 m?,83.8312 °
50 kHz,106.468 m?,84.2813 °
51 kHz,108.395 m?,84.3316 °
52 kHz,110.465 m?,84.6444 °
53 kHz,112.371 m?,84.8875 °
54 kHz,114.82 m?,85.0445 °
55 kHz,116.865 m?,85.0963 °
56 kHz,118.752 m?,85.336 °
57 kHz,121.091 m?,85.2541 °
58 kHz,123.07 m?,85.446 °
59 kHz,125.271 m?,85.4694 °
60 kHz,127.389 m?,85.551 °
61 kHz,129.662 m?,85.6065 °
62 kHz,131.598 m?,85.8486 °
63 kHz,134.15 m?,85.9226 °
64 kHz,136.307 m?,86.2166 °
65 kHz,140.725 m?,86.4378 °
66 kHz,142.946 m?,86.5186 °
67 kHz,145.016 m?,86.6878 °
68 kHz,147.104 m?,86.6842 °
69 kHz,149.476 m?,86.8524 °
70 kHz,151.399 m?,86.8122 °
71 kHz,153.47 m?,86.9719 °
72 kHz,155.538 m?,86.9431 °
73 kHz,157.928 m?,87.0741 °
74 kHz,159.779 m?,87.1466 °
75 kHz,161.793 m?,87.1402 °
76 kHz,164.142 m?,87.2372 °
77 kHz,166.084 m?,87.2163 °
78 kHz,168.174 m?,87.2287 °
79 kHz,170.524 m?,87.2672 °
80 kHz,173.032 m?,87.3952 °
81 kHz,174.712 m?,87.393 °
82 kHz,177.169 m?,87.4834 °
83 kHz,179.177 m?,87.5468 °
84 kHz,181.754 m?,87.4877 °
85 kHz,183.734 m?,87.6544 °
86 kHz,185.636 m?,87.683 °
87 kHz,188.086 m?,87.7903 °
88 kHz,190.387 m?,87.7907 °
89 kHz,192.513 m?,87.7661 °
90 kHz,194.658 m?,87.9567 °
91 kHz,196.69 m?,87.8138 °
92 kHz,198.874 m?,87.866 °
93 kHz,201.239 m?,88.0225 °
94 kHz,203.272 m?,87.9329 °
95 kHz,205.515 m?,87.9148 °
96 kHz,207.487 m?,87.9463 °
97 kHz,209.654 m?,87.9744 °
98 kHz,211.783 m?,88.0318 °
99 kHz,213.864 m?,87.977 °
