Frequency,Z,?°
0.02 kHz,8.5007 m?,0.6193 °
0.04 kHz,8.5505 m?,1.123 °
0.06 kHz,8.807 m?,1.2577 °
0.08 kHz,8.5222 m?,2.113 °
0.1 kHz,8.5846 m?,1.5274 °
0.12 kHz,8.5252 m?,1.848 °
0.14 kHz,8.2028 m?,5.62 °
0.16 kHz,8.0942 m?,6.8577 °
0.18 kHz,8.3308 m?,5.0418 °
0.2 kHz,8.5703 m?,3.4251 °
0.22 kHz,8.5604 m?,4.2264 °
0.24 kHz,8.592 m?,5.2217 °
0.26 kHz,8.6141 m?,5.4466 °
0.28 kHz,8.5904 m?,5.2515 °
0.3 kHz,8.556 m?,4.9278 °
0.32 kHz,8.5864 m?,5.0578 °
0.34 kHz,8.5952 m?,5.4145 °
0.36 kHz,8.582 m?,5.6833 °
0.38 kHz,8.5819 m?,5.9572 °
0.4 kHz,8.5806 m?,6.3147 °
0.42 kHz,8.586 m?,6.619 °
0.44 kHz,8.568 m?,6.8129 °
0.46 kHz,8.59 m?,7.2732 °
0.48 kHz,8.5918 m?,7.5597 °
0.5 kHz,8.5879 m?,8.0182 °
0.52 kHz,8.5979 m?,8.1398 °
0.54 kHz,8.6009 m?,8.398 °
0.56 kHz,8.6132 m?,8.7452 °
0.58 kHz,8.6189 m?,9.1301 °
0.6 kHz,8.6223 m?,9.5931 °
0.62 kHz,8.608 m?,9.8449 °
0.64 kHz,8.5932 m?,10.1107 °
0.66 kHz,8.5943 m?,10.4386 °
0.68 kHz,8.5923 m?,10.7203 °
0.7 kHz,8.5992 m?,11.0625 °
0.72 kHz,8.6131 m?,11.3414 °
0.74 kHz,8.6271 m?,11.664 °
0.76 kHz,8.6598 m?,11.9847 °
0.78 kHz,8.6776 m?,12.3042 °
0.8 kHz,8.7056 m?,12.63 °
0.82 kHz,8.7074 m?,12.9804 °
0.84 kHz,8.714 m?,13.3247 °
0.86 kHz,8.7167 m?,13.6281 °
0.88 kHz,8.725 m?,13.9181 °
0.9 kHz,8.736 m?,14.2512 °
0.92 kHz,8.7468 m?,14.5236 °
0.94 kHz,8.756 m?,14.862 °
0.96 kHz,8.7742 m?,15.165 °
0.98 kHz,8.7799 m?,15.399 °
