Frequency,Z,?°
1 kHz,1.5632 m?,43.1754 °
2 kHz,2.3613 m?,61.0756 °
3 kHz,3.3146 m?,67.2288 °
4 kHz,4.2027 m?,75.2234 °
5 kHz,5.6125 m?,66.9926 °
6 kHz,6.3792 m?,82.3438 °
7 kHz,7.1871 m?,78.3976 °
8 kHz,8.0799 m?,78.245 °
9 kHz,8.9381 m?,78.3836 °
10 kHz,9.8255 m?,79.3042 °
11 kHz,9.8229 m?,82.402 °
12 kHz,10.8222 m?,83.1019 °
13 kHz,11.899 m?,83.9758 °
14 kHz,12.8077 m?,82.4424 °
15 kHz,13.9547 m?,81.6817 °
16 kHz,14.7615 m?,82.4038 °
17 kHz,15.8216 m?,83.2772 °
18 kHz,16.5128 m?,84.8765 °
19 kHz,17.3182 m?,84.9647 °
20 kHz,18.6604 m?,85.2587 °
21 kHz,19.2099 m?,85.935 °
22 kHz,20.1476 m?,85.862 °
23 kHz,21.3576 m?,85.3314 °
24 kHz,22.0216 m?,85.208 °
25 kHz,22.8952 m?,85.2 °
26 kHz,23.4539 m?,84.9097 °
27 kHz,24.4867 m?,84.9472 °
28 kHz,25.7039 m?,85.2769 °
29 kHz,26.6093 m?,85.2127 °
30 kHz,27.3491 m?,85.4495 °
31 kHz,28.1784 m?,83.884 °
32 kHz,28.4162 m?,85.1954 °
33 kHz,28.6587 m?,85.1817 °
34 kHz,29.5118 m?,85.9238 °
35 kHz,30.4135 m?,86.5325 °
36 kHz,31.3131 m?,84.5682 °
37 kHz,32.0613 m?,85.2736 °
38 kHz,33.1768 m?,85.3124 °
39 kHz,34.1918 m?,84.8013 °
40 kHz,34.9501 m?,84.239 °
41 kHz,36.8422 m?,85.4748 °
42 kHz,38.5278 m?,87.5306 °
43 kHz,40.1249 m?,88.7681 °
44 kHz,35.6798 m?,78.8385 °
45 kHz,37.033 m?,81.1046 °
46 kHz,38.3692 m?,82.095 °
47 kHz,39.7963 m?,83.6327 °
48 kHz,41.1078 m?,84.2935 °
49 kHz,43.0515 m?,85.2679 °
50 kHz,44.3333 m?,86.0809 °
51 kHz,45.1249 m?,85.9633 °
52 kHz,46.6251 m?,86.1149 °
53 kHz,47.158 m?,86.4968 °
54 kHz,48.2799 m?,87.1487 °
55 kHz,49.1011 m?,86.697 °
56 kHz,49.8204 m?,86.3413 °
57 kHz,50.3093 m?,85.9987 °
58 kHz,51.4501 m?,86.2924 °
59 kHz,52.5194 m?,86.2468 °
60 kHz,53.43 m?,86.2212 °
61 kHz,54.5036 m?,86.2478 °
62 kHz,55.1753 m?,86.2973 °
63 kHz,56.0733 m?,86.5321 °
64 kHz,57.2554 m?,87.1659 °
65 kHz,57.7391 m?,86.9107 °
66 kHz,58.7282 m?,87.2009 °
67 kHz,59.5541 m?,87.186 °
68 kHz,60.6248 m?,87.6174 °
69 kHz,60.9811 m?,87.3885 °
70 kHz,61.9584 m?,87.4441 °
71 kHz,63.0472 m?,87.2263 °
72 kHz,63.8822 m?,87.4505 °
73 kHz,64.4921 m?,87.502 °
74 kHz,65.399 m?,87.4182 °
75 kHz,66.1756 m?,87.5128 °
76 kHz,67.1346 m?,87.3482 °
77 kHz,67.7715 m?,87.3582 °
78 kHz,68.4753 m?,87.2357 °
79 kHz,69.0372 m?,87.2547 °
80 kHz,70.0068 m?,87.2601 °
81 kHz,71.2421 m?,87.3789 °
82 kHz,72.0787 m?,87.4481 °
83 kHz,73.1062 m?,87.3958 °
84 kHz,73.8579 m?,87.5275 °
85 kHz,74.6462 m?,87.5986 °
86 kHz,75.8383 m?,87.6093 °
87 kHz,76.6103 m?,87.5373 °
88 kHz,77.3699 m?,87.5745 °
89 kHz,78.5958 m?,87.7385 °
90 kHz,79.6275 m?,87.5764 °
91 kHz,80.4184 m?,87.7968 °
92 kHz,81.4147 m?,87.6588 °
93 kHz,82.1413 m?,87.5507 °
94 kHz,83.0235 m?,87.6699 °
95 kHz,83.9326 m?,87.5848 °
96 kHz,84.8368 m?,87.6217 °
97 kHz,85.6262 m?,87.4186 °
98 kHz,86.4253 m?,87.5666 °
99 kHz,87.2728 m?,87.4322 °
100 kHz,88.1564 m?,87.4241 °
