Frequency,Z,?°;;;Frequency,Z,?°;;;Frequency,Z,?°;;;Frequency,Z,?°;;;Frequency,Z,?°
0.02 kHz,1.2642 m?,9.5866 °;;;0.02 kHz,6.2437 m?,-177.904 °;;;0.02 kHz,9.7802 m?,179.754 °;;;0.02 kHz,36.5698 m?,179.909 °;;;0.02 kHz,37.5386 m?,179.834 °
0.04 kHz,1.5173 m?,0.2395 °;;;0.04 kHz,6.3905 m?,179.551 °;;;0.04 kHz,9.745 m?,179.801 °;;;0.04 kHz,36.5797 m?,179.997 °;;;0.04 kHz,37.5401 m?,179.934 °
0.06 kHz,1.3466 m?,8.7278 °;;;0.06 kHz,6.6054 m?,178.039 °;;;0.06 kHz,9.9288 m?,179.071 °;;;0.06 kHz,36.6365 m?,179.655 °;;;0.06 kHz,37.5907 m?,179.413 °
0.08 kHz,1.3305 m?,6.4839 °;;;0.08 kHz,6.6035 m?,179.02 °;;;0.08 kHz,9.916 m?,179.541 °;;;0.08 kHz,36.6229 m?,-179.988 °;;;0.08 kHz,37.5483 m?,179.694 °
0.1 kHz,1.4648 m?,5.2806 °;;;0.1 kHz,6.516 m?,178.845 °;;;0.1 kHz,9.8126 m?,179.812 °;;;0.1 kHz,36.5635 m?,-179.995 °;;;0.1 kHz,37.4182 m?,179.641 °
0.12 kHz,1.5082 m?,3.2491 °;;;0.12 kHz,6.5263 m?,179.17 °;;;0.12 kHz,9.7935 m?,179.907 °;;;0.12 kHz,36.4858 m?,-179.871 °;;;0.12 kHz,37.5184 m?,179.603 °
0.14 kHz,2.1489 m?,7.9228 °;;;0.14 kHz,6.0155 m?,176.47 °;;;0.14 kHz,9.2436 m?,178.741 °;;;0.14 kHz,35.8588 m?,179.812 °;;;0.14 kHz,36.7847 m?,179.377 °
0.16 kHz,2.4713 m?,12.6986 °;;;0.16 kHz,5.6562 m?,176.262 °;;;0.16 kHz,9.1019 m?,178.708 °;;;0.16 kHz,35.6347 m?,179.668 °;;;0.16 kHz,36.9418 m?,178.76 °
0.18 kHz,1.8955 m?,12.3253 °;;;0.18 kHz,6.2414 m?,176.87 °;;;0.18 kHz,9.5478 m?,178.834 °;;;0.18 kHz,36.1108 m?,179.838 °;;;0.18 kHz,37.0531 m?,179.249 °
0.2 kHz,1.4847 m?,10.8871 °;;;0.2 kHz,6.6816 m?,178.202 °;;;0.2 kHz,9.9222 m?,179.46 °;;;0.2 kHz,36.5406 m?,-179.892 °;;;0.2 kHz,37.4776 m?,179.379 °
0.22 kHz,1.4227 m?,19.7731 °;;;0.22 kHz,6.7564 m?,177.091 °;;;0.22 kHz,10.0361 m?,178.867 °;;;0.22 kHz,36.623 m?,179.925 °;;;0.22 kHz,37.5986 m?,179.076 °
0.24 kHz,1.4138 m?,24.705 °;;;0.24 kHz,6.8672 m?,175.55 °;;;0.24 kHz,10.1313 m?,177.802 °;;;0.24 kHz,36.6802 m?,179.778 °;;;0.24 kHz,37.6406 m?,178.852 °
0.26 kHz,1.411 m?,25.59 °;;;0.26 kHz,6.8668 m?,175.788 °;;;0.26 kHz,10.1266 m?,178.145 °;;;0.26 kHz,36.6394 m?,179.824 °;;;0.26 kHz,37.6226 m?,178.796 °
0.28 kHz,1.4865 m?,19.5728 °;;;0.28 kHz,6.7757 m?,176.949 °;;;0.28 kHz,10.1044 m?,178.53 °;;;0.28 kHz,36.5315 m?,-179.954 °;;;0.28 kHz,37.5648 m?,178.943 °
0.3 kHz,1.4835 m?,14.0605 °;;;0.3 kHz,6.792 m?,178.038 °;;;0.3 kHz,10.0251 m?,179.474 °;;;0.3 kHz,36.5121 m?,179.966 °;;;0.3 kHz,37.524 m?,179.012 °
0.32 kHz,1.515 m?,17.0507 °;;;0.32 kHz,6.7576 m?,177.145 °;;;0.32 kHz,10.0074 m?,179.137 °;;;0.32 kHz,36.4481 m?,179.832 °;;;0.32 kHz,37.4531 m?,178.865 °
0.34 kHz,1.5259 m?,16.5867 °;;;0.34 kHz,6.7652 m?,177.124 °;;;0.34 kHz,10.0264 m?,179.098 °;;;0.34 kHz,36.4322 m?,179.817 °;;;0.34 kHz,37.4562 m?,178.913 °
0.36 kHz,1.5675 m?,17.251 °;;;0.36 kHz,6.8137 m?,177.086 °;;;0.36 kHz,10.0495 m?,179.4 °;;;0.36 kHz,36.4281 m?,179.854 °;;;0.36 kHz,37.4654 m?,178.892 °
0.38 kHz,1.5418 m?,17.1486 °;;;0.38 kHz,6.8601 m?,177.478 °;;;0.38 kHz,10.0617 m?,179.41 °;;;0.38 kHz,36.456 m?,179.936 °;;;0.38 kHz,37.4447 m?,178.765 °
0.4 kHz,1.5328 m?,17.3193 °;;;0.4 kHz,6.8898 m?,177.326 °;;;0.4 kHz,10.1069 m?,179.573 °;;;0.4 kHz,36.4212 m?,179.942 °;;;0.4 kHz,37.4687 m?,178.826 °
0.42 kHz,1.5473 m?,15.7463 °;;;0.42 kHz,6.8341 m?,177.312 °;;;0.42 kHz,10.1311 m?,179.532 °;;;0.42 kHz,36.4031 m?,179.927 °;;;0.42 kHz,37.3935 m?,178.639 °
