Frequency,Z,?°
0.02 kHz,6.1882 m?,-179.134 °
0.04 kHz,3.5279 m?,178.179 °
0.06 kHz,3.6457 m?,-178.893 °
0.08 kHz,3.5402 m?,-178.877 °
0.1 kHz,3.3812 m?,177.59 °
0.12 kHz,3.4778 m?,175.52 °
0.14 kHz,2.9938 m?,165.649 °
0.16 kHz,2.8213 m?,167.077 °
0.18 kHz,3.1048 m?,169.504 °
0.2 kHz,3.4973 m?,174.129 °
0.22 kHz,3.6389 m?,172.193 °
0.24 kHz,3.78 m?,171.291 °
0.26 kHz,3.7683 m?,169.874 °
0.28 kHz,3.6018 m?,170.853 °
0.3 kHz,3.4925 m?,171.471 °
0.32 kHz,3.4938 m?,171.722 °
0.34 kHz,3.5286 m?,170.739 °
0.36 kHz,3.5246 m?,171.047 °
0.38 kHz,3.502 m?,169.677 °
0.4 kHz,3.5401 m?,167.908 °
0.42 kHz,3.4764 m?,167.249 °
0.44 kHz,3.4512 m?,168.589 °
0.46 kHz,3.5478 m?,167.067 °
0.48 kHz,3.4938 m?,165.949 °
0.5 kHz,3.4643 m?,165.895 °
0.52 kHz,3.479 m?,165.908 °
0.54 kHz,3.4974 m?,165.272 °
0.56 kHz,3.5522 m?,164.415 °
0.58 kHz,3.5685 m?,164.098 °
0.6 kHz,3.5796 m?,163.272 °
0.62 kHz,3.6336 m?,163.741 °
0.64 kHz,3.6854 m?,163.226 °
0.66 kHz,3.6921 m?,162.823 °
0.68 kHz,3.709 m?,162.133 °
0.7 kHz,3.7095 m?,161.91 °
0.72 kHz,3.6928 m?,161.966 °
0.74 kHz,3.8489 m?,161.594 °
0.76 kHz,3.8383 m?,160.419 °
0.78 kHz,3.7501 m?,160.041 °
0.8 kHz,3.7675 m?,159.433 °
0.82 kHz,3.7603 m?,159.042 °
0.84 kHz,3.802 m?,158.706 °
0.86 kHz,3.7696 m?,157.756 °
0.88 kHz,3.7736 m?,157.77 °
0.9 kHz,3.77 m?,157.248 °
0.92 kHz,3.7945 m?,156.703 °
0.94 kHz,3.7401 m?,156.593 °
0.96 kHz,3.7504 m?,155.649 °
0.98 kHz,3.7796 m?,155.783 °
