Frequency,Cp,Rp
1 kHz,1.1842 nF,471.296 k?
6 kHz,1.0226 nF,207.027 k?
11 kHz,990.196 pF,152.274 k?
16 kHz,974.969 pF,124.619 k?
21 kHz,965.418 pF,107.292 k?
26 kHz,958.427 pF,95.4029 k?
31 kHz,952.379 pF,85.9935 k?
36 kHz,948.018 pF,78.9148 k?
41 kHz,944.533 pF,73.3179 k?
46 kHz,941.647 pF,68.7065 k?
51 kHz,939.189 pF,64.6332 k?
56 kHz,937.269 pF,61.2747 k?
61 kHz,935.343 pF,58.2878 k?
66 kHz,933.624 pF,55.705 k?
71 kHz,932.039 pF,53.3096 k?
76 kHz,930.673 pF,51.2544 k?
81 kHz,929.428 pF,49.4065 k?
86 kHz,928.321 pF,47.7438 k?
91 kHz,927.337 pF,46.2592 k?
96 kHz,926.449 pF,44.8103 k?
101 kHz,927.521 pF,42.9939 k?
106 kHz,926.028 pF,44.8782 k?
111 kHz,923.089 pF,40.1271 k?
116 kHz,923.973 pF,41.0486 k?
121 kHz,921.774 pF,38.2365 k?
126 kHz,922.662 pF,37.7647 k?
131 kHz,923.594 pF,36.9351 k?
136 kHz,921.427 pF,35.9124 k?
141 kHz,921.054 pF,35.5398 k?
146 kHz,920.047 pF,34.1871 k?
151 kHz,920.425 pF,33.5616 k?
156 kHz,919.011 pF,32.7173 k?
161 kHz,918.55 pF,32.5907 k?
166 kHz,918.369 pF,31.5436 k?
171 kHz,918.235 pF,31.1768 k?
176 kHz,917.646 pF,30.7709 k?
181 kHz,916.92 pF,30.0461 k?
186 kHz,916.421 pF,29.5374 k?
191 kHz,915.861 pF,29.2278 k?
196 kHz,916.441 pF,28.0542 k?
201 kHz,915.87 pF,27.662 k?
206 kHz,915.626 pF,27.3705 k?
211 kHz,915.413 pF,26.8117 k?
216 kHz,914.894 pF,26.6875 k?
221 kHz,914.662 pF,26.284 k?
226 kHz,914.079 pF,25.8547 k?
231 kHz,913.978 pF,25.3603 k?
236 kHz,914.006 pF,25.2215 k?
241 kHz,913.616 pF,24.8783 k?
246 kHz,913.4 pF,24.6016 k?
251 kHz,913.101 pF,24.2195 k?
256 kHz,912.943 pF,23.8481 k?
261 kHz,912.552 pF,23.6309 k?
266 kHz,912.491 pF,23.2099 k?
271 kHz,912.267 pF,22.9263 k?
276 kHz,912.018 pF,22.7512 k?
281 kHz,911.834 pF,22.6339 k?
286 kHz,911.665 pF,22.2538 k?
291 kHz,911.428 pF,22.059 k?
296 kHz,911.341 pF,21.8143 k?
301 kHz,911.186 pF,21.3818 k?
306 kHz,908.546 pF,21.8311 k?
311 kHz,910.874 pF,21.0046 k?
316 kHz,910.715 pF,20.8767 k?
321 kHz,910.434 pF,20.5593 k?
326 kHz,910.065 pF,20.4267 k?
331 kHz,910.292 pF,20.0923 k?
336 kHz,910.147 pF,19.831 k?
341 kHz,910.044 pF,19.5968 k?
346 kHz,909.833 pF,19.5191 k?
351 kHz,909.942 pF,19.1532 k?
356 kHz,908.672 pF,18.9842 k?
361 kHz,909.44 pF,18.8714 k?
366 kHz,909.428 pF,18.6545 k?
371 kHz,909.285 pF,18.5231 k?
376 kHz,909.216 pF,18.3201 k?
381 kHz,909.172 pF,18.1553 k?
386 kHz,909.063 pF,17.9845 k?
391 kHz,909.19 pF,17.8057 k?
396 kHz,908.987 pF,17.6321 k?
401 kHz,908.799 pF,17.5097 k?
406 kHz,908.723 pF,17.2919 k?
411 kHz,908.585 pF,17.112 k?
416 kHz,908.475 pF,17.0514 k?
421 kHz,908.421 pF,16.8771 k?
426 kHz,908.336 pF,16.7711 k?
431 kHz,908.258 pF,16.6249 k?
436 kHz,908.14 pF,16.4386 k?
441 kHz,908.066 pF,16.3382 k?
446 kHz,908.025 pF,16.2282 k?
451 kHz,908.12 pF,16.1156 k?
456 kHz,907.796 pF,16.0958 k?
461 kHz,907.835 pF,15.8084 k?
466 kHz,907.839 pF,15.7067 k?
471 kHz,907.822 pF,15.5652 k?
476 kHz,907.659 pF,15.4068 k?
481 kHz,907.558 pF,15.3165 k?
486 kHz,907.579 pF,15.2278 k?
491 kHz,907.648 pF,15.0761 k?
496 kHz,907.566 pF,15.0054 k?
501 kHz,907.601 pF,14.8918 k?
