Frequency,Cp,Rp
500 kHz,905.766 pF,14.6468 k?
600 kHz,905.358 pF,12.9836 k?
700 kHz,905.661 pF,11.4833 k?
800 kHz,906.701 pF,10.2378 k?
900 kHz,907.949 pF,9.3622 k?
1,000 kHz,907.835 pF,9.3042 k?
1,100 kHz,907.936 pF,9.3305 k?
1,200 kHz,907.874 pF,9.2872 k?
1,300 kHz,907.957 pF,9.3032 k?
1,400 kHz,908.056 pF,9.2655 k?
1,500 kHz,907.897 pF,9.2707 k?
1,600 kHz,907.932 pF,9.3709 k?
1,700 kHz,907.846 pF,9.3578 k?
1,800 kHz,907.854 pF,9.2838 k?
1,900 kHz,907.837 pF,9.2401 k?
2,000 kHz,907.74 pF,9.2991 k?
2,100 kHz,907.942 pF,9.3587 k?
2,200 kHz,908.031 pF,9.1845 k?
2,300 kHz,907.899 pF,9.358 k?
2,400 kHz,907.954 pF,9.2789 k?
2,500 kHz,907.898 pF,9.3678 k?
2,600 kHz,908.09 pF,9.2813 k?
2,700 kHz,907.847 pF,9.273 k?
2,800 kHz,907.906 pF,9.2658 k?
2,900 kHz,907.938 pF,9.2519 k?
3,000 kHz,907.841 pF,9.3332 k?
3,100 kHz,907.896 pF,9.2251 k?
3,200 kHz,907.912 pF,9.2351 k?
3,300 kHz,907.97 pF,9.3159 k?
3,400 kHz,907.916 pF,9.2673 k?
3,500 kHz,907.886 pF,9.2596 k?
3,600 kHz,907.897 pF,9.319 k?
3,700 kHz,907.863 pF,9.3336 k?
3,800 kHz,907.894 pF,9.2592 k?
3,900 kHz,908.032 pF,9.2709 k?
4,000 kHz,907.919 pF,9.2749 k?
4,100 kHz,907.999 pF,9.3199 k?
4,200 kHz,907.91 pF,9.2484 k?
4,300 kHz,907.889 pF,9.3128 k?
4,400 kHz,907.855 pF,9.299 k?
4,500 kHz,907.859 pF,9.286 k?
4,600 kHz,907.817 pF,9.2951 k?
4,700 kHz,907.889 pF,9.1818 k?
4,800 kHz,908.063 pF,9.3847 k?
4,900 kHz,907.986 pF,9.2647 k?
5,000 kHz,907.76 pF,9.3163 k?
