Frequency,Cp,Rp
1 kHz,5.1311 nF,56.2538 ?
6 kHz,2.1139 nF,56.4994 ?
11 kHz,1.8589 nF,56.4471 ?
16 kHz,1.686 nF,56.3483 ?
21 kHz,1.573 nF,56.2886 ?
26 kHz,1.5076 nF,56.2764 ?
31 kHz,1.4606 nF,56.4202 ?
36 kHz,1.4232 nF,56.4465 ?
41 kHz,1.394 nF,56.5463 ?
46 kHz,1.3687 nF,56.6867 ?
51 kHz,1.3515 nF,56.8859 ?
56 kHz,1.3331 nF,57.0962 ?
61 kHz,1.3144 nF,57.4939 ?
66 kHz,1.2991 nF,57.8762 ?
71 kHz,1.275 nF,58.7361 ?
76 kHz,1.2645 nF,59.9686 ?
81 kHz,1.295 nF,58.2839 ?
86 kHz,1.2807 nF,58.0099 ?
91 kHz,1.311 nF,55.4965 ?
96 kHz,1.2983 nF,55.7639 ?
101 kHz,1.2692 nF,63.3312 ?
106 kHz,1.2934 nF,53.9019 ?
111 kHz,1.2792 nF,53.6191 ?
116 kHz,1.2602 nF,53.7016 ?
121 kHz,1.266 nF,53.7866 ?
126 kHz,1.2617 nF,53.9204 ?
131 kHz,1.2574 nF,54.505 ?
136 kHz,1.2528 nF,54.6785 ?
141 kHz,1.2417 nF,54.7181 ?
146 kHz,1.2384 nF,55.0396 ?
151 kHz,1.2335 nF,55.4259 ?
156 kHz,1.2212 nF,57.0866 ?
161 kHz,1.2343 nF,63.189 ?
166 kHz,1.2338 nF,54.8841 ?
171 kHz,1.2247 nF,54.7958 ?
176 kHz,1.2197 nF,55.3827 ?
181 kHz,1.2197 nF,54.4188 ?
186 kHz,1.2132 nF,55.3363 ?
191 kHz,1.2155 nF,54.6363 ?
196 kHz,1.2133 nF,53.6513 ?
201 kHz,1.2136 nF,52.7127 ?
206 kHz,1.2108 nF,52.416 ?
211 kHz,1.2124 nF,52.1274 ?
216 kHz,1.2085 nF,52.0827 ?
221 kHz,1.2051 nF,51.9704 ?
226 kHz,1.2002 nF,51.8475 ?
231 kHz,1.1982 nF,51.6711 ?
236 kHz,1.1974 nF,51.6046 ?
241 kHz,1.1947 nF,51.5353 ?
246 kHz,1.1935 nF,51.3917 ?
251 kHz,1.1881 nF,51.3311 ?
256 kHz,1.1868 nF,51.2874 ?
261 kHz,1.1863 nF,51.0477 ?
266 kHz,1.1819 nF,50.796 ?
271 kHz,1.1826 nF,50.6401 ?
276 kHz,1.1801 nF,50.5335 ?
281 kHz,1.1787 nF,50.4051 ?
286 kHz,1.1752 nF,50.3356 ?
291 kHz,1.1748 nF,50.3011 ?
296 kHz,1.1723 nF,50.2431 ?
301 kHz,1.1701 nF,50.2541 ?
306 kHz,1.1716 nF,50.183 ?
311 kHz,1.1665 nF,50.1724 ?
316 kHz,1.1643 nF,50.1301 ?
321 kHz,1.1628 nF,50.1376 ?
326 kHz,1.1616 nF,50.1434 ?
331 kHz,1.1601 nF,50.1035 ?
336 kHz,1.1581 nF,50.0709 ?
341 kHz,1.1572 nF,50.0009 ?
346 kHz,1.1545 nF,50.0243 ?
351 kHz,1.1525 nF,49.999 ?
356 kHz,1.1506 nF,49.9426 ?
361 kHz,1.1508 nF,49.9449 ?
366 kHz,1.148 nF,49.9292 ?
371 kHz,1.1483 nF,49.9204 ?
376 kHz,1.1465 nF,49.9053 ?
381 kHz,1.1455 nF,49.8932 ?
386 kHz,1.1446 nF,49.9337 ?
391 kHz,1.1426 nF,49.8902 ?
396 kHz,1.1417 nF,49.8651 ?
401 kHz,1.1403 nF,49.8421 ?
406 kHz,1.1393 nF,49.8535 ?
411 kHz,1.138 nF,49.8001 ?
416 kHz,1.1366 nF,49.7779 ?
421 kHz,1.1366 nF,49.7582 ?
426 kHz,1.1352 nF,49.7566 ?
431 kHz,1.1341 nF,49.7429 ?
436 kHz,1.1337 nF,49.7106 ?
441 kHz,1.1324 nF,49.7466 ?
446 kHz,1.1318 nF,49.7357 ?
451 kHz,1.131 nF,49.7131 ?
456 kHz,1.1304 nF,49.6502 ?
461 kHz,1.1277 nF,49.6579 ?
466 kHz,1.1284 nF,49.6313 ?
471 kHz,1.1264 nF,49.6202 ?
476 kHz,1.1264 nF,49.6222 ?
481 kHz,1.1258 nF,49.5998 ?
486 kHz,1.1254 nF,49.5994 ?
491 kHz,1.1241 nF,49.5742 ?
496 kHz,1.1241 nF,49.5905 ?
501 kHz,1.1229 nF,49.5173 ?
