Frequency,Cp,Rp
20 Hz,-27.0454 nF,50.0777 ?
50 Hz,-101.416 pF,50.1432 ?
80 Hz,2.1858 nF,49.562 ?
110 Hz,10.6899 nF,49.9102 ?
140 Hz,9.6402 nF,50.1731 ?
170 Hz,6.0429 nF,50.4054 ?
200 Hz,8.4938 nF,50.6275 ?
230 Hz,5.9219 nF,50.7285 ?
260 Hz,8.0768 nF,50.8433 ?
290 Hz,6.7669 nF,50.9465 ?
320 Hz,8.9132 nF,51.4102 ?
350 Hz,8.2509 nF,51.7484 ?
380 Hz,7.6422 nF,51.0366 ?
410 Hz,7.5806 nF,51.1804 ?
440 Hz,6.8876 nF,51.27 ?
470 Hz,7.0902 nF,51.4388 ?
500 Hz,6.8082 nF,51.6128 ?
530 Hz,6.8418 nF,51.984 ?
560 Hz,6.531 nF,52.1721 ?
590 Hz,7.0085 nF,52.5375 ?
620 Hz,6.6726 nF,52.9303 ?
650 Hz,6.7343 nF,54.06 ?
680 Hz,7.0231 nF,54.3523 ?
710 Hz,6.0091 nF,53.9823 ?
740 Hz,5.7526 nF,53.7135 ?
770 Hz,6.0663 nF,54.2277 ?
800 Hz,6.1543 nF,54.6588 ?
830 Hz,14.2924 nF,59.355 ?
860 Hz,6.2562 nF,49.0639 ?
890 Hz,5.5611 nF,48.8204 ?
920 Hz,5.2037 nF,48.7158 ?
950 Hz,5.1908 nF,48.7006 ?
980 Hz,5.5392 nF,48.9215 ?
