Frequency,R,X
20 Hz,64.4432 ?,4.446 m?
50 Hz,59.949 ?,-8.5411 m?
80 Hz,56.5505 ?,-26.5312 m?
110 Hz,56.6971 ?,-32.993 m?
140 Hz,57.8122 ?,-21.4787 m?
170 Hz,58.2365 ?,-42.6855 m?
200 Hz,58.9796 ?,-16.0208 m?
230 Hz,58.8256 ?,-39.6403 m?
260 Hz,58.9257 ?,-38.9452 m?
290 Hz,58.9108 ?,-41.7538 m?
320 Hz,58.7049 ?,-52.9251 m?
350 Hz,58.4857 ?,-66.3605 m?
380 Hz,58.3463 ?,-61.3937 m?
410 Hz,58.3566 ?,-67.7681 m?
440 Hz,58.439 ?,-81.152 m?
470 Hz,58.4608 ?,-73.1678 m?
500 Hz,56.0311 ?,-80.267 m?
530 Hz,55.6631 ?,-86.1683 m?
560 Hz,55.4309 ?,-80.4672 m?
590 Hz,55.2463 ?,-86.3743 m?
620 Hz,55.1029 ?,-90.5285 m?
650 Hz,55.0627 ?,-93.6279 m?
680 Hz,55.1449 ?,-99.8154 m?
710 Hz,55.0104 ?,-99.7543 m?
740 Hz,54.9107 ?,-102.671 m?
770 Hz,54.811 ?,-102.634 m?
800 Hz,54.6576 ?,-106.249 m?
830 Hz,54.5837 ?,-112.062 m?
860 Hz,54.4794 ?,-117.786 m?
890 Hz,54.3759 ?,-121.676 m?
920 Hz,54.2387 ?,-123.71 m?
950 Hz,54.1316 ?,-123.773 m?
980 Hz,54.0794 ?,-123.009 m?
