Frequency,Cp,Rp
1 kHz,7.4037 nF,3.4456 k?
6 kHz,3.4554 nF,2.9567 k?
11 kHz,2.8897 nF,2.7211 k?
16 kHz,2.617 nF,2.5509 k?
21 kHz,2.4432 nF,2.4171 k?
26 kHz,2.3199 nF,2.3082 k?
31 kHz,2.2245 nF,2.215 k?
36 kHz,2.15 nF,2.1345 k?
41 kHz,2.0889 nF,2.0635 k?
46 kHz,2.0375 nF,2.0002 k?
51 kHz,1.9932 nF,1.9434 k?
56 kHz,1.9548 nF,1.8917 k?
61 kHz,1.9209 nF,1.8446 k?
66 kHz,1.8904 nF,1.801 k?
71 kHz,1.8632 nF,1.7608 k?
76 kHz,1.8386 nF,1.7233 k?
81 kHz,1.8163 nF,1.6883 k?
86 kHz,1.7957 nF,1.655 k?
91 kHz,1.7774 nF,1.6243 k?
96 kHz,1.7599 nF,1.5954 k?
101 kHz,1.7452 nF,1.5656 k?
106 kHz,1.7301 nF,1.5518 k?
111 kHz,1.7159 nF,1.5188 k?
116 kHz,1.6959 nF,1.4967 k?
121 kHz,1.6885 nF,1.4677 k?
126 kHz,1.6812 nF,1.4474 k?
131 kHz,1.6656 nF,1.427 k?
136 kHz,1.6563 nF,1.4095 k?
141 kHz,1.6471 nF,1.3903 k?
146 kHz,1.6376 nF,1.3705 k?
151 kHz,1.6285 nF,1.3534 k?
156 kHz,1.6191 nF,1.339 k?
161 kHz,1.6122 nF,1.3224 k?
166 kHz,1.6039 nF,1.3082 k?
171 kHz,1.5959 nF,1.2911 k?
176 kHz,1.5887 nF,1.2753 k?
181 kHz,1.5812 nF,1.2635 k?
186 kHz,1.5747 nF,1.2496 k?
191 kHz,1.5676 nF,1.2358 k?
196 kHz,1.5627 nF,1.2244 k?
201 kHz,1.5561 nF,1.21 k?
206 kHz,1.5509 nF,1.1997 k?
211 kHz,1.5448 nF,1.1883 k?
216 kHz,1.5397 nF,1.1751 k?
221 kHz,1.534 nF,1.1652 k?
226 kHz,1.529 nF,1.1559 k?
231 kHz,1.5245 nF,1.1446 k?
236 kHz,1.5201 nF,1.1342 k?
241 kHz,1.5143 nF,1.1262 k?
246 kHz,1.5112 nF,1.1141 k?
251 kHz,1.5066 nF,1.1066 k?
256 kHz,1.5026 nF,1.096 k?
261 kHz,1.498 nF,1.088 k?
266 kHz,1.4942 nF,1.0798 k?
271 kHz,1.4908 nF,1.0703 k?
276 kHz,1.4869 nF,1.0629 k?
281 kHz,1.4833 nF,1.0558 k?
286 kHz,1.4798 nF,1.0459 k?
291 kHz,1.4759 nF,1.0384 k?
296 kHz,1.4729 nF,1.0305 k?
301 kHz,1.4696 nF,1.0235 k?
306 kHz,1.4712 nF,1.0112 k?
311 kHz,1.4629 nF,1.0087 k?
316 kHz,1.4603 nF,1.0018 k?
321 kHz,1.457 nF,994.216 ?
326 kHz,1.453 nF,987.788 ?
331 kHz,1.45 nF,980.756 ?
336 kHz,1.4473 nF,974.589 ?
341 kHz,1.4439 nF,968.633 ?
346 kHz,1.4423 nF,961.905 ?
351 kHz,1.4394 nF,956.706 ?
356 kHz,1.4367 nF,950.726 ?
361 kHz,1.4345 nF,944.542 ?
366 kHz,1.4321 nF,939.149 ?
371 kHz,1.4295 nF,933.276 ?
376 kHz,1.4266 nF,927.032 ?
381 kHz,1.4246 nF,921.294 ?
386 kHz,1.4225 nF,917.229 ?
391 kHz,1.42 nF,911.2 ?
396 kHz,1.4181 nF,906.004 ?
401 kHz,1.4154 nF,900.04 ?
406 kHz,1.4138 nF,895.701 ?
411 kHz,1.4112 nF,891.647 ?
416 kHz,1.4097 nF,886.379 ?
421 kHz,1.4075 nF,881.206 ?
426 kHz,1.4053 nF,875.869 ?
431 kHz,1.4036 nF,871.287 ?
436 kHz,1.4013 nF,866.567 ?
441 kHz,1.4001 nF,862.229 ?
446 kHz,1.398 nF,858.172 ?
451 kHz,1.3961 nF,852.08 ?
456 kHz,1.3949 nF,849.133 ?
461 kHz,1.3919 nF,845.218 ?
466 kHz,1.3908 nF,840.086 ?
471 kHz,1.3896 nF,836.254 ?
476 kHz,1.3874 nF,832.127 ?
481 kHz,1.386 nF,827.267 ?
486 kHz,1.3841 nF,823.958 ?
491 kHz,1.3829 nF,820.031 ?
496 kHz,1.3813 nF,816.034 ?
501 kHz,1.3799 nF,811.507 ?
