Frequency,Cp,Rp
20 Hz,369.92 nF,4.5893 k?
70 Hz,81.8312 nF,4.0144 k?
120 Hz,44.5386 nF,3.8666 k?
170 Hz,30.7369 nF,3.786 k?
220 Hz,23.6065 nF,3.7287 k?
270 Hz,19.4183 nF,3.6869 k?
320 Hz,16.6517 nF,3.6526 k?
370 Hz,14.7104 nF,3.624 k?
420 Hz,13.2454 nF,3.5989 k?
470 Hz,12.1229 nF,3.5772 k?
520 Hz,11.2199 nF,3.5584 k?
570 Hz,10.4916 nF,3.5407 k?
620 Hz,9.886 nF,3.5244 k?
670 Hz,9.3703 nF,3.5093 k?
720 Hz,8.9312 nF,3.4952 k?
770 Hz,8.5512 nF,3.4823 k?
820 Hz,8.2234 nF,3.47 k?
870 Hz,7.9282 nF,3.4585 k?
920 Hz,7.666 nF,3.4475 k?
970 Hz,7.4306 nF,3.437 k?
