Frequency,R,X
1 kHz,3.3461 k?,-534.338 ?
6 kHz,2.5682 k?,-986.7 ?
11 kHz,2.096 k?,-1.1366 k?
16 kHz,1.7566 k?,-1.1756 k?
21 kHz,1.5019 k?,-1.1682 k?
26 kHz,1.3063 k?,-1.1406 k?
31 kHz,1.1519 k?,-1.1036 k?
36 kHz,1.0268 k?,-1.0639 k?
41 kHz,923.566 ?,-1.0237 k?
46 kHz,837.676 ?,-984.778 ?
51 kHz,764.627 ?,-947.528 ?
56 kHz,702.276 ?,-912.24 ?
61 kHz,648.469 ?,-879.016 ?
66 kHz,601.566 ?,-847.896 ?
71 kHz,560.397 ?,-818.778 ?
76 kHz,523.905 ?,-791.401 ?
81 kHz,491.463 ?,-765.718 ?
86 kHz,462.556 ?,-741.51 ?
91 kHz,436.171 ?,-718.824 ?
96 kHz,412.509 ?,-697.483 ?
101 kHz,390.323 ?,-676.13 ?
106 kHz,371.476 ?,-655.143 ?
111 kHz,353.613 ?,-640.674 ?
116 kHz,334.714 ?,-618.822 ?
121 kHz,322.605 ?,-607.232 ?
126 kHz,308.611 ?,-591.913 ?
131 kHz,294.721 ?,-576.755 ?
136 kHz,283.172 ?,-563.559 ?
141 kHz,271.961 ?,-550.558 ?
146 kHz,261.75 ?,-538.244 ?
151 kHz,251.962 ?,-526.558 ?
156 kHz,242.717 ?,-515.284 ?
161 kHz,234.323 ?,-503.844 ?
166 kHz,226.145 ?,-493.703 ?
171 kHz,218.606 ?,-483.448 ?
176 kHz,211.892 ?,-474.601 ?
181 kHz,205.034 ?,-465.397 ?
186 kHz,198.52 ?,-456.499 ?
191 kHz,192.79 ?,-448.195 ?
196 kHz,187.185 ?,-439.885 ?
201 kHz,181.769 ?,-432.081 ?
206 kHz,176.944 ?,-424.511 ?
211 kHz,171.484 ?,-417.309 ?
216 kHz,167.024 ?,-410.22 ?
221 kHz,162.547 ?,-403.52 ?
226 kHz,158.337 ?,-396.723 ?
231 kHz,154.573 ?,-390.578 ?
236 kHz,150.585 ?,-384.328 ?
241 kHz,147.03 ?,-378.536 ?
246 kHz,143.317 ?,-372.881 ?
251 kHz,140.001 ?,-367.287 ?
256 kHz,136.781 ?,-361.929 ?
261 kHz,133.655 ?,-356.647 ?
266 kHz,130.667 ?,-351.677 ?
271 kHz,127.838 ?,-346.609 ?
276 kHz,125.123 ?,-342.026 ?
281 kHz,122.325 ?,-337.268 ?
286 kHz,119.858 ?,-332.808 ?
291 kHz,117.316 ?,-328.278 ?
296 kHz,115.093 ?,-324.086 ?
301 kHz,112.637 ?,-319.883 ?
306 kHz,110.404 ?,-314.736 ?
311 kHz,108.35 ?,-312.062 ?
316 kHz,106.202 ?,-308.047 ?
321 kHz,104.325 ?,-304.359 ?
326 kHz,102.449 ?,-300.896 ?
331 kHz,100.67 ?,-297.381 ?
336 kHz,98.8456 ?,-293.923 ?
341 kHz,96.8057 ?,-290.516 ?
346 kHz,95.5091 ?,-287.189 ?
351 kHz,93.5903 ?,-283.865 ?
356 kHz,92.0609 ?,-280.835 ?
361 kHz,90.6471 ?,-277.718 ?
366 kHz,89.0162 ?,-274.794 ?
371 kHz,87.5409 ?,-271.841 ?
376 kHz,86.1912 ?,-268.893 ?
381 kHz,84.8052 ?,-266.014 ?
386 kHz,83.3092 ?,-263.283 ?
391 kHz,82.1778 ?,-260.633 ?
396 kHz,80.9089 ?,-257.948 ?
401 kHz,79.5398 ?,-255.389 ?
406 kHz,78.4844 ?,-252.804 ?
411 kHz,77.301 ?,-250.448 ?
416 kHz,76.1789 ?,-247.936 ?
421 kHz,75.0395 ?,-245.526 ?
426 kHz,73.9447 ?,-243.245 ?
431 kHz,72.8262 ?,-240.957 ?
436 kHz,71.8297 ?,-238.786 ?
441 kHz,70.8165 ?,-236.483 ?
446 kHz,69.8291 ?,-234.289 ?
451 kHz,68.9738 ?,-232.236 ?
456 kHz,67.9329 ?,-230.215 ?
461 kHz,67.0058 ?,-228.109 ?
466 kHz,66.214 ?,-226.056 ?
471 kHz,65.3038 ?,-224.071 ?
476 kHz,64.5209 ?,-222.218 ?
481 kHz,63.6889 ?,-220.267 ?
486 kHz,62.8142 ?,-218.414 ?
491 kHz,62.0142 ?,-216.523 ?
496 kHz,61.2601 ?,-214.74 ?
501 kHz,60.4776 ?,-212.939 ?
