Frequency,R,X
20 Hz,4.3378 k?,-914.739 ?
70 Hz,3.9201 k?,-564.282 ?
120 Hz,3.7926 k?,-489.945 ?
170 Hz,3.72 k?,-460.219 ?
220 Hz,3.6664 k?,-444.371 ?
270 Hz,3.6259 k?,-438.105 ?
320 Hz,3.5917 k?,-437.149 ?
370 Hz,3.5629 k?,-439.062 ?
420 Hz,3.5372 k?,-442.594 ?
470 Hz,3.5137 k?,-447.722 ?
520 Hz,3.4933 k?,-453.393 ?
570 Hz,3.4742 k?,-459.915 ?
620 Hz,3.4559 k?,-466.721 ?
670 Hz,3.4389 k?,-473.708 ?
720 Hz,3.4227 k?,-481.003 ?
770 Hz,3.4075 k?,-488.76 ?
820 Hz,3.393 k?,-496.33 ?
870 Hz,3.3789 k?,-504.107 ?
920 Hz,3.3653 k?,-511.85 ?
970 Hz,3.3523 k?,-519.631 ?
