Frequency,Cp,Rp
1 kHz,7.4442 nF,3.4026 k?
6 kHz,3.4706 nF,2.9217 k?
11 kHz,2.9043 nF,2.6902 k?
16 kHz,2.6276 nF,2.5228 k?
21 kHz,2.4533 nF,2.3916 k?
26 kHz,2.3293 nF,2.2838 k?
31 kHz,2.2333 nF,2.1921 k?
36 kHz,2.1583 nF,2.1126 k?
41 kHz,2.0967 nF,2.0428 k?
46 kHz,2.045 nF,1.9805 k?
51 kHz,2.0005 nF,1.9243 k?
56 kHz,1.9617 nF,1.8734 k?
61 kHz,1.9275 nF,1.8267 k?
66 kHz,1.8971 nF,1.7837 k?
71 kHz,1.8695 nF,1.7441 k?
76 kHz,1.8448 nF,1.7071 k?
81 kHz,1.8222 nF,1.6727 k?
86 kHz,1.8018 nF,1.6397 k?
91 kHz,1.783 nF,1.6096 k?
96 kHz,1.7655 nF,1.581 k?
101 kHz,1.7513 nF,1.5526 k?
106 kHz,1.7402 nF,1.5402 k?
111 kHz,1.7228 nF,1.499 k?
116 kHz,1.7065 nF,1.4792 k?
121 kHz,1.6971 nF,1.4556 k?
126 kHz,1.6836 nF,1.4354 k?
131 kHz,1.6709 nF,1.4134 k?
136 kHz,1.6614 nF,1.3961 k?
141 kHz,1.6512 nF,1.3774 k?
146 kHz,1.6416 nF,1.3607 k?
151 kHz,1.6327 nF,1.3436 k?
156 kHz,1.6238 nF,1.326 k?
161 kHz,1.6162 nF,1.3115 k?
166 kHz,1.6078 nF,1.296 k?
171 kHz,1.6005 nF,1.2811 k?
176 kHz,1.5927 nF,1.2681 k?
181 kHz,1.5858 nF,1.2533 k?
186 kHz,1.5791 nF,1.2404 k?
191 kHz,1.5724 nF,1.227 k?
196 kHz,1.5661 nF,1.2147 k?
201 kHz,1.5603 nF,1.2019 k?
206 kHz,1.5544 nF,1.1909 k?
211 kHz,1.549 nF,1.1799 k?
216 kHz,1.5433 nF,1.1682 k?
221 kHz,1.538 nF,1.1571 k?
226 kHz,1.5328 nF,1.1467 k?
231 kHz,1.528 nF,1.1366 k?
236 kHz,1.5235 nF,1.1265 k?
241 kHz,1.5187 nF,1.1168 k?
246 kHz,1.5142 nF,1.1073 k?
251 kHz,1.5098 nF,1.098 k?
256 kHz,1.5058 nF,1.0892 k?
261 kHz,1.5016 nF,1.0802 k?
266 kHz,1.4976 nF,1.0716 k?
271 kHz,1.4933 nF,1.0631 k?
276 kHz,1.4898 nF,1.0554 k?
281 kHz,1.4861 nF,1.0472 k?
286 kHz,1.4826 nF,1.0392 k?
291 kHz,1.4788 nF,1.0314 k?
296 kHz,1.4754 nF,1.0238 k?
301 kHz,1.4723 nF,1.0165 k?
306 kHz,1.469 nF,1.013 k?
311 kHz,1.4659 nF,1.0022 k?
316 kHz,1.462 nF,995.106 ?
321 kHz,1.4592 nF,988.628 ?
326 kHz,1.4548 nF,981.634 ?
331 kHz,1.4524 nF,976.09 ?
336 kHz,1.4495 nF,969.186 ?
341 kHz,1.4468 nF,962.949 ?
346 kHz,1.4441 nF,957.076 ?
351 kHz,1.441 nF,951.788 ?
356 kHz,1.439 nF,945.235 ?
361 kHz,1.4366 nF,939.145 ?
366 kHz,1.434 nF,933.801 ?
371 kHz,1.4318 nF,928.245 ?
376 kHz,1.4295 nF,922.571 ?
381 kHz,1.4269 nF,917.586 ?
386 kHz,1.4247 nF,911.708 ?
391 kHz,1.4225 nF,905.896 ?
396 kHz,1.4203 nF,901.585 ?
401 kHz,1.4182 nF,896.379 ?
406 kHz,1.4158 nF,891.182 ?
411 kHz,1.4139 nF,886.565 ?
416 kHz,1.4118 nF,881.415 ?
421 kHz,1.4097 nF,877.059 ?
426 kHz,1.4077 nF,872.436 ?
431 kHz,1.406 nF,867.651 ?
436 kHz,1.4041 nF,863.257 ?
441 kHz,1.4025 nF,858.464 ?
446 kHz,1.4005 nF,854.19 ?
451 kHz,1.3985 nF,848.862 ?
456 kHz,1.3965 nF,845.538 ?
461 kHz,1.3951 nF,840.926 ?
466 kHz,1.3934 nF,836.934 ?
471 kHz,1.3918 nF,832.92 ?
476 kHz,1.39 nF,828.84 ?
481 kHz,1.3884 nF,824.709 ?
486 kHz,1.3866 nF,820.747 ?
491 kHz,1.385 nF,816.937 ?
496 kHz,1.3833 nF,812.868 ?
501 kHz,1.3819 nF,809.229 ?
