Frequency,R,X
1 kHz,3.3339 k?,-531.526 ?
6 kHz,2.5589 k?,-980.79 ?
11 kHz,2.0893 k?,-1.1308 k?
16 kHz,1.7516 k?,-1.1702 k?
21 kHz,1.4986 k?,-1.1631 k?
26 kHz,1.3036 k?,-1.1356 k?
31 kHz,1.1499 k?,-1.0993 k?
36 kHz,1.0249 k?,-1.0599 k?
41 kHz,922.205 ?,-1.0202 k?
46 kHz,836.392 ?,-981.503 ?
51 kHz,763.691 ?,-944.463 ?
56 kHz,701.54 ?,-909.449 ?
61 kHz,647.809 ?,-876.469 ?
66 kHz,600.969 ?,-845.501 ?
71 kHz,559.876 ?,-816.537 ?
76 kHz,523.496 ?,-789.301 ?
81 kHz,491.109 ?,-763.771 ?
86 kHz,462.089 ?,-739.579 ?
91 kHz,435.839 ?,-717.066 ?
96 kHz,412.235 ?,-695.871 ?
101 kHz,390.524 ?,-675.362 ?
106 kHz,371.603 ?,-659.462 ?
111 kHz,352.141 ?,-637.772 ?
116 kHz,337.042 ?,-621.674 ?
121 kHz,322.525 ?,-606.282 ?
126 kHz,308.074 ?,-590.499 ?
131 kHz,294.766 ?,-575.723 ?
136 kHz,283.066 ?,-562.487 ?
141 kHz,271.781 ?,-549.511 ?
146 kHz,261.547 ?,-537.224 ?
151 kHz,251.858 ?,-525.431 ?
156 kHz,242.779 ?,-514.122 ?
161 kHz,234.261 ?,-503.405 ?
166 kHz,226.258 ?,-493.034 ?
171 kHz,218.763 ?,-483.22 ?
176 kHz,211.541 ?,-473.757 ?
181 kHz,204.974 ?,-464.444 ?
186 kHz,198.708 ?,-455.817 ?
191 kHz,192.639 ?,-447.329 ?
196 kHz,186.839 ?,-439.265 ?
201 kHz,181.632 ?,-431.42 ?
206 kHz,176.444 ?,-423.884 ?
211 kHz,171.69 ?,-416.708 ?
216 kHz,166.973 ?,-409.685 ?
221 kHz,162.594 ?,-402.922 ?
226 kHz,158.256 ?,-396.462 ?
231 kHz,154.389 ?,-390.161 ?
236 kHz,150.414 ?,-383.983 ?
241 kHz,146.768 ?,-378.138 ?
246 kHz,143.264 ?,-372.367 ?
251 kHz,139.932 ?,-366.878 ?
256 kHz,136.65 ?,-361.507 ?
261 kHz,133.557 ?,-356.29 ?
266 kHz,130.59 ?,-351.233 ?
271 kHz,127.665 ?,-346.367 ?
276 kHz,124.96 ?,-341.562 ?
281 kHz,122.224 ?,-336.945 ?
286 kHz,119.691 ?,-332.458 ?
291 kHz,117.245 ?,-328.069 ?
296 kHz,114.864 ?,-323.792 ?
301 kHz,112.595 ?,-319.685 ?
306 kHz,109.801 ?,-315.707 ?
311 kHz,108.246 ?,-311.697 ?
316 kHz,106.238 ?,-307.913 ?
321 kHz,104.177 ?,-304.141 ?
326 kHz,102.468 ?,-300.609 ?
331 kHz,100.51 ?,-297.14 ?
336 kHz,98.6617 ?,-293.653 ?
341 kHz,96.8969 ?,-290.304 ?
346 kHz,95.1826 ?,-286.968 ?
351 kHz,93.5897 ?,-283.71 ?
356 kHz,91.9353 ?,-280.605 ?
361 kHz,90.38 ?,-277.5 ?
366 kHz,88.8763 ?,-274.52 ?
371 kHz,87.4173 ?,-271.596 ?
376 kHz,85.9893 ?,-268.708 ?
381 kHz,84.6148 ?,-265.885 ?
386 kHz,83.2476 ?,-263.166 ?
391 kHz,81.93 ?,-260.382 ?
396 kHz,80.7246 ?,-257.781 ?
401 kHz,79.4557 ?,-255.243 ?
406 kHz,78.2503 ?,-252.707 ?
411 kHz,77.0974 ?,-250.252 ?
416 kHz,75.9453 ?,-247.824 ?
421 kHz,74.8345 ?,-245.42 ?
426 kHz,73.7539 ?,-243.099 ?
431 kHz,72.6794 ?,-240.809 ?
436 kHz,71.6698 ?,-238.569 ?
441 kHz,70.6648 ?,-236.367 ?
446 kHz,69.6984 ?,-234.207 ?
451 kHz,68.8085 ?,-232.077 ?
456 kHz,67.7381 ?,-230.03 ?
461 kHz,66.8909 ?,-227.971 ?
466 kHz,66.0001 ?,-225.977 ?
471 kHz,65.13 ?,-224 ?
476 kHz,64.2979 ?,-222.087 ?
481 kHz,63.4708 ?,-220.186 ?
486 kHz,62.642 ?,-218.306 ?
491 kHz,61.8574 ?,-216.474 ?
496 kHz,61.0741 ?,-214.673 ?
501 kHz,60.3143 ?,-212.914 ?
