Frequency,Cp,Rp
1 kHz,7.4091 nF,3.3702 k?
6 kHz,3.4744 nF,2.8995 k?
11 kHz,2.9039 nF,2.6742 k?
16 kHz,2.629 nF,2.5091 k?
21 kHz,2.4554 nF,2.3793 k?
26 kHz,2.3314 nF,2.2726 k?
31 kHz,2.2353 nF,2.1816 k?
36 kHz,2.1603 nF,2.1027 k?
41 kHz,2.0988 nF,2.0335 k?
46 kHz,2.0468 nF,1.9715 k?
51 kHz,2.0024 nF,1.9158 k?
56 kHz,1.9636 nF,1.8651 k?
61 kHz,1.9294 nF,1.8188 k?
66 kHz,1.8987 nF,1.7761 k?
71 kHz,1.8713 nF,1.7367 k?
76 kHz,1.8465 nF,1.6999 k?
81 kHz,1.8239 nF,1.6656 k?
86 kHz,1.8034 nF,1.6328 k?
91 kHz,1.7846 nF,1.603 k?
96 kHz,1.767 nF,1.5745 k?
101 kHz,1.7538 nF,1.5459 k?
106 kHz,1.7368 nF,1.5256 k?
111 kHz,1.7226 nF,1.4982 k?
116 kHz,1.7109 nF,1.4714 k?
121 kHz,1.7005 nF,1.4498 k?
126 kHz,1.6847 nF,1.4305 k?
131 kHz,1.6736 nF,1.4081 k?
136 kHz,1.6633 nF,1.3905 k?
141 kHz,1.6526 nF,1.3716 k?
146 kHz,1.6438 nF,1.3545 k?
151 kHz,1.634 nF,1.3381 k?
156 kHz,1.6255 nF,1.3215 k?
161 kHz,1.617 nF,1.3063 k?
166 kHz,1.6094 nF,1.2908 k?
171 kHz,1.602 nF,1.2762 k?
176 kHz,1.5946 nF,1.2614 k?
181 kHz,1.5874 nF,1.2484 k?
186 kHz,1.5804 nF,1.2352 k?
191 kHz,1.5736 nF,1.2224 k?
196 kHz,1.5676 nF,1.2094 k?
201 kHz,1.5614 nF,1.1976 k?
206 kHz,1.5556 nF,1.1861 k?
211 kHz,1.55 nF,1.1745 k?
216 kHz,1.5449 nF,1.1637 k?
221 kHz,1.5396 nF,1.1526 k?
226 kHz,1.5342 nF,1.1419 k?
231 kHz,1.529 nF,1.1324 k?
236 kHz,1.5245 nF,1.1226 k?
241 kHz,1.5196 nF,1.1121 k?
246 kHz,1.5151 nF,1.1034 k?
251 kHz,1.5108 nF,1.0942 k?
256 kHz,1.5067 nF,1.0852 k?
261 kHz,1.5029 nF,1.0767 k?
266 kHz,1.4988 nF,1.0677 k?
271 kHz,1.495 nF,1.0595 k?
276 kHz,1.4911 nF,1.051 k?
281 kHz,1.4874 nF,1.0434 k?
286 kHz,1.4837 nF,1.0358 k?
291 kHz,1.4801 nF,1.0277 k?
296 kHz,1.4769 nF,1.0205 k?
301 kHz,1.4737 nF,1.013 k?
306 kHz,1.4676 nF,1.0055 k?
311 kHz,1.4672 nF,998.942 ?
316 kHz,1.4638 nF,991.958 ?
321 kHz,1.461 nF,985.523 ?
326 kHz,1.4572 nF,978.805 ?
331 kHz,1.4544 nF,972.151 ?
336 kHz,1.4515 nF,966.02 ?
341 kHz,1.4486 nF,959.884 ?
346 kHz,1.4459 nF,953.725 ?
351 kHz,1.4435 nF,947.212 ?
356 kHz,1.4403 nF,941.967 ?
361 kHz,1.4375 nF,936.164 ?
366 kHz,1.4352 nF,930.36 ?
371 kHz,1.4326 nF,924.785 ?
376 kHz,1.4304 nF,919.165 ?
381 kHz,1.428 nF,913.753 ?
386 kHz,1.4255 nF,909.026 ?
391 kHz,1.4238 nF,903.153 ?
396 kHz,1.4217 nF,898.294 ?
401 kHz,1.4194 nF,893.353 ?
406 kHz,1.4171 nF,888.493 ?
411 kHz,1.4148 nF,883.092 ?
416 kHz,1.413 nF,878.326 ?
421 kHz,1.4114 nF,873.905 ?
426 kHz,1.4093 nF,869.088 ?
431 kHz,1.4067 nF,864.739 ?
436 kHz,1.405 nF,860.063 ?
441 kHz,1.4034 nF,855.574 ?
446 kHz,1.4013 nF,850.819 ?
451 kHz,1.4008 nF,844.626 ?
456 kHz,1.3976 nF,842.208 ?
461 kHz,1.3963 nF,838.159 ?
466 kHz,1.3944 nF,834.023 ?
471 kHz,1.3928 nF,829.842 ?
476 kHz,1.3911 nF,825.77 ?
481 kHz,1.3893 nF,822.016 ?
486 kHz,1.3878 nF,817.751 ?
491 kHz,1.3862 nF,814.012 ?
496 kHz,1.3846 nF,810.123 ?
501 kHz,1.3827 nF,806.353 ?
