Frequency,Cp,Rp
20 Hz,1.887 nF,53.4643 M?
70 Hz,1.8467 nF,7.9316 M?
120 Hz,1.9472 nF,21.2513 M?
170 Hz,1.8458 nF,8.5659 M?
220 Hz,1.8481 nF,7.1341 M?
270 Hz,1.8359 nF,7.8912 M?
320 Hz,1.831 nF,7.6631 M?
370 Hz,1.83 nF,6.3469 M?
420 Hz,1.8236 nF,5.3824 M?
470 Hz,1.8202 nF,5.218 M?
520 Hz,1.8134 nF,4.7117 M?
570 Hz,1.8104 nF,4.4231 M?
620 Hz,1.8056 nF,4.2135 M?
670 Hz,1.8041 nF,3.9179 M?
720 Hz,1.7974 nF,3.5963 M?
770 Hz,1.797 nF,3.4237 M?
820 Hz,1.7939 nF,3.3682 M?
870 Hz,1.7913 nF,3.2177 M?
920 Hz,1.791 nF,3.0224 M?
970 Hz,1.789 nF,2.8886 M?
