Frequency,Cp,Rp
1 kHz,1.7871 nF,3.0065 M?
6 kHz,1.7408 nF,728.205 k?
11 kHz,1.7269 nF,285.533 k?
16 kHz,1.7259 nF,311.406 k?
21 kHz,1.7217 nF,231.804 k?
26 kHz,1.7191 nF,188.274 k?
31 kHz,1.7171 nF,150.531 k?
36 kHz,1.7152 nF,125.172 k?
41 kHz,1.7139 nF,106.249 k?
46 kHz,1.7131 nF,91.3144 k?
51 kHz,1.7119 nF,79.4458 k?
56 kHz,1.711 nF,69.2294 k?
61 kHz,1.7102 nF,61.1628 k?
66 kHz,1.7094 nF,54.2363 k?
71 kHz,1.7088 nF,48.5757 k?
76 kHz,1.7081 nF,43.6581 k?
81 kHz,1.7074 nF,39.3433 k?
86 kHz,1.7068 nF,35.7722 k?
91 kHz,1.7063 nF,32.5457 k?
96 kHz,1.7058 nF,29.8235 k?
101 kHz,1.7074 nF,26.5994 k?
106 kHz,1.7058 nF,20.8854 k?
111 kHz,1.709 nF,23.7859 k?
116 kHz,1.6994 nF,22.5647 k?
121 kHz,1.702 nF,20.5533 k?
126 kHz,1.7057 nF,18.693 k?
131 kHz,1.7042 nF,17.3644 k?
136 kHz,1.7034 nF,16.271 k?
141 kHz,1.7027 nF,15.3606 k?
146 kHz,1.704 nF,14.3797 k?
151 kHz,1.7019 nF,13.721 k?
156 kHz,1.7022 nF,13.0269 k?
161 kHz,1.7017 nF,12.0554 k?
166 kHz,1.7013 nF,11.4733 k?
171 kHz,1.6997 nF,10.9368 k?
176 kHz,1.7008 nF,10.3932 k?
181 kHz,1.6991 nF,9.8425 k?
186 kHz,1.6989 nF,9.3854 k?
191 kHz,1.6982 nF,8.9649 k?
196 kHz,1.6986 nF,8.4346 k?
201 kHz,1.6976 nF,8.1393 k?
206 kHz,1.6967 nF,7.7533 k?
211 kHz,1.6966 nF,7.4138 k?
216 kHz,1.6956 nF,7.0765 k?
221 kHz,1.6954 nF,6.7964 k?
226 kHz,1.694 nF,6.5105 k?
231 kHz,1.6937 nF,6.2606 k?
236 kHz,1.6935 nF,5.9865 k?
241 kHz,1.6922 nF,5.76 k?
246 kHz,1.6925 nF,5.5575 k?
251 kHz,1.6918 nF,5.3562 k?
256 kHz,1.691 nF,5.1677 k?
261 kHz,1.6898 nF,4.9736 k?
266 kHz,1.6899 nF,4.8049 k?
271 kHz,1.6886 nF,4.6418 k?
276 kHz,1.6884 nF,4.4944 k?
281 kHz,1.6882 nF,4.3315 k?
286 kHz,1.6873 nF,4.2026 k?
291 kHz,1.6861 nF,4.0582 k?
296 kHz,1.6849 nF,3.9164 k?
301 kHz,1.6851 nF,3.8118 k?
306 kHz,1.6843 nF,3.625 k?
311 kHz,1.6832 nF,3.5927 k?
316 kHz,1.6822 nF,3.4567 k?
321 kHz,1.6812 nF,3.3731 k?
326 kHz,1.6804 nF,3.2803 k?
331 kHz,1.68 nF,3.181 k?
336 kHz,1.679 nF,3.0882 k?
341 kHz,1.6785 nF,3.0012 k?
346 kHz,1.6781 nF,2.9368 k?
351 kHz,1.6768 nF,2.8528 k?
356 kHz,1.6755 nF,2.7707 k?
361 kHz,1.6747 nF,2.7005 k?
366 kHz,1.6743 nF,2.6284 k?
371 kHz,1.6735 nF,2.567 k?
376 kHz,1.6723 nF,2.5023 k?
381 kHz,1.6717 nF,2.4445 k?
386 kHz,1.6706 nF,2.384 k?
391 kHz,1.6696 nF,2.3194 k?
396 kHz,1.669 nF,2.2785 k?
401 kHz,1.6681 nF,2.2226 k?
406 kHz,1.6675 nF,2.1651 k?
411 kHz,1.6661 nF,2.1211 k?
416 kHz,1.6655 nF,2.0727 k?
421 kHz,1.6645 nF,2.0272 k?
426 kHz,1.6634 nF,1.9825 k?
431 kHz,1.6625 nF,1.9425 k?
436 kHz,1.6616 nF,1.898 k?
441 kHz,1.6606 nF,1.8609 k?
446 kHz,1.6595 nF,1.8187 k?
451 kHz,1.6582 nF,1.7907 k?
456 kHz,1.6575 nF,1.7488 k?
461 kHz,1.6567 nF,1.7107 k?
466 kHz,1.6556 nF,1.681 k?
471 kHz,1.6545 nF,1.647 k?
476 kHz,1.6536 nF,1.6159 k?
481 kHz,1.6523 nF,1.5845 k?
486 kHz,1.6513 nF,1.5534 k?
491 kHz,1.6503 nF,1.5263 k?
496 kHz,1.6496 nF,1.4964 k?
501 kHz,1.6483 nF,1.4683 k?
