Frequency,R,X
1 kHz,2.7181 k?,-89.0156 k?
6 kHz,317.784 ?,-15.2135 k?
11 kHz,165.352 ?,-8.3239 k?
16 kHz,106.602 ?,-5.7616 k?
21 kHz,83.4572 ?,-4.4005 k?
26 kHz,68.1221 ?,-3.5588 k?
31 kHz,59.5337 ?,-2.9884 k?
36 kHz,52.8846 ?,-2.5762 k?
41 kHz,48.6049 ?,-2.264 k?
46 kHz,44.4886 ?,-2.0192 k?
51 kHz,42.01 ?,-1.8219 k?
56 kHz,39.9575 ?,-1.6601 k?
61 kHz,38.2123 ?,-1.5245 k?
66 kHz,36.9036 ?,-1.4096 k?
71 kHz,35.6354 ?,-1.311 k?
76 kHz,34.6511 ?,-1.2251 k?
81 kHz,33.7735 ?,-1.1498 k?
86 kHz,33.0551 ?,-1.0832 k?
91 kHz,32.4006 ?,-1.0241 k?
96 kHz,31.8164 ?,-970.865 ?
101 kHz,31.1138 ?,-923.065 ?
106 kHz,31.034 ?,-872.783 ?
111 kHz,30.9581 ?,-837.743 ?
116 kHz,28.728 ?,-803.245 ?
121 kHz,30.1331 ?,-772.113 ?
126 kHz,29.1609 ?,-739.56 ?
131 kHz,29.5095 ?,-711.178 ?
136 kHz,28.5424 ?,-685.547 ?
141 kHz,28.1881 ?,-661.137 ?
146 kHz,28.4747 ?,-638.726 ?
151 kHz,28.0371 ?,-617.762 ?
156 kHz,28.0093 ?,-598.11 ?
161 kHz,27.8926 ?,-579.632 ?
166 kHz,27.475 ?,-562.41 ?
171 kHz,27.8155 ?,-546.231 ?
176 kHz,27.3672 ?,-530.604 ?
181 kHz,27.3396 ?,-515.934 ?
186 kHz,27.346 ?,-502.273 ?
191 kHz,26.914 ?,-489.111 ?
196 kHz,26.9894 ?,-476.551 ?
201 kHz,26.9142 ?,-465.006 ?
206 kHz,26.9488 ?,-453.734 ?
211 kHz,26.7869 ?,-443.131 ?
216 kHz,26.8154 ?,-432.733 ?
221 kHz,26.6836 ?,-423.091 ?
226 kHz,26.7212 ?,-413.905 ?
231 kHz,26.4068 ?,-405.041 ?
236 kHz,26.3679 ?,-396.524 ?
241 kHz,26.1562 ?,-388.237 ?
246 kHz,26.3007 ?,-380.449 ?
251 kHz,26.174 ?,-372.991 ?
256 kHz,26.0951 ?,-365.808 ?
261 kHz,26.2172 ?,-358.909 ?
266 kHz,26.0497 ?,-352.248 ?
271 kHz,26.04 ?,-345.713 ?
276 kHz,25.9614 ?,-339.563 ?
281 kHz,26.0005 ?,-333.61 ?
286 kHz,25.9302 ?,-327.902 ?
291 kHz,25.8427 ?,-322.297 ?
296 kHz,25.9817 ?,-316.973 ?
301 kHz,25.9023 ?,-311.814 ?
306 kHz,26.3688 ?,-306.943 ?
311 kHz,25.862 ?,-301.931 ?
316 kHz,25.7567 ?,-297.156 ?
321 kHz,25.7264 ?,-292.67 ?
326 kHz,25.7118 ?,-288.249 ?
331 kHz,25.5377 ?,-284.009 ?
336 kHz,25.6421 ?,-279.832 ?
341 kHz,25.7712 ?,-275.814 ?
346 kHz,25.5909 ?,-271.885 ?
351 kHz,25.5623 ?,-268.119 ?
356 kHz,25.5062 ?,-264.334 ?
361 kHz,25.529 ?,-260.734 ?
366 kHz,25.4874 ?,-257.255 ?
371 kHz,25.4553 ?,-253.859 ?
376 kHz,25.4446 ?,-250.586 ?
381 kHz,25.3943 ?,-247.35 ?
386 kHz,25.4262 ?,-244.197 ?
391 kHz,25.3227 ?,-241.194 ?
396 kHz,25.3776 ?,-238.179 ?
401 kHz,25.3369 ?,-235.244 ?
406 kHz,25.3017 ?,-232.458 ?
411 kHz,25.2973 ?,-229.636 ?
416 kHz,25.2824 ?,-226.968 ?
421 kHz,25.2449 ?,-224.356 ?
426 kHz,25.2355 ?,-221.748 ?
431 kHz,25.1748 ?,-219.226 ?
436 kHz,25.1666 ?,-216.844 ?
441 kHz,25.1461 ?,-214.462 ?
446 kHz,25.139 ?,-212.146 ?
451 kHz,25.1108 ?,-209.858 ?
456 kHz,25.0697 ?,-207.543 ?
461 kHz,25.0867 ?,-205.406 ?
466 kHz,25.0736 ?,-203.247 ?
471 kHz,25.074 ?,-201.214 ?
476 kHz,25.006 ?,-199.126 ?
481 kHz,24.9806 ?,-197.052 ?
486 kHz,25.014 ?,-195.125 ?
491 kHz,24.981 ?,-193.212 ?
496 kHz,24.9688 ?,-191.325 ?
501 kHz,24.9156 ?,-189.489 ?
