Frequency,R,X
20 Hz,317.921 k?,-4.3899 M?
70 Hz,153.703 k?,-1.2066 M?
120 Hz,18.5612 k?,-697.511 k?
170 Hz,27.7907 k?,-496.551 k?
220 Hz,18.9912 k?,-393.939 k?
270 Hz,13.7733 k?,-317.699 k?
320 Hz,11.1811 k?,-270.225 k?
370 Hz,8.5142 k?,-235.517 k?
420 Hz,7.9383 k?,-207.925 k?
470 Hz,6.8816 k?,-185.878 k?
520 Hz,6.0466 k?,-168.556 k?
570 Hz,5.3072 k?,-154.089 k?
620 Hz,4.7564 k?,-142.132 k?
670 Hz,4.4133 k?,-131.801 k?
720 Hz,4.1446 k?,-122.722 k?
770 Hz,3.8335 k?,-114.948 k?
820 Hz,3.4653 k?,-108.047 k?
870 Hz,3.2507 k?,-101.862 k?
920 Hz,3.0311 k?,-96.472 k?
970 Hz,2.8116 k?,-91.6195 k?
