Frequency,Cp,Rp
1 kHz,1.7818 nF,3.0412 M?
6 kHz,1.7376 nF,788.236 k?
11 kHz,1.7333 nF,427.368 k?
16 kHz,1.7221 nF,382.956 k?
21 kHz,1.719 nF,308.317 k?
26 kHz,1.7161 nF,259.265 k?
31 kHz,1.7142 nF,217.962 k?
36 kHz,1.7129 nF,191.605 k?
41 kHz,1.7116 nF,170.789 k?
46 kHz,1.7108 nF,153.643 k?
51 kHz,1.7098 nF,137.628 k?
56 kHz,1.7091 nF,125.838 k?
61 kHz,1.7085 nF,114.556 k?
66 kHz,1.7079 nF,105.035 k?
71 kHz,1.7074 nF,96.7313 k?
76 kHz,1.7068 nF,89.1665 k?
81 kHz,1.7064 nF,82.7474 k?
86 kHz,1.706 nF,76.9531 k?
91 kHz,1.7056 nF,71.351 k?
96 kHz,1.7054 nF,66.9324 k?
101 kHz,1.7064 nF,59.1865 k?
106 kHz,1.7159 nF,63.4843 k?
111 kHz,1.7112 nF,57.0006 k?
116 kHz,1.7027 nF,53.4926 k?
121 kHz,1.7062 nF,46.4784 k?
126 kHz,1.7068 nF,48.0572 k?
131 kHz,1.7069 nF,44.5074 k?
136 kHz,1.7052 nF,42.0855 k?
141 kHz,1.7052 nF,38.3707 k?
146 kHz,1.7049 nF,37.9397 k?
151 kHz,1.7056 nF,35.8332 k?
156 kHz,1.7055 nF,33.1617 k?
161 kHz,1.7051 nF,31.4211 k?
166 kHz,1.7042 nF,31.4016 k?
171 kHz,1.705 nF,29.2349 k?
176 kHz,1.7052 nF,28.149 k?
181 kHz,1.7038 nF,26.2981 k?
186 kHz,1.7036 nF,26.411 k?
191 kHz,1.7036 nF,24.5972 k?
196 kHz,1.7028 nF,23.4806 k?
201 kHz,1.7036 nF,22.9993 k?
206 kHz,1.7033 nF,22.0593 k?
211 kHz,1.7036 nF,21.1081 k?
216 kHz,1.7034 nF,20.2719 k?
221 kHz,1.7033 nF,19.9461 k?
226 kHz,1.7026 nF,19.1215 k?
231 kHz,1.7037 nF,18.4727 k?
236 kHz,1.7029 nF,17.4733 k?
241 kHz,1.7019 nF,17.2104 k?
246 kHz,1.7027 nF,16.4878 k?
251 kHz,1.7026 nF,16.0527 k?
256 kHz,1.7029 nF,15.5291 k?
261 kHz,1.7022 nF,15.1128 k?
266 kHz,1.7025 nF,14.5974 k?
271 kHz,1.7024 nF,14.0986 k?
276 kHz,1.7021 nF,13.7254 k?
281 kHz,1.7021 nF,13.3026 k?
286 kHz,1.7019 nF,12.8639 k?
291 kHz,1.7022 nF,12.6083 k?
296 kHz,1.7018 nF,12.0402 k?
301 kHz,1.7012 nF,11.7752 k?
306 kHz,1.703 nF,11.8194 k?
311 kHz,1.7013 nF,11.1942 k?
316 kHz,1.7014 nF,11.0189 k?
321 kHz,1.7012 nF,10.6858 k?
326 kHz,1.7005 nF,10.4463 k?
331 kHz,1.701 nF,10.1772 k?
336 kHz,1.7006 nF,9.8103 k?
341 kHz,1.7004 nF,9.6329 k?
346 kHz,1.7 nF,9.3091 k?
351 kHz,1.6999 nF,9.1625 k?
356 kHz,1.7005 nF,8.8547 k?
361 kHz,1.7001 nF,8.5967 k?
366 kHz,1.7007 nF,8.5206 k?
371 kHz,1.7008 nF,8.2629 k?
376 kHz,1.7003 nF,8.1287 k?
381 kHz,1.7003 nF,7.9632 k?
386 kHz,1.7002 nF,7.8005 k?
391 kHz,1.7 nF,7.5168 k?
396 kHz,1.7002 nF,7.4663 k?
401 kHz,1.6997 nF,7.3078 k?
406 kHz,1.6998 nF,7.1263 k?
411 kHz,1.6998 nF,6.9967 k?
416 kHz,1.6992 nF,6.8021 k?
421 kHz,1.6994 nF,6.7142 k?
426 kHz,1.6995 nF,6.5626 k?
431 kHz,1.6995 nF,6.4456 k?
436 kHz,1.6993 nF,6.3566 k?
441 kHz,1.6994 nF,6.235 k?
446 kHz,1.6988 nF,6.0994 k?
451 kHz,1.6989 nF,6.0388 k?
456 kHz,1.6997 nF,5.9055 k?
461 kHz,1.6987 nF,5.7298 k?
466 kHz,1.6989 nF,5.655 k?
471 kHz,1.6986 nF,5.5707 k?
476 kHz,1.6988 nF,5.4658 k?
481 kHz,1.699 nF,5.3589 k?
486 kHz,1.6984 nF,5.2903 k?
491 kHz,1.6987 nF,5.2082 k?
496 kHz,1.6986 nF,5.1062 k?
