Frequency,R,X
1 kHz,2.6056 k?,-89.2109 k?
6 kHz,295.15 ?,-15.2606 k?
11 kHz,105.55 ?,-8.4034 k?
16 kHz,87.2822 ?,-5.7738 k?
21 kHz,62.801 ?,-4.4084 k?
26 kHz,49.0818 ?,-3.5664 k?
31 kHz,40.7997 ?,-2.995 k?
36 kHz,34.7981 ?,-2.581 k?
41 kHz,29.963 ?,-2.2679 k?
46 kHz,26.792 ?,-2.0222 k?
51 kHz,23.9498 ?,-1.825 k?
56 kHz,21.8922 ?,-1.6626 k?
61 kHz,20.1944 ?,-1.5269 k?
66 kHz,18.8575 ?,-1.4118 k?
71 kHz,17.8068 ?,-1.3128 k?
76 kHz,16.7804 ?,-1.2268 k?
81 kHz,15.8912 ?,-1.1513 k?
86 kHz,15.1702 ?,-1.0846 k?
91 kHz,14.5817 ?,-1.0252 k?
96 kHz,14.0018 ?,-971.968 ?
101 kHz,13.6036 ?,-921.591 ?
106 kHz,12.7778 ?,-884.052 ?
111 kHz,11.8274 ?,-840.311 ?
116 kHz,14.2095 ?,-803.021 ?
121 kHz,12.0618 ?,-769.524 ?
126 kHz,11.7911 ?,-740.334 ?
131 kHz,11.8137 ?,-712.149 ?
136 kHz,11.2967 ?,-685.856 ?
141 kHz,10.589 ?,-661.944 ?
146 kHz,10.7675 ?,-639.497 ?
151 kHz,10.2392 ?,-617.946 ?
156 kHz,10.1785 ?,-598.109 ?
161 kHz,10.1764 ?,-579.647 ?
166 kHz,9.8564 ?,-562.36 ?
171 kHz,9.8598 ?,-546.057 ?
176 kHz,10.1128 ?,-530.558 ?
181 kHz,9.47 ?,-515.696 ?
186 kHz,9.5298 ?,-501.659 ?
191 kHz,9.5914 ?,-489.13 ?
196 kHz,9.3174 ?,-476.379 ?
201 kHz,9.3238 ?,-464.574 ?
206 kHz,8.8277 ?,-453.551 ?
211 kHz,9.1077 ?,-442.483 ?
216 kHz,9.147 ?,-432.406 ?
221 kHz,8.9736 ?,-422.683 ?
226 kHz,8.9072 ?,-413.531 ?
231 kHz,8.8251 ?,-404.363 ?
236 kHz,8.56 ?,-395.908 ?
241 kHz,8.7541 ?,-387.446 ?
246 kHz,8.5693 ?,-379.679 ?
251 kHz,8.4805 ?,-372.118 ?
256 kHz,8.4748 ?,-364.943 ?
261 kHz,8.3402 ?,-358.032 ?
266 kHz,8.2975 ?,-351.226 ?
271 kHz,8.3156 ?,-344.843 ?
276 kHz,8.1849 ?,-338.51 ?
281 kHz,8.1641 ?,-332.563 ?
286 kHz,8.1389 ?,-326.717 ?
291 kHz,8.0672 ?,-321.138 ?
296 kHz,8.096 ?,-315.819 ?
301 kHz,7.9811 ?,-310.589 ?
306 kHz,7.4847 ?,-305.467 ?
311 kHz,7.8767 ?,-300.552 ?
316 kHz,7.8584 ?,-295.77 ?
321 kHz,7.7979 ?,-291.256 ?
326 kHz,7.7402 ?,-286.818 ?
331 kHz,7.7724 ?,-282.417 ?
336 kHz,7.7387 ?,-278.24 ?
341 kHz,7.6754 ?,-274.155 ?
346 kHz,7.7192 ?,-270.157 ?
351 kHz,7.5528 ?,-266.285 ?
356 kHz,7.6759 ?,-262.657 ?
361 kHz,7.5891 ?,-258.995 ?
366 kHz,7.4962 ?,-255.505 ?
371 kHz,7.5643 ?,-252.046 ?
376 kHz,7.4735 ?,-248.731 ?
381 kHz,7.4301 ?,-245.421 ?
386 kHz,7.4411 ?,-242.289 ?
391 kHz,7.351 ?,-239.261 ?
396 kHz,7.3712 ?,-236.167 ?
401 kHz,7.363 ?,-233.222 ?
406 kHz,7.3011 ?,-230.346 ?
411 kHz,7.2971 ?,-227.554 ?
416 kHz,7.2805 ?,-224.888 ?
421 kHz,7.264 ?,-222.177 ?
426 kHz,7.1886 ?,-219.528 ?
431 kHz,7.1591 ?,-217.008 ?
436 kHz,7.1201 ?,-214.562 ?
441 kHz,7.0919 ?,-212.089 ?
446 kHz,7.0743 ?,-209.745 ?
451 kHz,7.1201 ?,-207.489 ?
456 kHz,6.9953 ?,-205.17 ?
461 kHz,7.0438 ?,-202.971 ?
466 kHz,7.0223 ?,-200.749 ?
471 kHz,6.984 ?,-198.663 ?
476 kHz,6.9429 ?,-196.535 ?
481 kHz,6.9501 ?,-194.522 ?
486 kHz,6.9181 ?,-192.486 ?
491 kHz,6.8753 ?,-190.534 ?
496 kHz,6.8931 ?,-188.609 ?
501 kHz,6.8407 ?,-186.722 ?
