Frequency,R,X
20 Hz,346.624 k?,-4.0161 M?
70 Hz,72.4278 k?,-1.1987 M?
120 Hz,33.4325 k?,-708.73 k?
170 Hz,22.0518 k?,-503.314 k?
220 Hz,16.5787 k?,-392.822 k?
270 Hz,12.8177 k?,-321.217 k?
320 Hz,10.6187 k?,-272.211 k?
370 Hz,8.8412 k?,-236.137 k?
420 Hz,7.5348 k?,-208.691 k?
470 Hz,6.6697 k?,-186.879 k?
520 Hz,5.8856 k?,-169.342 k?
570 Hz,5.2518 k?,-154.801 k?
620 Hz,4.7405 k?,-142.592 k?
670 Hz,4.3187 k?,-132.165 k?
720 Hz,3.9475 k?,-123.16 k?
770 Hz,3.6406 k?,-115.308 k?
820 Hz,3.3528 k?,-108.429 k?
870 Hz,3.1181 k?,-102.315 k?
920 Hz,2.9034 k?,-96.8668 k?
970 Hz,2.7163 k?,-91.9474 k?
