Frequency,Z,?°
1 kHz,8.0098 m?,8.239 °
1.1 kHz,8.2868 m?,8.1061 °
1.2 kHz,8.3382 m?,8.3607 °
1.3 kHz,8.3764 m?,8.7288 °
1.4 kHz,8.4193 m?,9.0124 °
1.5 kHz,8.4429 m?,9.3392 °
1.6 kHz,8.4873 m?,9.6179 °
1.7 kHz,8.4913 m?,9.9207 °
1.8 kHz,8.5252 m?,10.242 °
1.9 kHz,8.5542 m?,10.5402 °
2 kHz,8.5828 m?,10.8451 °
2.1 kHz,8.602 m?,11.0936 °
2.2 kHz,8.6258 m?,11.3525 °
2.3 kHz,8.6405 m?,11.6701 °
2.4 kHz,8.67 m?,12.0477 °
2.5 kHz,8.672 m?,12.1564 °
2.6 kHz,8.6866 m?,12.4325 °
2.7 kHz,8.7046 m?,12.688 °
2.8 kHz,8.7247 m?,12.932 °
2.9 kHz,8.7336 m?,13.1577 °
3 kHz,8.7492 m?,13.3872 °
3.1 kHz,9.0618 m?,12.7954 °
3.2 kHz,9.1132 m?,13.1939 °
3.3 kHz,9.1617 m?,13.8094 °
3.4 kHz,9.1891 m?,13.2415 °
3.5 kHz,9.2083 m?,13.5927 °
3.6 kHz,9.1962 m?,13.6829 °
3.7 kHz,9.2293 m?,14.0516 °
3.8 kHz,9.2625 m?,14.2108 °
3.9 kHz,9.2542 m?,14.3495 °
