Frequency,Z,?°
20 Hz,7.725 m?,0.7914 °
40 Hz,7.7993 m?,-1.0335 °
60 Hz,7.759 m?,-0.3924 °
80 Hz,7.7207 m?,0.2086 °
100 Hz,7.6873 m?,1.1815 °
120 Hz,7.7478 m?,1.0891 °
140 Hz,7.99 m?,2.1557 °
160 Hz,8.0267 m?,2.4687 °
180 Hz,7.8997 m?,2.2853 °
200 Hz,7.7775 m?,2.026 °
220 Hz,7.7649 m?,2.6371 °
240 Hz,7.7474 m?,3.3864 °
260 Hz,7.7543 m?,3.5763 °
280 Hz,7.74 m?,3.1835 °
300 Hz,7.7288 m?,2.8731 °
320 Hz,7.8142 m?,3.0002 °
340 Hz,7.8214 m?,3.137 °
360 Hz,7.8205 m?,3.3807 °
380 Hz,7.8219 m?,3.4947 °
400 Hz,7.8192 m?,3.7518 °
420 Hz,7.8304 m?,3.8614 °
440 Hz,7.8319 m?,4.0575 °
460 Hz,7.8347 m?,4.2372 °
480 Hz,7.8298 m?,4.4146 °
500 Hz,7.8269 m?,4.6947 °
520 Hz,7.8292 m?,4.8507 °
540 Hz,7.829 m?,4.9999 °
560 Hz,7.834 m?,5.2293 °
580 Hz,7.843 m?,5.4672 °
600 Hz,7.851 m?,5.7907 °
620 Hz,7.8458 m?,5.838 °
640 Hz,7.8421 m?,5.9596 °
660 Hz,7.8402 m?,6.1364 °
680 Hz,7.8469 m?,6.3394 °
700 Hz,7.8512 m?,6.4606 °
720 Hz,7.8678 m?,6.6518 °
740 Hz,7.8861 m?,6.783 °
760 Hz,7.9045 m?,6.9847 °
780 Hz,7.9187 m?,7.1087 °
800 Hz,7.9457 m?,7.2206 °
