Frequency,Z,?°
20 Hz,7.568 m?,1.3722 °
40 Hz,7.669 m?,-0.3019 °
60 Hz,7.6177 m?,0.2824 °
80 Hz,7.6256 m?,1.3404 °
100 Hz,7.6299 m?,2.4612 °
120 Hz,7.6789 m?,2.4564 °
140 Hz,7.9404 m?,3.6334 °
160 Hz,7.9985 m?,4.0395 °
180 Hz,7.8672 m?,3.9878 °
200 Hz,7.752 m?,3.8677 °
220 Hz,7.754 m?,4.6377 °
240 Hz,7.7616 m?,5.3688 °
260 Hz,7.7674 m?,5.7284 °
280 Hz,7.7737 m?,5.4837 °
300 Hz,7.7584 m?,5.2474 °
320 Hz,7.8512 m?,5.466 °
340 Hz,7.8744 m?,5.6508 °
360 Hz,7.8836 m?,5.9423 °
380 Hz,7.894 m?,6.2741 °
400 Hz,7.886 m?,6.5058 °
420 Hz,7.908 m?,6.775 °
440 Hz,7.91 m?,6.9781 °
460 Hz,7.9188 m?,7.2943 °
480 Hz,7.919 m?,7.5279 °
500 Hz,7.9339 m?,7.9069 °
520 Hz,7.9484 m?,8.1412 °
540 Hz,7.9578 m?,8.3686 °
560 Hz,7.9696 m?,8.6722 °
580 Hz,7.9824 m?,8.9666 °
600 Hz,7.9962 m?,9.3158 °
620 Hz,7.9991 m?,9.5648 °
640 Hz,8.003 m?,9.772 °
660 Hz,8.0102 m?,10.0153 °
680 Hz,8.022 m?,10.1831 °
700 Hz,8.0444 m?,10.472 °
720 Hz,8.0542 m?,10.6926 °
740 Hz,8.083 m?,10.9091 °
760 Hz,8.104 m?,11.1776 °
780 Hz,8.1305 m?,11.3266 °
800 Hz,8.1605 m?,11.5364 °
820 Hz,8.1746 m?,11.6857 °
840 Hz,8.1894 m?,11.9179 °
860 Hz,8.1982 m?,12.1012 °
880 Hz,8.2175 m?,12.2935 °
900 Hz,8.2306 m?,12.4309 °
920 Hz,8.2516 m?,12.6101 °
940 Hz,8.262 m?,12.7268 °
960 Hz,8.2728 m?,12.8475 °
980 Hz,8.2884 m?,13.012 °
