Frequency,Z,?°
1 kHz,6.3918 m?,9.0954 °
1.1 kHz,6.6552 m?,8.7834 °
1.2 kHz,6.6954 m?,9.1272 °
1.3 kHz,6.7307 m?,9.4524 °
1.4 kHz,6.759 m?,9.7403 °
1.5 kHz,6.7863 m?,9.9902 °
1.6 kHz,6.8169 m?,10.3538 °
1.7 kHz,6.8271 m?,10.693 °
1.8 kHz,6.8467 m?,10.998 °
1.9 kHz,6.8692 m?,11.3321 °
2 kHz,6.8799 m?,11.5532 °
2.1 kHz,6.9049 m?,11.9698 °
2.2 kHz,6.9151 m?,12.2111 °
2.3 kHz,6.9279 m?,12.4915 °
2.4 kHz,6.935 m?,12.7737 °
2.5 kHz,6.9469 m?,13.0221 °
2.6 kHz,6.9554 m?,13.3403 °
2.7 kHz,6.9688 m?,13.5626 °
2.8 kHz,6.9718 m?,13.8323 °
2.9 kHz,6.98 m?,14.1174 °
3 kHz,6.9927 m?,14.4418 °
3.1 kHz,7.2613 m?,14.0012 °
3.2 kHz,7.3134 m?,13.7773 °
3.3 kHz,7.3883 m?,14.5645 °
3.4 kHz,7.3812 m?,14.2787 °
3.5 kHz,7.3762 m?,14.301 °
3.6 kHz,7.4088 m?,14.4872 °
3.7 kHz,7.436 m?,14.6953 °
3.8 kHz,7.4634 m?,14.599 °
3.9 kHz,7.4509 m?,15.0971 °
4 kHz,7.4366 m?,15.155 °
4.1 kHz,7.4402 m?,14.9885 °
4.2 kHz,7.449 m?,16.0259 °
4.3 kHz,7.4844 m?,16.0585 °
4.4 kHz,7.5155 m?,16.4634 °
4.5 kHz,7.5283 m?,16.6238 °
4.6 kHz,7.511 m?,16.8548 °
4.7 kHz,7.5224 m?,17.1939 °
4.8 kHz,7.5835 m?,17.5672 °
4.9 kHz,7.5037 m?,17.2721 °
5 kHz,7.5801 m?,17.7117 °
