Frequency,Z,?°
0.02 kHz,8.2928 m?,20.7399 °
0.04 kHz,6.3814 m?,3.2599 °
0.06 kHz,6.4603 m?,3.9582 °
0.08 kHz,6.3928 m?,4.7234 °
0.1 kHz,6.1978 m?,3.7996 °
0.12 kHz,6.4202 m?,5.5197 °
0.14 kHz,6.2216 m?,4.026 °
0.16 kHz,6.1014 m?,4.3471 °
0.18 kHz,6.3278 m?,6.4436 °
0.2 kHz,6.4812 m?,7.1504 °
0.22 kHz,6.6715 m?,9.0522 °
0.24 kHz,6.9573 m?,9.5914 °
0.26 kHz,6.9284 m?,10.66 °
0.28 kHz,6.8187 m?,11.2817 °
0.3 kHz,6.6836 m?,11.3244 °
0.32 kHz,6.7068 m?,12.1196 °
0.34 kHz,6.7182 m?,12.2432 °
0.36 kHz,6.6447 m?,13.0972 °
0.38 kHz,6.8164 m?,13.0404 °
0.4 kHz,6.7704 m?,14.2385 °
0.42 kHz,6.9021 m?,14.5374 °
0.44 kHz,6.7244 m?,16.0256 °
0.46 kHz,6.8474 m?,16.9854 °
0.48 kHz,6.897 m?,16.1681 °
0.5 kHz,6.9794 m?,16.8797 °
0.52 kHz,7.0238 m?,17.0948 °
0.54 kHz,7.0398 m?,16.9898 °
0.56 kHz,7.0985 m?,17.3563 °
0.58 kHz,7.0709 m?,18.5565 °
0.6 kHz,7.0963 m?,19.3148 °
0.62 kHz,7.1212 m?,19.8725 °
0.64 kHz,7.1384 m?,20.9831 °
0.66 kHz,7.1122 m?,20.0254 °
0.68 kHz,7.2 m?,21.1336 °
0.7 kHz,7.2115 m?,22.0592 °
0.72 kHz,7.2811 m?,22.1249 °
0.74 kHz,7.4001 m?,23.1833 °
0.76 kHz,7.2307 m?,22.6744 °
0.78 kHz,7.3978 m?,23.2018 °
0.8 kHz,7.429 m?,23.9634 °
0.82 kHz,7.4824 m?,24.1543 °
0.84 kHz,7.5616 m?,25.2728 °
0.86 kHz,7.5886 m?,25.315 °
0.88 kHz,7.6004 m?,25.7176 °
0.9 kHz,7.6362 m?,26.3469 °
0.92 kHz,7.6644 m?,26.6327 °
0.94 kHz,7.6866 m?,27.2373 °
0.96 kHz,7.7201 m?,27.0441 °
0.98 kHz,7.7835 m?,27.6032 °
