Frequency,Z,?°
1 kHz,8.006 m?,30.3212 °
2 kHz,10.1563 m?,42.0639 °
3 kHz,12.8223 m?,51.0153 °
4 kHz,15.2771 m?,56.5091 °
5 kHz,18.2999 m?,63.5252 °
6 kHz,21.2698 m?,61.3259 °
7 kHz,23.8945 m?,70.2707 °
8 kHz,26.167 m?,69.5372 °
9 kHz,29.9654 m?,70.2208 °
10 kHz,32.2173 m?,71.9733 °
11 kHz,35.6229 m?,68.4807 °
12 kHz,40.386 m?,85.1292 °
13 kHz,41.4435 m?,73.8078 °
14 kHz,43.5072 m?,73.455 °
15 kHz,45.5234 m?,78.3342 °
16 kHz,46.3374 m?,74.9175 °
17 kHz,50.1292 m?,75.6441 °
18 kHz,56.8727 m?,77.6602 °
19 kHz,55.3056 m?,78.6008 °
20 kHz,60.0998 m?,76.6408 °
21 kHz,60.827 m?,78.874 °
22 kHz,61.5525 m?,81.2293 °
23 kHz,67.2315 m?,78.8443 °
24 kHz,71.3985 m?,81.8813 °
25 kHz,71.684 m?,82.1886 °
26 kHz,74.9939 m?,82.131 °
27 kHz,78.96 m?,82.1346 °
28 kHz,80.3872 m?,80.1971 °
29 kHz,81.4992 m?,79.3187 °
30 kHz,85.6845 m?,81.6637 °
31 kHz,88.4743 m?,79.6507 °
32 kHz,90.4209 m?,80.5907 °
33 kHz,94.231 m?,82.9645 °
34 kHz,96.75 m?,81.2764 °
35 kHz,101.007 m?,83.6649 °
36 kHz,103.373 m?,83.4881 °
37 kHz,107.41 m?,82.2634 °
38 kHz,107.859 m?,82.6796 °
39 kHz,110.785 m?,82.7907 °
40 kHz,112.996 m?,82.348 °
41 kHz,116.619 m?,83.5783 °
42 kHz,119.902 m?,82.2544 °
43 kHz,122.048 m?,85.4645 °
44 kHz,123.207 m?,83.2841 °
45 kHz,128.484 m?,83.3397 °
46 kHz,127.209 m?,79.6827 °
47 kHz,124.585 m?,79.0346 °
48 kHz,127.628 m?,80.3272 °
49 kHz,129.712 m?,80.115 °
50 kHz,132.542 m?,80.1235 °
51 kHz,137.439 m?,80.0195 °
52 kHz,141.608 m?,81.8631 °
53 kHz,145.361 m?,81.291 °
54 kHz,147.371 m?,82.2344 °
55 kHz,151.267 m?,82.9741 °
56 kHz,154.069 m?,82.9328 °
57 kHz,155.685 m?,82.1329 °
58 kHz,159.204 m?,84.2907 °
59 kHz,162.009 m?,84.789 °
60 kHz,168.396 m?,83.1571 °
61 kHz,170.419 m?,84.5312 °
62 kHz,174.025 m?,84.739 °
63 kHz,175.4 m?,83.3101 °
64 kHz,180.056 m?,84.1711 °
65 kHz,179.483 m?,84.8285 °
66 kHz,184.885 m?,84.7924 °
67 kHz,184.819 m?,85.0096 °
68 kHz,189.044 m?,85.0447 °
69 kHz,190.458 m?,84.964 °
70 kHz,192.372 m?,84.6977 °
71 kHz,196.262 m?,85.0067 °
72 kHz,199.464 m?,84.8459 °
73 kHz,200.603 m?,84.9789 °
74 kHz,205.863 m?,84.7946 °
75 kHz,207.389 m?,84.6842 °
76 kHz,209.322 m?,84.4811 °
77 kHz,212.928 m?,85.1558 °
78 kHz,213.722 m?,84.8361 °
79 kHz,216.099 m?,84.9102 °
80 kHz,221.97 m?,84.7487 °
81 kHz,223.512 m?,84.6436 °
82 kHz,224.665 m?,85.0822 °
83 kHz,228.283 m?,85.4223 °
84 kHz,231.015 m?,84.8186 °
85 kHz,233.974 m?,85.3325 °
86 kHz,235.972 m?,85.2388 °
87 kHz,238.035 m?,85.1926 °
88 kHz,241.22 m?,85.0939 °
89 kHz,242.085 m?,85.6348 °
90 kHz,247.141 m?,85.6453 °
91 kHz,250.464 m?,85.239 °
92 kHz,252.272 m?,85.3445 °
93 kHz,255.947 m?,85.6983 °
94 kHz,256.801 m?,85.4211 °
95 kHz,259.193 m?,85.6468 °
96 kHz,262.102 m?,85.3605 °
97 kHz,263.962 m?,86.0612 °
98 kHz,266.447 m?,85.9217 °
99 kHz,271.201 m?,85.7129 °
100 kHz,273.75 m?,85.8083 °
