Frequency,Z,?°
0.02 kHz,20.6938 m?,-0.3323 °
0.04 kHz,20.667 m?,0.2555 °
0.06 kHz,20.7676 m?,0.7749 °
0.08 kHz,20.5717 m?,1.1488 °
0.1 kHz,20.6204 m?,1.1484 °
0.12 kHz,20.6536 m?,1.5474 °
0.14 kHz,21.0474 m?,1.7512 °
0.16 kHz,20.9216 m?,2.0056 °
0.18 kHz,20.9066 m?,2.216 °
0.2 kHz,20.7641 m?,2.5658 °
0.22 kHz,20.8011 m?,2.7597 °
0.24 kHz,20.8851 m?,2.7336 °
0.26 kHz,20.8518 m?,3.1276 °
0.28 kHz,20.8914 m?,3.3247 °
0.3 kHz,20.8467 m?,3.7066 °
0.32 kHz,20.9002 m?,3.7275 °
0.34 kHz,20.9025 m?,3.9298 °
0.36 kHz,20.8994 m?,4.1217 °
0.38 kHz,20.9135 m?,4.3021 °
0.4 kHz,20.9458 m?,4.4579 °
0.42 kHz,20.9505 m?,4.6713 °
0.44 kHz,20.9334 m?,4.8156 °
0.46 kHz,20.9607 m?,4.9786 °
0.48 kHz,20.9044 m?,5.1627 °
0.5 kHz,20.9171 m?,5.2892 °
0.52 kHz,20.9121 m?,5.4812 °
0.54 kHz,20.919 m?,5.6784 °
0.56 kHz,20.909 m?,5.8828 °
0.58 kHz,20.8988 m?,6.0883 °
0.6 kHz,20.9108 m?,6.353 °
0.62 kHz,20.8994 m?,6.498 °
0.64 kHz,20.8799 m?,6.7021 °
0.66 kHz,20.8603 m?,6.9277 °
0.68 kHz,20.8959 m?,7.1868 °
0.7 kHz,20.8828 m?,7.4602 °
0.72 kHz,20.8825 m?,7.6336 °
0.74 kHz,20.8996 m?,7.8907 °
0.76 kHz,20.9083 m?,8.0992 °
0.78 kHz,20.9308 m?,8.2844 °
0.8 kHz,20.9731 m?,8.5023 °
0.82 kHz,20.9993 m?,8.7015 °
0.84 kHz,20.9826 m?,8.9604 °
0.86 kHz,20.9852 m?,9.1847 °
0.88 kHz,20.9757 m?,9.3336 °
0.9 kHz,21.0072 m?,9.5411 °
0.92 kHz,20.9997 m?,9.7348 °
0.94 kHz,21.0193 m?,9.9259 °
0.96 kHz,21.0398 m?,10.0806 °
0.98 kHz,21.0466 m?,10.2921 °
