Frequency,Z,?°
20 Hz,22.4118 m?,-7.3688 °
40 Hz,24.3378 m?,-0.8294 °
60 Hz,24.1367 m?,-0.617 °
80 Hz,24.1524 m?,0.1925 °
100 Hz,24.1413 m?,0.5474 °
120 Hz,24.1791 m?,0.6275 °
140 Hz,24.071 m?,1.0956 °
160 Hz,24.1486 m?,1.4448 °
180 Hz,24.208 m?,1.2742 °
200 Hz,24.2051 m?,1.3169 °
220 Hz,24.2231 m?,1.5581 °
240 Hz,24.2414 m?,1.7278 °
260 Hz,24.2069 m?,1.9714 °
280 Hz,24.2737 m?,1.9238 °
300 Hz,24.2344 m?,1.9553 °
320 Hz,24.247 m?,2.0093 °
340 Hz,24.1656 m?,2.0074 °
360 Hz,24.1946 m?,2.3016 °
380 Hz,24.219 m?,2.2493 °
400 Hz,24.2193 m?,2.405 °
420 Hz,24.2307 m?,2.4974 °
440 Hz,24.1949 m?,2.6911 °
460 Hz,24.1526 m?,2.7981 °
480 Hz,24.181 m?,2.8025 °
500 Hz,24.1602 m?,3.0155 °
520 Hz,24.1535 m?,3.0364 °
540 Hz,24.1045 m?,3.3273 °
560 Hz,24.0577 m?,3.394 °
580 Hz,24.1033 m?,3.4737 °
600 Hz,24.0885 m?,3.6336 °
620 Hz,24.0531 m?,3.783 °
640 Hz,24.0072 m?,3.9892 °
660 Hz,24.005 m?,3.9981 °
680 Hz,24.0212 m?,4.2303 °
700 Hz,24.0032 m?,4.3691 °
720 Hz,23.9813 m?,4.5326 °
740 Hz,23.9932 m?,4.637 °
760 Hz,24.0108 m?,4.8271 °
780 Hz,24.0067 m?,4.999 °
800 Hz,24.0143 m?,5.1538 °
820 Hz,24.0228 m?,5.3262 °
840 Hz,23.9898 m?,5.5216 °
860 Hz,24.0143 m?,5.5388 °
880 Hz,23.9898 m?,5.6923 °
900 Hz,23.9961 m?,5.8633 °
920 Hz,23.9685 m?,5.987 °
940 Hz,23.9718 m?,6.1252 °
960 Hz,23.9821 m?,6.2768 °
980 Hz,23.9896 m?,6.3905 °
