Frequency,Z,?°
20 Hz,26.9207 m?,-3.6704 °
40 Hz,27.3657 m?,-0.5081 °
60 Hz,27.3138 m?,-0.3416 °
80 Hz,27.1241 m?,0.1102 °
100 Hz,27.1009 m?,0.3777 °
120 Hz,27.1062 m?,0.478 °
140 Hz,27.2319 m?,0.8582 °
160 Hz,27.2526 m?,0.8023 °
180 Hz,27.1099 m?,0.9185 °
200 Hz,27.136 m?,0.9719 °
220 Hz,27.174 m?,1.1591 °
240 Hz,27.2511 m?,1.5498 °
260 Hz,27.2705 m?,1.5512 °
280 Hz,27.1939 m?,1.5182 °
300 Hz,27.1531 m?,1.443 °
320 Hz,27.1296 m?,1.487 °
340 Hz,27.0937 m?,1.4599 °
360 Hz,27.0663 m?,1.7361 °
380 Hz,27.1244 m?,1.6754 °
400 Hz,27.1009 m?,1.8047 °
420 Hz,27.0951 m?,1.8405 °
440 Hz,27.1176 m?,2.0116 °
460 Hz,27.1095 m?,2.0495 °
480 Hz,27.064 m?,2.152 °
500 Hz,27.0394 m?,2.2508 °
520 Hz,27.0002 m?,2.2924 °
540 Hz,27.0403 m?,2.4017 °
560 Hz,27.0112 m?,2.3976 °
580 Hz,26.9474 m?,2.6779 °
600 Hz,26.9387 m?,2.7637 °
620 Hz,26.923 m?,2.9088 °
640 Hz,26.872 m?,3.0744 °
660 Hz,26.8703 m?,3.1862 °
680 Hz,26.8444 m?,3.2187 °
700 Hz,26.837 m?,3.3401 °
720 Hz,26.8382 m?,3.47 °
740 Hz,26.8324 m?,3.6109 °
760 Hz,26.7971 m?,3.7015 °
780 Hz,26.8134 m?,3.864 °
800 Hz,26.8267 m?,3.975 °
820 Hz,26.8031 m?,4.1031 °
840 Hz,26.7692 m?,4.16 °
860 Hz,26.8079 m?,4.3138 °
880 Hz,26.7969 m?,4.4106 °
900 Hz,26.7727 m?,4.5214 °
920 Hz,26.7872 m?,4.6338 °
940 Hz,26.7577 m?,4.7724 °
960 Hz,26.758 m?,4.8861 °
980 Hz,26.7542 m?,4.9777 °
