Frequency,Z,?°
1 kHz,28.7334 m?,7.1053 °
1.1 kHz,28.6154 m?,7.4444 °
1.2 kHz,28.6059 m?,8.0642 °
1.3 kHz,28.5582 m?,8.766 °
1.4 kHz,28.5194 m?,9.432 °
1.5 kHz,28.4797 m?,10.0852 °
1.6 kHz,28.4291 m?,10.7922 °
1.7 kHz,28.3453 m?,11.5022 °
1.8 kHz,28.2903 m?,12.2021 °
1.9 kHz,28.2667 m?,12.9276 °
2 kHz,28.191 m?,13.6407 °
2.1 kHz,28.0995 m?,14.4075 °
2.2 kHz,28.032 m?,15.2118 °
2.3 kHz,27.9441 m?,15.954 °
2.4 kHz,27.8855 m?,16.7838 °
2.5 kHz,27.8241 m?,17.5711 °
2.6 kHz,27.7321 m?,18.4122 °
2.7 kHz,27.664 m?,19.2887 °
2.8 kHz,27.5905 m?,20.1484 °
2.9 kHz,27.5216 m?,21.0562 °
3 kHz,27.471 m?,21.9447 °
3.1 kHz,27.5168 m?,23.0132 °
3.2 kHz,27.3541 m?,24.0648 °
3.3 kHz,27.352 m?,24.8654 °
3.4 kHz,27.25 m?,26.071 °
3.5 kHz,27.2673 m?,27.067 °
3.6 kHz,27.1344 m?,28.051 °
3.7 kHz,27.0507 m?,29.0977 °
3.8 kHz,27.0867 m?,29.9658 °
3.9 kHz,27.0189 m?,31.0771 °
4 kHz,27.0354 m?,32.1289 °
4.1 kHz,27.0335 m?,33.4401 °
4.2 kHz,27.0262 m?,34.5863 °
4.3 kHz,27.057 m?,35.942 °
4.4 kHz,27.1664 m?,36.9093 °
4.5 kHz,27.1434 m?,38.258 °
4.6 kHz,27.1335 m?,39.4558 °
4.7 kHz,27.2831 m?,40.4405 °
4.8 kHz,27.3375 m?,41.8052 °
4.9 kHz,27.5179 m?,42.8182 °
5 kHz,27.5343 m?,43.952 °
