Frequency,Z,?°
5 kHz,30.0462 m?,48.2966 °
30 kHz,252.09 m?,96.9559 °
55 kHz,493.634 m?,94.2221 °
80 kHz,728.821 m?,92.5433 °
105 kHz,959.021 m?,91.5247 °
130 kHz,1.1745 ?,90.9036 °
155 kHz,1.3993 ?,90.5328 °
180 kHz,1.6233 ?,90.2013 °
205 kHz,1.8458 ?,89.9288 °
230 kHz,2.0679 ?,89.7295 °
255 kHz,2.2892 ?,89.5465 °
280 kHz,2.51 ?,89.4015 °
305 kHz,2.7301 ?,89.2671 °
330 kHz,2.9496 ?,89.1502 °
355 kHz,3.1682 ?,89.047 °
380 kHz,3.3865 ?,88.9563 °
405 kHz,3.6045 ?,88.882 °
430 kHz,3.8218 ?,88.8169 °
455 kHz,4.0392 ?,88.756 °
480 kHz,4.2556 ?,88.7056 °
505 kHz,4.4716 ?,88.659 °
530 kHz,4.6873 ?,88.6123 °
555 kHz,4.9026 ?,88.5773 °
580 kHz,5.1176 ?,88.541 °
605 kHz,5.3324 ?,88.5087 °
630 kHz,5.5472 ?,88.4833 °
655 kHz,5.7614 ?,88.4623 °
680 kHz,5.9751 ?,88.4385 °
705 kHz,6.1892 ?,88.411 °
730 kHz,6.4025 ?,88.3857 °
755 kHz,6.6154 ?,88.3567 °
780 kHz,6.8276 ?,88.3287 °
805 kHz,7.0394 ?,88.3025 °
830 kHz,7.2519 ?,88.2846 °
855 kHz,7.463 ?,88.2655 °
880 kHz,7.674 ?,88.2468 °
905 kHz,7.8845 ?,88.2325 °
930 kHz,8.0946 ?,88.2166 °
955 kHz,8.3039 ?,88.2036 °
980 kHz,8.513 ?,88.1869 °
