Ladekurvenmessung
Zeit: 2018_05_02 15.15.14
Info: FVA3, v = 0.2108, T = 40, F = 20, h = 148.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.002245	0.00037	0.000271	0.004943	-0.001209
1	0.00241	0.000502	0.005502	0.003265	0.002673
2	0.005568	0.000107	-2.5e-05	0.007871	-0.002196
3	0.004811	-2.5e-05	0.000929	0.005009	0.00014
4	0.001949	-2.5e-05	0.00139	0.004844	0.000469
5	0.004844	-9e-05	0.002081	0.007871	-0.000946
6	0.00264	8e-06	-0.002854	0.009088	0.001489
7	0.003956	-0.000189	-0.003578	0.008332	0.00037
8	0.001818	-0.000123	0.000699	0.011029	0.001456
9	0.0006	0.001291	-0.000189	0.009319	0.00014
10	0.001554	0.000666	0.000765	0.008694	0.001193
11	0.003199	0.001554	0.000864	0.007312	0.001127
12	0.003002	-0.001735	0.003265	0.009253	0.004483
13	0.002377	0.004647	0.000304	0.00718	0.00037
14	0.002048	0.004943	0.000831	0.005272	0.001127
15	0.004318	0.001982	0.00014	0.008068	0.001028
16	0.003627	-0.001275	0.001193	0.009352	0.001324
17	0.006489	-0.00213	0.000206	0.009549	0.00491
18	0.001883	-0.00111	0.002245	0.008792	0.005437
19	0.005766	-0.000189	0.001061	0.007082	0.00287
20	0.006424	-0.000683	0.001554	0.005437	0.001357
21	0.003693	-0.000189	-0.000979	0.009187	0.005798
22	0.009319	-0.000979	-2.5e-05	0.010042	0.003989
23	0.004285	8e-06	-0.001045	0.00843	0.006292
24	0.005634	0.000502	-0.003578	0.00514	0.001785
25	0.00491	-0.001077	-0.002525	0.011391	0.002081
26	0.005766	0.000239	-0.001735	0.007476	0.001883
27	0.003594	0.000107	0.001883	0.007674	0.003331
28	0.005831	-9e-05	0.000633	0.008167	0.000633
29	0.002245	-5.8e-05	0.001851	0.006259	0.002607
30	0.003496	-9e-05	0.002509	0.007411	0.002443
31	0.004285	-2.5e-05	0.001456	0.006522	0.004976
32	0.005173	0.000107	0.001258	0.008266	0.002081
33	0.005502	8e-06	0.003265	0.005173	0.003561
34	0.004384	0.00014	0.002311	0.007608	0.003759
35	0.009319	7.4e-05	0.001587	0.005173	0.003989
36	0.006325	0.000107	0.000897	0.005963	0.000699
37	0.009384	-5.8e-05	0.001061	0.008562	0.002015
38	0.007707	-0.000156	0.003561	0.009154	0.003265
39	0.008792	-9e-05	-0.001768	0.006818	0.002838
40	0.004219	-0.000156	-0.000354	0.009746	0.002114
41	0.005469	-5.8e-05	0.003956	0.008661	0.002278
42	0.004614	-5.8e-05	0.001456	0.008858	0.004154
43	0.005897	-0.000814	0.001522	0.007049	0.002673
44	0.004055	-0.002328	0.001291	0.008299	0.003002
45	0.006818	0.000403	-0.001012	0.007378	0.002903
46	0.002936	-0.001538	8e-06	0.004186	0.005108
47	0.006687	-0.002163	0.000271	0.005634	0.002048
48	0.007707	-0.001801	0.001851	0.005239	0.00366
49	0.005667	0.001028	0.001883	0.006818	0.002048
50	0.011622	-0.000321	0.004055	0.00514	0.002015
51	0.006424	-0.000913	0.001522	0.007147	0.000897
52	0.005798	0.00037	0.005831	0.008068	0.001456
53	0.007246	-0.000419	0.002673	0.007871	0.001094
54	0.00843	-0.000419	0.003792	0.00445	0.00241
55	0.006062	0.000239	0.002739	0.005469	0.004351
56	0.007246	-0.000584	0.003397	0.005404	0.000765
57	0.008694	-0.002986	0.002969	0.007476	-2.5e-05
58	0.007147	0.003134	0.003594	0.005371	0.001883
59	0.009154	0.001719	0.001357	0.008694	0.00139
60	0.007312	0.003002	0.003002	0.00797	0.00037
61	-0.001045	0.000666	0.005042	0.006193	0.003463
62	0.008562	0.004844	-0.001242	0.009746	-0.000551
63	0.006983	0.001653	0.003002	0.007476	0.005305
64	0.007509	0.001785	0.003134	0.005042	0.00218
65	0.007114	-0.002097	0.002673	0.003496	0.003989
66	0.005437	0.000436	0.00366	0.005667	0.001851
67	0.004976	0.000765	0.005075	0.002476	0.004252
68	0.0057	-0.002064	0.000765	0.004088	0.004318
69	0.006588	-0.001637	0.002015	0.006654	0.007312
70	0.005535	0.000173	-0.000748	0.004417	0.005371
71	0.004515	4.1e-05	0.001752	0.005305	0.005733
72	0.006193	-0.001275	0.001554	0.008134	0.007279
73	0.005042	-0.000716	0.001357	0.0057	0.007707
74	0.005766	-2.5e-05	0.00366	0.010108	0.005173
75	0.005897	0.001719	0.001258	0.002838	0.007838
76	0.005239	-0.001933	-0.001242	0.002969	0.004844
