Ladekurvenmessung
Zeit: 2018_05_02 15.18.44
Info: FVA3, v = 0.2937, T = 40, F = 20, h = 189.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.000239	0.001916	0.001851	0.003726	-0.001768	0.007871
1	0.001522	0.00162	7.4e-05	0.004252	-0.003611	0.009648
2	0.003397	0.007575	0.000206	0.003792	-0.000189	0.008595
3	0.000831	0.006424	0.000107	0.005108	-0.002657	0.00593
4	0.002344	0.000568	0.002574	0.00389	-0.000979	0.008628
5	-0.00088	0.001225	-0.000189	0.005437	-0.000419	0.006851
6	0.00343	0.003792	0.001982	0.003693	-0.002295	0.007312
7	-0.001275	0.005897	0.000239	0.005766	0.000864	0.007542
8	0.000469	0.004417	0.000897	0.007476	0.002311	0.009187
9	-0.000354	0.005502	-0.000781	0.00343	-0.000321	0.005831
10	0.002574	0.006654	-0.000946	0.00366	0.003101	0.010931
11	0.003594	0.006489	8e-06	0.004483	0.003857	0.006621
12	0.003035	0.00468	-0.000354	0.000568	-0.006078	0.007312
13	0.000897	0.008101	0.00139	0.004154	-0.000683	0.008036
14	-0.001374	0.008529	-0.000913	0.004022	-0.000485	0.00593
15	0.001949	0.004351	0.001061	0.005798	-0.002887	0.005108
16	-0.000288	0.004318	-0.002032	0.000699	-0.001472	0.00718
17	0.001949	0.004614	0.003167	0.000962	-0.003051	0.006851
18	0.000502	0.004055	0.004351	0.001785	-0.001406	0.004713
19	-0.000617	0.002311	0.005239	0.001225	-0.000913	0.006785
20	0.004121	0.000469	0.000271	0.002969	-0.002821	0.005667
21	-0.001439	0.000469	0.002015	0.00343	-0.001045	0.009746
22	-0.004005	0.001193	0.000304	0.003397	-0.007295	0.005042
23	-0.000847	0.000798	0.001456	0.002015	-0.00338	0.0107
24	-0.004367	0.001686	-0.000748	0.002903	-0.000781	0.006687
25	-0.00644	-0.001242	0.00014	0.00037	-0.000781	0.006917
26	-0.005519	0.001258	-0.000683	0.001028	-0.001505	0.008496
27	-0.001176	-0.002657	-0.00236	-0.000222	-0.000288	0.006424
28	-0.002459	0.002476	0.002015	0.001258	0.000239	0.005568
29	-0.002986	-0.001867	-0.003413	0.000206	-0.000156	0.006226
30	-0.001703	0.000436	0.001719	0.001489	0.002377	0.005272
31	-0.000387	0.000271	-0.000946	-0.00111	-0.00496	0.006555
32	-0.000781	0.001127	-0.000847	-0.000123	-0.003117	0.005897
33	-0.00338	-0.000189	0.000732	-0.001604	-0.004762	0.007147
34	-0.001012	0.000403	0.001752	-0.00111	-0.002722	0.004121
35	-0.003117	0.000107	0.000666	0.000403	-0.00417	0.004943
36	-0.003018	0.000732	0.000403	-0.003117	-0.002788	0.005831
37	-0.002064	-0.000123	0.000929	4.1e-05	-0.004499	0.005963
38	-0.004071	0.000436	0.001127	0.000864	-0.002755	0.011161
39	-0.002986	-0.000387	-5.8e-05	0.00139	-0.001933	0.002903
40	0.000732	4.1e-05	0.000831	0.001883	-0.002657	0.003496
41	-0.006637	0.001258	8e-06	0.000929	0.000206	0.005371
42	-0.001374	-0.000913	-0.000485	-0.000485	0.000929	0.006127
43	-0.00065	-0.001341	-0.002295	0.001094	-0.000946	0.003463
44	-0.004269	0.000995	0.000173	-0.000617	-0.001703	0.005766
45	-0.002328	0.000732	0.001258	-9e-05	0.000173	0.003857
46	-0.005387	-0.002591	-0.000485	-0.000321	-0.003183	0.004088
47	-0.004203	-0.000321	0.003759	-0.000123	-0.001012	0.00718
48	-0.001571	-5.8e-05	0.004186	0.00037	-0.001867	0.006884
49	-0.004499	0.000206	0.000666	8e-06	-0.00167	0.005766
50	-0.003051	0.002673	-0.002196	-0.000387	-0.000781	0.002936
51	-0.003249	-0.001045	-0.00167	-0.000551	-0.001768	0.003068
52	-0.006275	0.001291	-0.00167	-0.000419	-0.00338	0.003594
53	-0.000716	-0.000387	0.000535	0.000568	-0.000387	0.002903
54	-0.004828	0.000897	-0.003084	0.00014	-0.003051	-0.001505
55	-0.004005	-0.001439	0.002147	7.4e-05	-0.001176	0.004154
56	-0.005552	-0.000189	0.004022	-0.000255	-0.000452	0.001554
57	-0.005519	-0.000354	0.000173	-0.000748	-0.002328	0.001554
58	-0.007888	0.002838	0.000864	0.000469	-0.002328	0.003298
59	-0.007065	0.000831	0.001357	0.000107	-0.002262	0.004318
60	-0.002328	0.001456	0.000765	-0.000321	-0.002459	0.001653
61	-0.007756	0.000798	-0.000288	-2.5e-05	-5.8e-05	0.003265
62	-0.006341	0.003726	-0.000189	0.003167	0.000502	0.002739
63	-0.004729	0.00014	-0.000518	0.001851	-0.001012	0.002114
64	-0.003973	0.002903	0.000732	0.005601	-0.001538	0.00218
65	-0.003874	0.001554	-0.000156	-0.000781	-0.001308	-0.00065
66	-0.002558	0.000995	0.003265	0.001028	0.000107	0.004483
67	-0.00417	-0.000814	-0.000485	-0.00088	0.001653	-0.000321
68	-0.002295	-0.001735	0.000107	-0.001801	-0.004729	0.001423
69	-0.004762	-0.003315	-0.004499	-0.000387	-0.004269	0.001258
70	-0.004762	8e-06	0.004483	-0.000847	-0.000814	0.00366
71	-0.005716	-0.00394	-0.000551	-0.002393	-0.002854	0.000666
72	-0.007262	-0.003315	-0.000452	-0.001341	-0.003018	0.003232
73	-0.007131	-0.000781	0.001127	-0.000584	-0.003973	0.001094
74	-0.003676	-0.005058	-0.001571	-0.000847	-0.001275	0.001686
75	-0.005091	-0.004631	0.001127	0.000304	4.1e-05	0.004384
76	-0.006407	-0.002196	-0.002229	-0.001735	7.4e-05	0.001258
77	-0.006177	0.000304	0.000699	0.001554	-0.000683	-0.001439
78	-0.005025	-0.002657	-0.000189	0.000436	0.001061	0.001719
79	-0.006374	-0.000946	-0.001703	-0.00065	-0.002854	0.000633
80	-0.003282	-0.001538	-0.000156	-0.000814	-0.005486	0.002574
81	-0.002788	-0.0019	-0.00519	-0.001801	-0.002426	0.004877
82	-0.003282	-0.002657	-0.002328	-0.002657	-0.003183	0.001094
83	-0.002426	-9e-05	-0.001308	-0.004005	0.000732	0.005173
84	-0.003709	-0.004598	0.000337	-0.000485	-0.002525	0.005371
85	-0.000123	-0.005486	0.002311	0.00241	-0.000683	0.00037
86	-0.004137	-0.003676	-0.003117	-0.002393	-0.001538	0.003199
87	-0.002492	-0.000979	0.00241	-0.001012	-0.000156	0.001489
88	-0.002755	-0.001209	0.001324	-0.003282	-0.00644	-0.001275
89	-0.00213	0.000403	0.001883	-0.001308	-0.002591	0.003397
90	-0.001867	0.000732	-9e-05	4.1e-05	-0.004762	0.00139
91	-0.002163	-0.001012	-0.000683	-0.001275	-0.004104	0.002476
92	-0.004466	0.001225	-0.001308	0.00287	-0.003611	0.002114
93	-0.002097	-0.001703	-0.002097	-0.000255	-0.0019	0.00162
94	-0.003742	0.000403	-0.001209	0.002739	-0.000354	0.002015
95	-0.002295	-0.001012	-0.001374	0.002048	-0.001012	0.002772
96	-0.000814	0.004746	-0.0019	0.002541	-5.8e-05	0.001785
97	-0.001538	0.004022	-0.006999	0.000765	-0.000288	0.001423
98	0.004548	0.003528	0.000436	-0.000288	0.000107	-0.000551
99	-0.000354	-0.002755	-9e-05	-0.000683	-0.00213	0.001456
100	0.00287	-0.001176	-0.001374	0.001489	-0.001176	0.001324
101	-0.000123	-0.001045	-0.001933	-0.000255	-0.001538	-0.002032
102	0.002147	-0.002722	-0.001505	7.4e-05	-0.002459	0.000897
103	0.000633	-0.001341	-0.002525	0.000568	-0.002492	0.001554
104	0.000436	-0.002657	-0.003183	-0.001867	-0.001703	0.001554
105	0.000337	0.001423	-0.001735	0.00139	-0.001735	-0.005256
106	0.000271	-0.003347	-0.00236	-0.000979	-0.001834	0.001686
107	0.000173	0.00287	-0.001735	-0.000288	-0.0019	-0.003907
108	-0.000518	-0.005716	-0.00292	0.003463	0.001028	-0.002229
109	-0.002097	-0.000255	0.000436	0.003397	0.002015	-0.001472
110	-0.002328	-0.003479	-0.004367	0.000206	0.00162	0.000633
111	-0.001472	-0.002459	-2.5e-05	0.002706	0.001258	-0.00065
112	0.002476	-0.001472	0.000831	8e-06	-0.004367	-0.002328
113	0.000107	0.000206	0.000304	-0.002328	4.1e-05	-0.002064
114	0.000995	-0.000288	-9e-05	0.000403	-0.000913	-0.001143
115	0.00162	0.000271	0.000831	0.000239	0.001653	-0.002887
116	0.000666	0.002311	-0.008019	-0.001341	0.000699	-0.004203
117	0.001653	0.00116	-0.002591	0.000403	0.001489	-0.002229
118	-0.000814	0.000699	0.00037	-0.002097	0.00218	-0.003183
119	0.002936	-0.000617	0.001719	-0.00167	0.001028	-0.001703
120	0.002838	-0.001275	0.003068	0.002739	0.000271	-0.003775
121	-0.000123	-0.002459	7.4e-05	0.000239	0.000864	-0.001045
122	0.00218	-0.000518	0.001061	0.003134	-0.000222	-0.003183
123	0.003528	-0.00088	0.000469	4.1e-05	0.001258	-0.001012
