Ladekurvenmessung
Zeit: 2018_05_02 15.21.41
Info: FVA3, v = 0.4106, T = 40, F = 20, h = 229.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.009434	0.010635	0.011589	0.001752
1	-0.012724	0.016195	0.011029	0.006621
2	-0.007361	0.014648	0.013332	0.006753
3	-0.011671	0.016754	0.008694	0.006621
4	-0.012099	0.018826	0.012378	0.006917
5	-0.01223	0.018695	0.011589	0.005535
6	-0.012757	0.012181	0.012345	-0.003578
7	-0.011572	0.015109	0.008397	0.003331
8	-0.011079	0.014615	0.01399	-0.001604
9	-0.01302	0.014254	0.009977	0.003956
10	-0.015915	0.015602	0.013135	0.003068
11	-0.013941	0.016326	0.011358	0.003528
12	-0.012921	0.017872	0.009944	0.007838
13	-0.011671	0.016227	0.01126	0.005601
14	-0.009829	0.018201	0.008529	0.004614
15	-0.009763	0.015339	0.009055	0.007871
16	-0.010651	0.019386	0.008957	0.006654
17	-0.008085	0.015833	0.011424	0.00116
18	-0.011276	0.018004	0.007707	0.004088
19	-0.008611	0.017346	0.00843	0.004581
20	-0.010256	0.01955	0.009286	0.005437
21	-0.011046	0.018136	0.011457	0.003561
22	-0.009598	0.015767	0.005042	0.006259
23	-0.01019	0.017576	0.009681	0.004351
24	-0.010783	0.014352	0.00797	0.004022
25	-0.008052	0.017807	0.0082	0.003989
26	-0.010289	0.018103	0.007443	0.002739
27	-0.011243	0.021853	0.004943	0.002015
28	-0.009894	0.015043	0.007838	0.001324
29	-0.011441	0.018004	0.00797	0.004811
30	-0.009763	0.018004	0.008101	0.008792
31	-0.008447	0.020373	0.008957	0.006259
32	-0.01223	0.018596	0.009483	0.005798
33	-0.009368	0.019813	0.00445	0.006489
34	-0.007295	0.021129	0.011029	0.00366
35	-0.009072	0.02182	0.007114	0.00491
36	-0.005749	0.022347	0.009055	0.006095
37	-0.011605	0.022149	0.007542	0.007838
38	-0.005453	0.021031	-0.001341	0.005864
39	-0.009171	0.02182	0.010931	0.006193
40	-0.007591	0.017609	0.006818	0.001193
41	-0.008414	0.020307	0.005634	0.007641
42	-0.004367	0.022116	0.006193	0.002443
43	-0.002854	0.020899	0.005568	0.003693
