Ladekurvenmessung
Zeit: 2018_05_03 11.58.18
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
0	-0.000183	-0.001827	-0.003142	0.026114	0.000474	0.000639	-0.000183	-0.006757	0.008692	-0.001005	-0.005771	0.004419
1	-1.9e-05	-0.001169	0.002611	0.029566	0.00031	-0.000841	0.000803	-0.006922	0.005241	0.00031	-0.001498	0.000474
2	0.000146	-0.003306	0.001789	0.028086	0.003104	0.001296	0.005241	-0.008401	0.004419	-0.001498	0.001789	-0.001334
3	-0.000347	-0.000183	0.002775	0.02595	0.000803	-1.9e-05	0.001625	-0.005278	0.006062	-0.000841	0.000967	0.00294
4	-0.000512	-0.005278	-0.002155	0.028415	-1.9e-05	0.002282	0.00031	-0.006757	0.006062	-0.001005	0.002611	-0.000183
5	-0.000512	-0.002813	0.002447	0.026771	-0.003142	0.000639	0.003433	-0.004621	0.004748	-0.000676	-0.001827	0.001789
6	-0.000841	-0.001662	0.00294	0.0271	-0.000347	-0.000841	0.001954	-0.004785	0.003597	0.001625	0.000803	0.002282
7	-0.000676	-0.003635	-1.9e-05	0.024799	-0.001169	0.004748	-0.000512	0.00031	0.007213	0.002775	-0.001169	0.001789
8	0.000639	-0.004128	-0.001005	0.024799	0.003433	-0.002648	-0.000347	-0.006922	0.007213	-0.000676	-0.002484	0.003926
9	0.000967	-0.001827	0.002447	0.021019	0.002447	-0.000183	-0.001169	-0.000347	0.003433	-0.000347	-0.000347	0.002611
10	-0.000841	-0.001498	0.003926	0.022498	0.005569	-0.000512	0.000967	-0.00347	0.006227	-0.005278	-0.002155	-0.000512
11	0.003104	-0.001827	0.002447	0.01954	0.004912	-0.001005	0.002118	-0.004621	0.008363	-0.000841	-0.001334	-1.9e-05
12	0.001132	-0.000676	0.003597	0.018718	0.00146	-0.001991	0.003597	-0.003635	0.005076	-0.001169	-0.002648	0.00031
