Ladekurvenmessung
Zeit: 2018_05_03 13.43.53
Info: FVA3, v = 0.381, T = 40, F = 20, h = 273.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	-1.9e-05	0.000146	0.002118	0.002775	-0.004621	0.001132	-0.000183	-0.000841	0.008857
1	0.00146	0.001132	0.002447	0.00935	-0.004292	0.003104	-1.9e-05	-0.001662	0.00672
2	0.000474	0.000146	0.002611	0.007706	-0.001498	0.002611	-0.000183	-0.001334	0.005734
3	0.002447	0.002118	-0.001005	0.009678	-0.006429	0.004255	-0.000183	-0.001498	0.007706
4	0.00409	-0.000841	0.003104	0.00672	-0.005936	0.003761	0.000146	-0.002484	0.007706
5	0.001625	0.005405	0.002447	0.011158	-0.007579	0.006062	-1.9e-05	-0.001827	0.00672
6	0.000146	0.001625	0.002611	0.009514	-0.002155	0.003433	0.00031	-1.9e-05	0.006556
7	-0.001169	0.00146	0.00031	0.00935	-0.001169	0.002282	0.000146	0.000967	0.005734
8	0.002775	0.00031	0.005076	0.006062	-0.001334	0.001296	-1.9e-05	-0.001005	0.00672
9	0.001132	0.002118	0.004255	0.010993	-0.002648	0.006062	-1.9e-05	0.00031	0.00672
10	0.001132	-0.001662	0.006556	0.009678	-0.00232	0.004748	-1.9e-05	0.00031	0.007377
11	0.000146	-0.000347	0.00409	0.00935	-0.002977	0.003268	-0.000183	0.000474	0.008528
12	-0.000841	-0.002484	0.00409	0.010664	-0.00347	0.003104	-0.000183	-0.000512	0.008857
13	-1.9e-05	-0.000841	0.000474	0.0105	-0.001662	0.003926	0.00031	-0.002155	0.004583
14	0.002118	-0.001827	0.003268	0.011651	-0.004456	0.002447	0.000146	0.000639	0.002118
15	-0.001169	-0.001498	0.003104	0.010664	-0.003799	0.001789	-1.9e-05	0.002118	0.003926
16	-1.9e-05	0.00031	-0.001005	0.010336	-0.003963	0.002282	0.00031	0.00031	-1.9e-05
17	-0.000347	-0.001169	0.003433	0.011815	-0.005936	0.003597	0.000146	-0.000347	0.00031
18	-0.001169	0.001296	-0.001827	0.0105	-0.006757	0.000146	0.000146	0.001296	-0.002155
19	0.003104	0.002447	0.001296	0.010993	-0.006757	0.003104	-1.9e-05	-0.001498	0.000146
20	-0.000347	0.004419	0.000474	0.006556	-0.008072	0.002447	-1.9e-05	0.000967	0.000967
21	0.000474	0.000474	0.001132	0.009185	-0.007579	0.001296	0.000803	-0.002155	0.00409
22	-0.001991	0.002611	0.002447	0.011815	-0.011195	0.002118	-1.9e-05	-0.000512	-1.9e-05
23	0.000146	0.003268	0.003761	0.010993	-0.008565	0.003104	0.000146	-0.000183	0.00031
24	-0.001334	0.000474	-0.000512	0.009678	-0.008565	0.003268	0.000474	-0.003963	-0.002813
25	0.000967	0.00146	0.002775	0.010336	-0.007908	0.000967	-0.000183	-0.003306	0.000146
26	-0.000183	0.00031	0.000967	0.010171	-0.002813	0.003268	0.00031	0.003104	-0.000841
27	0.000639	-0.002155	0.00146	0.011979	-0.001005	0.00409	-0.000183	-0.000841	0.001625
28	0.000803	0.000474	0.001789	0.010336	-0.004128	0.002118	0.00031	-0.000183	0.003268
29	0.000639	-0.000676	0.001625	0.009678	-0.000512	0.000967	-1.9e-05	-0.000347	-0.001498
30	-0.000512	-0.000512	0.002611	0.010829	-0.003635	0.00146	-0.000183	-0.001662	0.004419
31	0.002775	0.001789	0.002775	0.009021	-0.002813	0.003761	-1.9e-05	-0.001498	-0.000183
32	-0.001169	-0.000841	0.002118	0.010993	-0.001662	0.002775	0.000146	-0.001334	0.002447
33	0.000474	0.00146	0.001625	0.009514	-0.005607	-1.9e-05	0.000146	-0.001991	0.000474
34	-1.9e-05	0.001789	0.001789	0.010829	-0.00347	0.003761	0.000146	-0.001662	-0.007086
35	0.000474	0.000639	-0.001334	0.012308	-0.004785	0.000803	-1.9e-05	-0.00232	-0.001662
36	0.001296	0.002447	0.000803	0.009021	-0.005771	0.003433	-0.000183	-0.002813	0.002611
37	-0.001991	-1.9e-05	-0.002648	0.010664	-0.0061	0.00146	-1.9e-05	0.000146	-0.000183
38	-0.000676	0.000967	-0.001498	0.007213	-0.004621	0.003597	0.00031	-0.000183	0.000474
39	0.001132	0.001296	-0.001498	0.008692	-0.0061	0.00294	0.000146	-0.001169	0.000146
40	0.002118	0.00146	-0.001005	0.00672	-0.005114	0.003761	0.000146	0.001625	0.001625
41	-0.000512	0.002775	0.00031	0.00672	-0.005936	0.003433	-1.9e-05	0.00146	0.002775
42	0.002447	-0.001005	-0.002813	0.003433	-0.005771	0.004912	-0.000183	-0.000841	0.001296
43	0.000803	0.002611	-0.004456	0.00409	-0.0061	0.003104	0.000146	0.001132	0.003761
44	0.002118	-0.004949	0.000146	0.003104	-0.008072	0.00146	-1.9e-05	-0.001827	0.000967
45	-0.000183	-0.002484	0.002118	0.007049	-0.00232	0.000803	-0.000183	-0.000183	-0.000512
46	0.003761	-0.001991	-0.00347	0.00672	-0.002977	0.001954	-1.9e-05	-0.001334	-0.002155
47	-0.001498	-0.000183	0.003597	0.006556	0.000146	0.003104	0.000146	-0.001169	0.000967
48	0.001296	0.002118	0.004419	0.004748	-0.000512	0.000967	-0.000183	0.000967	0.000474
49	0.000803	-0.001498	0.001625	0.010007	0.000639	0.004255	0.000146	-0.000347	-0.000183
50	0.002118	0.001296	0.003597	0.004419	-0.000676	-1.9e-05	0.000146	0.000474	0.001132
51	0.002447	0.002447	-0.000676	0.006556	0.003761	0.00409	-1.9e-05	-0.000183	0.000474
52	0.00146	-0.001334	0.00146	0.00787	0.000639	0.00146	-0.000183	0.001296	0.001954
53	0.006227	0.001625	0.003761	0.004255	0.002447	0.002447	-1.9e-05	-0.001005	0.004255
54	0.002447	0.00294	0.002447	0.003761	0.000146	0.00031	-1.9e-05	0.000967	0.002447
55	0.001132	0.002775	0.003104	0.002282	0.000639	0.004255	-1.9e-05	-0.003963	0.001296
56	0.001625	0.000146	0.002775	0.005405	0.003926	0.003761	-0.000183	0.000803	0.00294
57	0.00294	-0.000512	0.002611	0.003926	0.002611	0.004419	-0.000183	-0.002648	-0.001334
58	0.00146	0.002611	0.003433	0.005734	-0.000841	0.002775	0.000146	0.001132	0.002447
59	0.003597	-0.001991	0.003104	0.004255	0.00146	-0.000183	-0.000183	0.000803	-0.000183
60	0.003104	-0.000512	0.003104	0.005241	0.001132	0.005076	0.000146	0.000967	0.001954
61	0.00294	-0.000841	0.000146	0.002775	0.001625	0.002775	0.00031	-0.002155	0.00146
62	0.003926	-0.000183	0.001625	0.002118	0.000146	0.003433	0.000146	0.001789	0.004912
63	0.004419	-0.002155	0.001296	0.003268	0.00031	0.002447	-0.000183	0.00146	0.002118
64	0.006227	0.000474	0.000146	0.003433	0.001625	0.004583	-1.9e-05	0.000967	0.000967
65	0.002611	0.000146	0.001132	0.003926	0.000474	0.000639	-0.000347	0.000803	0.002118
66	0.002447	0.00146	-0.001334	0.002611	-0.001005	0.002611	-0.000183	-0.000676	0.003761
67	0.002447	-0.000512	0.003268	0.004419	-1.9e-05	0.000803	-1.9e-05	0.000803	0.001132
68	0.005405	-0.000347	0.002447	0.003268	-0.000183	0.002611	0.000146	-0.001005	0.00294
69	0.001954	0.001132	-0.001498	0.00409	-0.000512	0.002118	-0.000183	0.000967	-1.9e-05
70	0.003433	-0.000841	0.002118	-0.001334	0.001132	0.001789	0.00031	-0.000841	0.003268
71	0.004419	0.002282	-0.000676	0.003268	0.001789	0.002775	-1.9e-05	0.000146	0.001296
72	0.004912	0.000146	0.005734	0.001132	-0.000183	0.003433	0.000146	0.000803	0.000803
73	0.004255	0.005569	-0.001005	0.001132	-0.000841	0.002775	0.000146	0.003104	0.003926
74	0.004583	-0.000347	0.002611	0.001132	-0.000347	0.004583	-1.9e-05	-0.002484	0.00031
75	0.007706	0.003761	0.001789	-0.001662	0.000146	0.004748	0.000639	-0.001005	0.004583
76	0.006884	-0.001169	0.003268	0.001132	-0.000183	0.001954	0.000146	0.000967	0.002611
77	0.003104	-0.002648	0.00146	0.002118	-0.003142	0.000967	0.000146	-0.000347	0.002282
78	0.005076	-0.001169	-0.002484	0.001132	-0.000183	0.000146	-1.9e-05	-0.001169	0.00146
79	0.001954	0.001625	0.000639	0.002282	0.000146	0.001625	-0.000183	0.000803	0.005405
80	-1.9e-05	-0.000347	0.001132	-0.001005	-0.001498	0.002118	-1.9e-05	0.002447	0.003268
81	0.000474	-0.002648	-0.000676	-0.004621	-0.001334	0.001954	0.000146	-0.000512	0.004748
82	-0.000347	0.000803	0.000474	0.002611	0.002447	0.00146	-1.9e-05	0.001954	0.001954
83	-0.001169	0.001954	0.000146	-0.000676	0.001625	0.001296	-1.9e-05	-0.000183	0.004748
84	-0.000183	0.00294	0.000146	0.001789	-0.002813	0.000474	-1.9e-05	0.000803	0.006391
85	-0.001662	-1.9e-05	0.001789	0.001296	0.000803	0.001954	-0.000183	-0.000676	0.004419
86	-0.000841	0.002282	0.001625	0.000474	-0.000512	0.000803	-1.9e-05	0.00031	0.003597
87	0.000146	-0.000512	0.002611	-0.000347	-0.001498	-1.9e-05	-1.9e-05	-0.000676	0.005898
88	0.000474	0.001625	0.001296	-0.001005	-0.002648	0.00146	0.000146	0.002282	0.005241
89	0.000146	-0.001991	-0.004621	-0.000347	0.001296	0.001789	-0.000347	-0.000347	0.003104
90	0.000146	0.003926	-0.000347	0.000639	-1.9e-05	0.000146	0.000146	-0.000183	0.007213
91	0.000639	0.001296	0.001954	-0.000512	-0.001334	0.003433	-1.9e-05	0.001132	0.004748
92	-0.001827	-0.001991	-0.001334	0.00409	-1.9e-05	0.00031	-1.9e-05	0.00146	0.00672
93	0.001132	0.000474	0.002611	-0.002813	-0.0061	0.00294	0.000146	-0.000347	0.005898
94	-0.000512	-1.9e-05	0.001625	-0.000676	-0.00232	0.002447	-1.9e-05	0.000474	0.00787
95	-1.9e-05	-0.002648	0.002775	-0.001005	-0.000512	0.001625	-1.9e-05	0.002118	0.007213
96	-0.000183	0.001625	0.000639	-0.002484	0.000639	0.001789	-0.000183	-0.000183	0.007377
97	-1.9e-05	0.002611	0.001954	-0.000676	-0.000841	0.004748	-1.9e-05	0.001789	0.007706
98	-1.9e-05	-0.001169	0.000967	-0.000512	0.001625	-1.9e-05	-1.9e-05	0.001132	0.008199
99	-0.000183	0.001132	0.00031	-0.001334	-0.003635	0.000639	-1.9e-05	0.002282	0.006062
100	-1.9e-05	0.000474	0.000146	-1.9e-05	-0.000347	-0.000183	-1.9e-05	0.000146	0.009185
101	0.000146	0.000967	-0.001334	0.000146	-0.001005	-0.000183	-1.9e-05	-0.000512	0.008528
102	-1.9e-05	0.000803	0.001625	-0.000347	0.002118	0.002118	-1.9e-05	0.001954	0.007049
103	0.00031	0.001132	-1.9e-05	-0.001991	0.001132	-0.001334	0.00031	0.005405	0.008692
104	-1.9e-05	0.000146	0.002775	0.00031	0.000639	0.002118	-1.9e-05	0.000474	0.006556
105	-1.9e-05	0.00146	0.00031	-0.000183	-1.9e-05	-0.000347	0.000146	0.002611	0.006884
106	-0.000183	0.002775	0.00294	-0.002977	0.002611	0.002282	-1.9e-05	0.001132	0.00672
107	-1.9e-05	-0.000183	0.000474	-0.000512	0.001132	0.000803	-0.000183	-1.9e-05	0.006391
108	-1.9e-05	-0.009223	0.005241	-0.001662	0.002611	0.00031	0.000146	0.00031	0.00935
