Ladekurvenmessung
Zeit: 2018_05_03 14.00.34
Info: FVA3, v = 0.1, T = 40, F = 10, h = 95.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	0.000474	-1.9e-05	-0.004292	0.00031	-1.9e-05	-0.001498	0.000146	-0.002484
1	0.000146	0.000146	-0.010373	-1.9e-05	0.000146	0.00031	-0.001169	0.000639
2	0.002282	-1.9e-05	-0.00232	-1.9e-05	0.000146	0.00146	0.002447	-0.005278
3	-1.9e-05	-1.9e-05	-1.9e-05	-0.000183	-1.9e-05	0.003268	0.002282	-0.001498
4	-0.000347	-0.000183	-0.001991	0.00031	-0.000183	-0.001662	0.00294	0.003597
5	0.00031	-1.9e-05	0.001296	0.00031	-1.9e-05	0.002282	0.005241	-0.001662
6	-0.001498	-1.9e-05	-0.000183	-0.000183	0.000146	-0.002648	0.003761	-0.003306
7	0.003761	-1.9e-05	-0.003799	-1.9e-05	-1.9e-05	0.00294	0.00146	0.000803
8	0.002775	0.00031	-0.001005	-1.9e-05	-1.9e-05	-0.001827	0.006556	-0.001498
9	-0.000512	-0.000183	0.000803	-0.000347	-1.9e-05	-0.008401	0.000967	-0.000841
10	0.000967	-0.000183	0.003433	-0.000183	-0.000183	0.00031	0.005241	0.003104
11	-1.9e-05	0.000146	0.000967	-1.9e-05	-0.000183	-0.000512	0.001625	-0.000347
12	0.000803	-0.000183	0.000146	0.000146	-1.9e-05	0.005076	0.00294	-0.001334
13	0.000803	-0.000183	-0.000676	0.000146	-1.9e-05	-0.000841	-0.004456	-0.001005
14	0.000639	-0.000183	-0.002155	-1.9e-05	-1.9e-05	0.002282	0.003597	-0.001498
15	-1.9e-05	-1.9e-05	-0.001991	-1.9e-05	-1.9e-05	0.000639	0.001296	0.001132
16	0.001132	-1.9e-05	-0.001005	-1.9e-05	-0.000183	0.000967	0.001296	-0.003306
17	0.001625	0.000146	0.001954	-1.9e-05	0.000146	0.000967	0.003104	-0.001334
18	-0.001005	0.000474	-0.001169	0.000146	-0.000183	0.000803	-0.003306	-0.000347
19	0.002447	0.000146	-0.001991	-0.000183	-0.000183	-0.001169	-0.00347	-0.002977
