Ladekurvenmessung
Zeit: 2018_05_03 14.49.58
Info: SHC320, v = 0.248, T = 40, F = 20, h =292.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	0.000146	-0.000347	-0.014318	-0.00347	0.034332	0.012965	-0.009551	0.006227
1	0.000146	-0.000347	-0.001169	-0.004621	-0.048011	0.004748	-0.004292	0.094158
2	-0.001169	0.000146	0.000803	0.011486	-0.027466	0.000803	-0.009716	0.0271
3	-1.9e-05	-1.9e-05	0.005569	0.00672	0.007213	-0.004621	-0.000841	0.021348
4	0.000146	0.000146	0.005898	0.001625	0.013623	-0.003142	-0.004128	0.007213
5	-1.9e-05	-1.9e-05	0.003926	-0.001498	0.01691	-0.000183	0.003104	-0.012346
6	-0.000183	0.002775	0.001132	0.00146	0.00409	-0.000512	0.00294	0.000639
7	-0.004621	0.000967	0.001954	-1.9e-05	0.010171	-0.001498	-0.000183	0.003104
8	0.026443	-0.002484	-0.001498	-0.004621	0.006884	0.000803	-0.001005	0.005569
9	-0.02648	-0.001334	0.002282	-0.001991	0.005898	-0.000347	-0.001827	0.011979
10	-0.000841	-0.000183	-1.9e-05	-0.002484	0.00031	-0.000512	-0.005278	0.009678
11	-0.000512	0.005405	0.001132	0.002775	0.006227	-0.00232	-0.001991	0.005734
12	0.008363	-1.9e-05	0.001954	0.001296	0.00672	0.00031	0.000803	0.004748
13	0.002118	-0.000841	0.00294	-1.9e-05	0.00409	0.000146	0.001132	0.009678
14	0.002775	-0.001005	0.000803	0.001625	0.001625	0.000803	-0.000676	0.009843
15	0.002118	0.00031	0.002447	0.002611	-0.000841	0.001132	0.00146	0.008363
16	0.001789	0.000967	0.001954	0.002282	0.005898	0.001954	0.000474	0.010171
17	-0.009716	-1.9e-05	0.000146	0.003268	0.006227	0.000803	0.003926	0.009021
18	0.00031	-1.9e-05	0.001789	0.003104	0.000639	0.000803	0.006062	0.003926
19	-0.005114	-0.000183	-0.003799	0.00146	0.005241	0.00031	0.003268	0.006227
20	-0.000347	-0.000512	-0.000347	-0.000183	0.003433	-0.000512	0.001625	0.010336
21	0.000146	-1.9e-05	-0.003963	0.001132	0.000803	-0.004785	-0.001334	0.003926
22	-1.9e-05	-1.9e-05	-0.001991	-0.00232	0.003597	-0.001169	0.002118	0.010336
23	-0.000841	-0.006429	-0.002484	0.002611	0.001296	-0.004128	-0.008072	0.002775
24	0.000639	0.00409	0.002775	-0.002813	0.004419	-0.001662	0.002447	0.00031
25	-0.000841	-0.026973	0.014609	0.005241	0.075257	-0.01366	-0.003963	0.000146
26	-0.004456	-0.008565	0.005569	0.004583	0.025621	-0.005936	-0.010866	-0.010538
27	0.001132	-0.006264	-0.000841	-1.9e-05	0.008035	-0.0061	0.005898	-0.003635
28	-0.001991	-1.9e-05	-0.000512	0.004255	-0.019906	-0.000347	0.00146	0.012308
29	0.002282	0.000146	-0.000347	0.004255	-0.000676	0.002775	-0.001498	0.000639
30	-0.000347	0.000146	0.002447	-0.000512	0.002775	-0.00232	0.002282	0.00031
31	-0.002648	-1.9e-05	-0.014975	-0.000512	0.010993	0.002611	-0.002484	-0.001991
32	-0.003963	-0.000183	-0.004621	0.090706	0.015266	-0.022207	-0.038643	-0.005771
33	-0.05968	0.002611	0.039263	0.003761	0.013952	-0.084334	0.005241	-0.005771
34	-0.008894	-0.004785	0.021676	0.015266	0.003597	-0.001827	0.025785	-0.003306
35	-0.007744	-0.000676	-0.002484	-0.010702	-0.000183	-0.009223	-1.9e-05	0.002118
36	0.002282	0.00031	-0.002813	0.001789	-0.001334	0.01576	0.00031	0.001789
37	0.012965	0.003597	-0.004292	0.002447	0.004255	0.005076	-1.9e-05	-1.9e-05
38	0.002447	-0.000512	0.00031	0.003104	-0.002484	-0.004621	0.000146	0.000146
39	0.001132	0.002447	-0.00347	-1.9e-05	0.002118	0.002282	-1.9e-05	-0.000183
40	0.009185	-0.002813	0.001296	-0.008072	-1.9e-05	-0.001005	0.001625	-1.9e-05
41	0.003268	-0.001498	0.000639	-0.000841	0.003104	-0.004785	-0.000512	-0.000183
42	0.002775	-0.00347	0.000967	-0.00725	0.003268	-0.001827	-0.000183	-0.000676
43	0.001954	0.000803	0.002775	-0.000183	0.00031	0.00031	-1.9e-05	0.000146
44	0.003597	0.018225	-0.001498	0.00146	0.004419	-0.001827	-0.000347	-1.9e-05
45	-0.001334	0.009185	0.001625	0.002447	0.003104	-0.001498	-1.9e-05	0.000146
46	0.003433	0.001789	-0.001662	-0.001662	0.002611	-0.001169	0.000146	0.000146
47	0.000474	-0.001169	0.003268	0.006391	0.003926	-0.004949	0.00031	0.000146
48	0.003761	0.002447	0.005569	0.002611	0.006391	0.002282	-1.9e-05	0.000146
49	-0.000347	0.001789	0.003597	0.003104	0.002447	-0.001169	0.000474	-1.9e-05
50	0.004419	0.000146	0.005241	-0.000347	0.003761	0.003761	0.000146	-0.000183
51	0.002282	0.000639	0.004419	0.003433	0.00294	0.000639	-1.9e-05	0.000146
52	0.003761	-1.9e-05	0.00409	-0.000347	0.00294	0.005241	-1.9e-05	-0.000512
53	-0.000347	-0.000183	0.005734	0.001954	-0.000183	-0.003306	-0.000183	-1.9e-05
54	-0.002155	-0.000183	0.005405	-0.001662	0.00146	0.002118	-0.000347	-0.000183
55	0.00146	-0.000347	0.003433	0.000474	0.001296	-0.003799	-1.9e-05	-1.9e-05
56	0.000474	-1.9e-05	0.003761	0.000146	0.005076	-0.003799	-0.000347	0.00031
57	0.001954	-0.000347	-0.066748	-0.020399	-0.005607	0.019211	-0.000512	0.000146
58	-0.000676	-1.9e-05	0.00031	0.030387	-0.010702	0.00787	0.00146	0.000146
59	0.001789	-1.9e-05	-0.007086	0.050603	0.000803	-0.028781	-0.005771	-1.9e-05
60	0.000967	0.000146	0.021019	0.003104	-0.002813	-0.02648	0.00031	-1.9e-05
61	0.00672	-1.9e-05	0.000803	-0.00232	0.004583	0.005241	0.000146	-1.9e-05
62	0.000146	-1.9e-05	-0.001991	-0.009716	0.001132	0.003268	-1.9e-05	-0.000183
63	0.005076	-0.002155	-0.004949	-0.000676	-0.001991	0.007377	-0.000183	-0.000183
64	0.002447	-0.000183	-0.015633	-0.003635	-0.000512	0.001132	0.000146	-0.000347
