Ladekurvenmessung
Zeit: 2018_05_04 09.55.14
Info: FVA3, v = 0.248, T = 23, F = 20, h = 198.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	-0.000183	0.004255	0.000967	0.002282	0.003761
1	0.003926	0.004583	0.006227	0.003433	-0.000512
2	0.002775	0.00031	0.00409	0.005405	0.000146
3	0.002447	0.001789	0.003926	0.004419	0.002118
4	0.008199	0.001625	0.00409	0.00146	0.00294
5	0.006556	0.002282	0.002447	0.00146	0.000967
6	0.004419	0.005241	0.003268	0.001954	0.003926
7	0.003433	0.00409	-1.9e-05	0.000803	0.003926
8	0.006227	0.003597	-1.9e-05	0.002118	0.005898
9	0.00294	0.003597	0.001132	0.002282	0.00294
10	0.002118	0.001296	-0.000183	-0.000183	0.003597
11	0.003268	0.003597	0.00294	0.002775	0.004419
12	0.004583	0.002118	0.001296	0.00146	0.00294
13	0.000146	0.002118	0.000967	0.005405	0.002775
14	0.00294	-0.001991	0.001132	0.001789	0.002447
15	0.001625	0.001132	0.002282	0.00409	0.004583
16	0.001954	0.002282	-0.001991	0.005569	0.001954
17	0.001132	0.00294	0.001625	0.003926	0.003761
18	0.000146	0.001296	0.003761	0.002447	0.000639
19	0.003433	0.003433	-1.9e-05	0.003104	0.002447
20	0.00031	0.002282	0.001296	0.003104	0.001954
21	0.00146	0.003104	-0.000183	0.001954	-0.000347
22	0.003761	0.003104	0.003597	0.002611	0.002447
23	0.003926	0.003268	-0.00347	0.000474	0.000639
24	0.000967	0.002118	0.000146	0.002611	-0.001991
25	0.00294	0.001132	0.001296	-0.000512	0.003104
26	-0.000512	0.003268	-0.000676	0.00031	0.001625
27	0.001954	0.00294	0.00031	-0.002155	0.000803
28	-0.001169	0.005076	0.005076	0.002282	0.00146
29	0.000146	0.004912	-0.000347	-0.003306	0.000474
30	-0.002484	0.00146	-0.000512	0.00031	-0.001662
31	0.002118	-1.9e-05	-0.000183	-0.000676	0.003104
32	-0.00347	0.001954	0.004583	0.004912	0.003268
33	-0.000841	-1.9e-05	0.002775	0.005241	0.000146
34	0.00146	0.001625	0.000474	0.006391	0.000474
35	0.000474	-0.003306	0.002775	0.007049	0.000146
36	-1.9e-05	-0.001991	-0.001662	0.002447	0.003104
