Ladekurvenmessung
Zeit: 2018_05_04 11.34.12
Info: FVA3, v = 0.272, T = 80, F = 20, h = 97.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.000347	-0.000347	-0.000183	0.00031
1	-0.000183	-1.9e-05	-1.9e-05	-0.000347
2	-0.000183	-0.000183	-0.000183	0.000146
3	-0.000183	-0.000347	-0.000183	-0.000512
4	0.00031	0.000146	-0.000347	-0.000183
5	-0.000183	-1.9e-05	-0.000183	-0.000347
6	-1.9e-05	0.000146	0.000474	-0.000347
7	-0.000183	-0.000512	-0.000183	-0.002813
8	-0.000347	-0.000183	-0.000183	-0.001498
9	-0.000347	-0.000347	-0.000183	0.000474
10	-0.000512	-0.000183	-0.000183	-0.000183
11	-0.000183	-0.000347	0.000146	0.000967
12	-0.000183	-0.000183	-0.000183	-0.00232
13	-0.000183	-0.000183	-0.000183	-0.000841
14	-0.000183	-1.9e-05	-0.000183	0.002447
15	-1.9e-05	-1.9e-05	-0.000512	0.001132
16	-1.9e-05	0.000146	-0.000347	-0.000183
17	-1.9e-05	-1.9e-05	-0.001005	0.004583
18	-0.000183	-0.000183	-1.9e-05	0.00146
19	-1.9e-05	-1.9e-05	-0.000183	-1.9e-05
20	-0.000183	-0.000183	-0.000183	0.002611
21	-0.000347	-0.000183	-0.000183	0.003597
22	-0.000183	-0.000183	-1.9e-05	0.005569
23	-0.000183	-0.000183	-0.000347	0.003926
24	-0.000183	-1.9e-05	-0.000183	0.004912
25	-0.000183	-0.000183	-0.000183	0.003926
26	-0.000183	-1.9e-05	-0.000347	0.006062
27	-0.000183	-1.9e-05	-0.000347	0.000474
28	-0.000183	-0.000512	-0.000512	0.00146
29	-0.000183	-0.000183	-0.000183	-0.000183
30	0.000639	-0.000347	-0.000347	0.000146
31	0.000803	-0.000512	-1.9e-05	0.005241
32	0.000474	-0.000347	-1.9e-05	0.001954
33	-0.000183	-0.000347	-1.9e-05	0.004419
34	-0.000183	-0.000183	-0.000183	0.000967
35	-0.000183	-0.000183	-0.000183	0.000474
36	-0.000183	-1.9e-05	-1.9e-05	0.00294
37	-0.000347	-0.000183	-0.000347	0.00409
38	-1.9e-05	-0.000183	-0.000512	0.002447
39	0.000146	-0.000183	-0.000347	0.002118
40	-1.9e-05	-0.000347	-0.000183	0.004255
41	-0.000347	-0.000183	-1.9e-05	0.003597
42	-0.000347	-0.000347	-0.000183	0.004255
43	-0.000841	-0.000183	-1.9e-05	0.005405
44	-1.9e-05	-0.000347	-0.000183	0.003597
45	-0.001169	-0.000183	-1.9e-05	0.004748
46	-0.000676	-0.000183	-0.000183	0.005241
47	-0.000183	-0.000183	-0.000183	0.007706
48	-0.000183	-0.000183	-0.000183	0.006227
49	-0.000183	-1.9e-05	-0.000512	0.007377
50	-0.000183	-0.000183	-0.000347	0.006884
51	-0.000183	-0.000183	-0.000183	0.00409
52	0.000474	-0.000347	-0.000183	0.001625
53	-1.9e-05	-0.000512	-0.000183	0.001789
54	-0.001991	-0.000512	-0.000183	0.003104
55	-1.9e-05	-0.000183	-0.000183	0.002447
56	-0.000183	-0.000183	-1.9e-05	0.005241
57	-0.000183	-1.9e-05	-0.000183	0.00409
58	-0.000347	-1.9e-05	-0.000183	0.005569
59	0.00031	-1.9e-05	-0.000347	0.001789
60	0.000146	-0.000183	-0.000512	0.002775
61	0.000146	-1.9e-05	-0.000347	-1.9e-05
62	0.001625	-0.000183	-0.000347	0.00146
63	-0.000512	-0.000183	-0.000347	0.002611
64	0.00146	-0.000183	-1.9e-05	0.002447
65	-1.9e-05	-0.000183	-0.000183	0.003597
66	-0.000512	-0.000183	-1.9e-05	0.003761
67	-0.000512	-0.000183	-1.9e-05	0.003597
68	-0.000183	-1.9e-05	-0.000183	0.004748
69	-0.000183	-1.9e-05	-0.000347	0.003104
70	-1.9e-05	-1.9e-05	-0.000347	-0.000676
71	0.000146	0.000146	-0.000512	0.001625
72	0.000146	-1.9e-05	-0.000347	0.002282
73	-0.000183	-0.000183	-0.000183	-0.000512
74	0.000146	-0.000183	-0.000183	-0.001169
75	-0.000512	-0.000512	-0.000183	0.004912
76	0.000474	-0.000183	-1.9e-05	0.002282
77	0.001132	-0.000183	-1.9e-05	0.000474
78	-0.001169	-0.000183	-1.9e-05	0.000146
79	-0.001005	-1.9e-05	-0.000183	0.002282
80	-1.9e-05	-0.000183	-0.000347	0.006391
81	-0.001005	-1.9e-05	-0.000347	0.00409
82	-0.001991	-0.000183	-0.000183	0.006227
