Ladekurvenmessung
Zeit: 2018_05_17 15.30.00
Info: Ref. Messung ohne Kapazitt
Ladewiderstand[Ohm]: 1015000
Strkapazitt[pF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.001005	-0.001334	-0.001662	-0.001498	-0.001169	-0.001334	-0.001662	-0.001498	-0.001498	-0.001498
1	-0.001005	-0.001169	-0.001662	-0.001005	-0.001005	-0.001169	-0.001005	-0.001169	-0.001169	-0.001498
2	-0.001169	-0.001169	-0.001169	-0.001169	-0.001169	-0.001169	-0.001498	-0.001169	-0.001169	-0.001334
3	-0.001005	-0.001169	-0.001334	-0.001169	-0.001334	-0.001334	-0.001169	-0.001169	-0.001334	-0.001169
4	-0.001005	-0.001169	-0.001334	-0.000841	-0.001169	-0.001334	-0.001498	-0.001005	-0.001169	-0.001498
5	-0.001169	-0.001334	-0.001169	-0.001334	-0.000841	-0.001169	-0.001334	-0.001334	-0.001169	-0.001169
6	-0.000841	-0.001005	-0.001334	-0.001334	-0.001334	-0.001169	-0.001005	-0.001169	-0.001498	-0.001334
7	-0.001169	-0.001334	-0.001169	-0.001169	-0.001169	-0.001334	-0.001334	-0.001169	-0.001334	-0.001498
8	-0.001169	-0.000841	-0.001334	-0.001662	-0.001169	-0.001169	-0.001169	-0.001498	-0.001498	-0.001169
9	-0.001169	-0.001498	-0.001005	-0.001169	-0.001169	-0.001334	-0.001334	-0.001169	-0.001005	-0.001498
10	-0.001169	-0.001005	-0.001334	-0.001498	-0.000676	-0.001005	-0.001169	-0.001498	-0.001498	-0.001334
11	-0.001169	-0.001005	-0.001169	-0.001169	-0.001169	-0.001334	-0.001334	-0.001334	-0.001662	-0.001334
12	-0.001498	-0.001334	-0.001169	-0.000841	-0.001498	-0.001334	-0.001498	-0.001334	-0.001498	-0.001827
13	-0.001334	-0.001169	-0.001498	-0.001334	-0.001169	-0.001334	-0.001005	-0.001498	-0.001498	-0.001169
14	-0.001334	-0.001498	-0.001169	-0.001169	-0.001334	-0.001169	-0.001169	-0.001169	-0.001334	-0.001334
15	-0.001498	-0.001005	-0.001334	-0.001169	-0.001169	-0.001334	-0.001498	-0.001498	-0.001662	-0.001498
16	-0.001334	-0.001334	-0.001334	-0.000841	-0.001498	-0.001662	-0.001498	-0.001334	-0.001498	-0.001498
17	-0.001334	-0.001334	-0.001498	-0.001498	-0.001334	-0.001334	-0.001498	-0.001498	-0.001169	-0.001334
18	-0.001169	-0.001169	-0.001169	-0.001498	-0.001334	-0.001169	-0.001334	-0.001827	-0.001662	-0.001334
19	-0.001334	-0.001169	-0.001169	-0.001334	-0.001334	-0.001498	-0.001498	-0.001334	-0.001334	-0.001662
20	-0.001005	-0.001169	-0.001498	-0.001334	-0.001334	-0.001498	-0.001827	-0.001662	-0.001334	-0.001169
21	-0.001005	-0.001334	-0.001498	-0.001662	-0.001169	-0.001498	-0.001005	-0.001662	-0.001662	-0.001498
22	-0.001498	-0.001334	-0.001334	-0.001498	-0.001005	-0.001498	-0.001334	-0.001662	-0.001498	-0.001662
23	-0.001662	-0.001005	-0.001662	-0.001169	-0.001498	-0.001334	-0.001169	-0.001334	-0.001498	-0.001334
24	-0.001334	-0.001334	-0.001334	-0.001498	-0.001334	-0.001662	-0.001498	-0.001334	-0.001169	-0.001334
25	-0.001169	-0.001334	-0.001498	-0.001662	-0.001169	-0.001169	-0.001334	-0.001662	-0.001662	-0.001169
26	-0.001498	-0.001334	-0.001662	-0.001334	-0.001169	-0.001498	-0.001169	-0.001827	-0.001334	-0.001498
27	-0.001498	-0.001498	-0.001169	-0.001169	-0.001498	-0.001827	-0.001334	-0.001334	-0.001334	-0.001827
28	-0.001334	-0.001498	-0.001334	-0.001334	-0.001498	-0.001498	-0.001334	-0.001662	-0.001498	-0.001169
29	-0.001334	-0.001334	-0.001169	-0.001498	-0.001334	-0.001498	-0.001498	-0.001334	-0.001334	-0.001498
30	-0.001334	-0.001005	-0.001662	-0.001498	-0.001169	-0.001498	-0.001498	-0.001498	-0.001334	-0.001827
31	-0.001334	-0.001334	-0.001169	-0.001334	-0.001498	-0.001334	-0.001498	-0.001827	-0.001498	-0.001498
32	-0.001334	-0.001498	-0.001169	-0.001334	-0.001662	-0.001498	-0.001827	-0.001498	-0.001334	-0.001498
33	-0.000841	-0.001169	-0.001827	-0.001827	-0.001169	-0.001169	-0.001662	-0.001662	-0.001827	-0.001334
34	-0.001334	-0.001334	-0.001498	-0.001662	-0.001662	-0.001498	-0.001334	-0.001169	-0.001334	-0.001498
35	-0.001334	-0.001169	-0.001662	-0.001334	-0.001005	-0.001334	-0.001662	-0.001334	-0.001827	-0.001334
36	-0.001334	-0.001334	-0.001498	-0.001334	-0.001498	-0.001498	-0.001498	-0.001498	-0.001498	-0.001334
37	-0.001334	-0.001334	-0.001827	-0.001334	-0.001169	-0.001662	-0.001334	-0.001334	-0.001334	-0.001662
38	-0.001334	-0.001662	-0.001498	-0.001662	-0.001005	-0.001334	-0.001334	-0.001334	-0.001334	-0.001498
39	-0.001662	-0.001991	-0.001498	-0.001334	-0.001498	-0.001498	-0.001498	-0.001169	-0.001334	-0.001334
40	-0.001827	-0.001662	-0.001169	-0.001334	-0.001169	-0.001498	-0.001498	-0.001662	-0.001498	-0.001334
41	-0.001334	-0.001498	-0.001498	-0.001334	-0.001498	-0.001498	-0.001334	-0.001334	-0.001334	-0.001498
42	-0.001334	-0.001827	-0.001498	-0.001498	-0.001334	-0.001827	-0.001498	-0.001169	-0.001169	-0.001498
43	-0.001498	-0.001498	-0.001334	-0.001662	-0.001334	-0.001334	-0.001498	-0.001498	-0.001498	-0.001498
44	-0.001498	-0.001498	-0.001334	-0.001334	-0.001169	-0.001498	-0.001498	-0.001169	-0.001334	-0.001498
45	-0.001169	-0.001334	-0.001827	-0.001662	-0.001005	-0.001334	-0.001334	-0.001334	-0.001498	-0.001662
46	-0.001334	-0.001498	-0.001334	-0.001498	-0.001169	-0.001334	-0.001498	-0.001498	-0.001662	-0.001334
47	-0.001662	-0.001169	-0.001334	-0.001498	-0.001169	-0.001662	-0.001662	-0.001662	-0.001498	-0.001334
48	-0.001498	-0.001169	-0.001334	-0.001498	-0.001169	-0.001169	-0.001498	-0.001498	-0.001827	-0.001334
49	-0.001498	-0.001498	-0.001498	-0.001498	-0.001334	-0.001498	-0.001334	-0.001334	-0.001498	-0.001498
50	-0.001498	-0.001334	-0.001662	-0.001334	-0.001169	-0.001334	-0.001498	-0.001827	-0.001498	-0.001334
51	-0.001498	-0.001334	-0.001169	-0.001005	-0.001662	-0.001662	-0.001169	-0.001498	-0.001498	-0.001498
52	-0.001334	-0.001498	-0.001498	-0.001334	-0.001498	-0.001662	-0.001498	-0.001498	-0.001169	-0.001498
53	-0.001334	-0.001334	-0.001334	-0.001498	-0.001169	-0.001334	-0.001662	-0.001498	-0.001498	-0.001498
54	-0.001169	-0.001662	-0.001498	-0.001169	-0.001498	-0.001662	-0.001334	-0.001169	-0.001169	-0.001498
55	-0.001498	-0.001334	-0.001662	-0.001334	-0.001169	-0.001498	-0.001334	-0.001334	-0.001498	-0.001498
56	-0.001169	-0.001498	-0.001662	-0.001498	-0.001169	-0.001498	-0.001498	-0.001498	-0.001498	-0.001498
57	-0.001827	-0.001498	-0.001498	-0.001334	-0.001334	-0.001169	-0.001498	-0.001334	-0.001334	-0.001662
58	-0.001169	-0.001169	-0.001662	-0.001498	-0.001005	-0.001169	-0.001169	-0.001662	-0.001334	-0.001005
59	-0.001498	-0.001169	-0.001169	-0.001662	-0.001498	-0.001169	-0.001169	-0.001498	-0.001498	-0.001498
60	-0.001334	-0.001169	-0.001498	-0.001827	-0.001005	-0.001334	-0.001498	-0.001662	-0.001662	-0.001334
61	-0.001662	-0.001662	-0.001498	-0.001169	-0.001498	-0.001334	-0.001005	-0.001334	-0.001498	-0.001169
62	-0.001334	-0.001334	-0.001334	-0.001169	-0.001169	-0.001334	-0.001498	-0.001334	-0.001169	-0.001498
63	-0.001498	-0.001334	-0.001498	-0.001334	-0.001334	-0.001169	-0.001169	-0.001498	-0.001662	-0.001334
64	-0.001498	-0.001334	-0.001334	-0.001169	-0.001498	-0.001662	-0.001827	-0.001334	-0.001334	-0.001662
65	-0.001334	-0.001662	-0.001334	-0.001169	-0.001498	-0.001334	-0.001005	-0.001334	-0.001662	-0.001005
66	-0.001169	-0.001334	-0.001169	-0.001169	-0.001334	-0.001169	-0.001498	-0.001334	-0.001827	-0.001169
67	-0.001498	-0.001334	-0.001334	-0.001169	-0.001498	-0.001169	-0.001662	-0.001169	-0.001169	-0.001498
68	-0.001662	-0.001169	-0.001334	-0.001169	-0.001334	-0.001498	-0.001498	-0.001498	-0.001498	-0.001498
69	-0.001334	-0.001498	-0.001334	-0.001334	-0.001169	-0.001334	-0.001662	-0.001169	-0.001498	-0.001334
70	-0.001169	-0.001169	-0.001169	-0.001334	-0.000841	-0.001334	-0.001662	-0.001498	-0.001662	-0.001169
71	-0.001334	-0.001334	-0.001662	-0.001169	-0.001169	-0.001662	-0.001334	-0.001827	-0.001334	-0.001662
72	-0.001991	-0.001498	-0.001334	-0.001498	-0.001005	-0.001662	-0.001498	-0.001334	-0.001169	-0.001498
73	-0.001498	-0.001498	-0.001498	-0.001334	-0.001169	-0.001334	-0.001169	-0.001498	-0.001827	-0.001005
74	-0.001498	-0.001498	-0.001169	-0.001334	-0.001334	-0.001498	-0.001498	-0.001498	-0.001334	-0.001169
75	-0.001169	-0.001169	-0.001498	-0.001334	-0.001334	-0.001827	-0.001334	-0.001498	-0.001498	-0.001169
76	-0.001498	-0.001498	-0.001498	-0.001005	-0.001498	-0.001498	-0.001334	-0.001498	-0.001334	-0.001334
77	-0.001498	-0.001498	-0.001334	-0.001334	-0.001334	-0.001334	-0.001334	-0.001334	-0.001334	-0.001334
78	-0.001334	-0.001334	-0.001334	-0.001334	-0.001334	-0.001169	-0.001169	-0.001662	-0.001334	-0.001169
79	-0.001334	-0.001334	-0.001169	-0.001334	-0.001498	-0.001334	-0.001498	-0.001005	-0.001334	-0.001662
80	-0.001334	-0.001169	-0.001662	-0.001498	-0.001334	-0.001498	-0.001662	-0.001169	-0.001662	-0.001169
81	-0.001498	-0.001334	-0.001498	-0.001334	-0.001005	-0.001169	-0.001169	-0.001662	-0.001334	-0.001334
82	-0.001498	-0.001169	-0.001005	-0.001498	-0.001334	-0.001498	-0.001662	-0.001334	-0.001334	-0.001498
83	-0.001169	-0.001169	-0.001827	-0.001498	-0.001169	-0.001334	-0.001498	-0.001334	-0.001662	-0.001662
84	-0.001334	-0.001498	-0.001334	-0.001334	-0.001169	-0.001498	-0.001662	-0.001334	-0.001334	-0.001334
85	-0.001498	-0.001334	-0.001498	-0.001498	-0.001662	-0.001334	-0.001498	-0.001498	-0.001334	-0.001334
86	-0.001334	-0.001169	-0.001334	-0.001334	-0.001498	-0.001498	-0.001334	-0.001662	-0.001334	-0.001334
87	-0.001662	-0.001662	-0.001334	-0.001498	-0.001498	-0.001498	-0.001498	-0.001334	-0.001334	-0.001334
88	-0.001005	-0.001334	-0.001498	-0.001498	-0.001498	-0.001334	-0.001334	-0.001498	-0.001334	-0.001334
89	-0.001334	-0.001827	-0.001169	-0.001005	-0.001498	-0.001334	-0.001334	-0.001169	-0.001005	-0.001169
90	-0.001169	-0.001662	-0.001498	-0.001498	-0.001169	-0.001334	-0.001498	-0.001334	-0.001498	-0.001498
91	-0.001498	-0.001498	-0.001169	-0.001334	-0.001334	-0.001169	-0.001498	-0.001334	-0.001334	-0.001334
92	-0.001498	-0.001498	-0.001334	-0.001334	-0.001005	-0.001334	-0.001498	-0.001169	-0.001169	-0.001498
93	-0.001169	-0.001169	-0.001827	-0.001005	-0.001005	-0.001334	-0.001334	-0.001827	-0.001498	-0.001498
94	-0.001991	-0.001169	-0.001169	-0.001169	-0.001334	-0.001169	-0.001334	-0.001169	-0.001169	-0.001498
95	-0.001498	-0.001005	-0.001334	-0.001334	-0.000676	-0.001334	-0.001498	-0.001169	-0.001498	-0.001498
96	-0.001334	-0.001334	-0.001662	-0.001005	-0.001334	-0.001334	-0.001334	-0.001498	-0.001169	-0.001498
97	-0.001334	-0.001498	-0.001662	-0.001334	-0.001334	-0.001498	-0.001498	-0.001334	-0.001334	-0.001662
98	-0.001169	-0.001169	-0.001498	-0.001169	-0.001169	-0.001334	-0.001169	-0.001662	-0.001498	-0.001169
99	-0.001498	-0.001498	-0.001169	-0.001334	-0.001169	-0.001827	-0.001662	-0.001169	-0.001334	-0.001498
100	-0.001334	-0.001169	-0.001827	-0.001169	-0.001005	-0.001334	-0.001334	-0.001334	-0.001334	-0.001169
101	-0.001334	-0.001498	-0.001662	-0.001169	-0.001334	-0.001169	-0.001334	-0.001498	-0.001334	-0.001498
102	-0.001334	-0.001498	-0.001169	-0.001334	-0.001498	-0.001498	-0.001662	-0.001334	-0.001169	-0.001498
103	-0.001334	-0.001334	-0.001498	-0.001334	-0.001169	-0.001498	-0.001827	-0.001334	-0.001334	-0.001334
104	-0.001334	-0.001334	-0.001498	-0.001498	-0.001334	-0.001662	-0.001334	-0.001169	-0.001005	-0.001334
105	-0.001334	-0.001005	-0.001662	-0.001662	-0.001005	-0.001334	-0.001334	-0.001498	-0.001334	-0.001334
