Ladekurvenmessung
Zeit: 2018_05_23 14.48.31
Info: T40, F20N, 1.78
Ladewiderstand[Ohm]: 10000000
Strkapazitt[pF]: 100.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 3000.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.010664	0.011979	0.00935	0.008692	0.008035	0.011979	0.006884	0.010829	0.011158	0.009843
1	0.013623	0.0105	0.012308	0.008199	0.009678	0.013787	0.009843	0.013787	0.010993	0.017732
2	0.016088	0.012472	0.010336	0.011158	0.011651	0.008363	0.011815	0.013623	0.014116	0.007706
3	0.012637	0.01313	0.012144	0.010993	0.006391	0.009843	0.0105	0.014116	0.011815	0.011815
4	0.013459	0.01691	0.008528	0.014116	0.014609	0.012144	0.012637	0.012144	0.018389	0.006391
5	0.008857	0.012144	0.010664	0.010336	0.010007	0.008528	0.00935	0.013459	0.019211	0.017732
6	0.012308	0.01691	0.009185	0.01428	0.012637	0.014116	0.012965	0.011158	0.01428	0.015924
7	0.012637	0.012965	0.00935	0.010829	0.00935	0.013459	0.010336	0.012965	0.019211	0.01313
8	0.006227	0.015266	0.008528	0.011815	0.018061	0.010664	0.011815	0.013787	0.018225	0.00787
9	0.006556	0.013952	0.014116	0.011979	0.010664	0.014609	0.010993	0.018061	0.011322	0.012472
10	0.014116	0.013952	0.010664	0.015102	0.012965	0.011651	0.010993	0.008857	0.016581	0.010007
11	0.012637	0.015102	0.012801	0.013294	0.010993	0.014445	0.011979	0.016088	0.012637	0.010336
12	0.013294	0.010664	0.01313	0.010007	0.010993	0.012472	0.012965	0.010664	0.011815	0.011486
13	0.010171	0.010336	0.021019	0.013787	0.012472	0.014773	0.012308	0.011815	0.012965	0.010336
14	0.015266	0.010664	0.016088	0.009843	0.009843	0.010993	0.015924	0.011651	0.011486	0.010171
15	0.016253	0.011651	0.014938	0.008035	0.013952	0.014445	0.012965	0.011158	0.011651	0.014445
16	0.012144	0.009514	0.010829	0.012801	0.01313	0.011158	0.011486	0.014773	0.011815	0.012801
17	0.016417	0.011322	0.011322	0.007049	0.012801	0.01428	0.013787	0.009185	0.013787	0.012637
18	0.012965	0.01428	0.013623	0.011322	0.012472	0.007542	0.010171	0.008528	0.010171	0.012637
19	0.013623	0.012472	0.011651	0.011815	0.015102	0.014445	0.011322	0.0105	0.009843	0.009185
20	0.011979	0.005241	0.013294	0.010993	0.012308	0.016417	0.012472	0.014445	0.012472	0.012308
21	0.011979	0.010336	0.010007	0.015266	0.011486	0.012965	0.010993	0.011486	0.007542	0.012637
22	0.00935	0.012965	0.013294	0.010007	0.004419	0.014116	0.010993	0.014116	0.010171	0.012637
23	0.012308	0.016746	0.011651	0.01313	0.016746	0.011486	0.012308	0.012472	0.016746	0.005898
24	0.010171	0.013459	0.011651	0.010993	0.010993	0.011979	0.014445	0.014445	0.010007	0.009021
25	0.019211	0.013623	0.010171	0.013952	0.010829	0.011486	0.014116	0.011815	0.020855	0.008035
26	0.01428	0.008363	0.016088	0.011322	0.011979	0.003433	0.010007	0.012144	0.009843	0.020033
27	0.017567	0.015595	0.007049	0.012801	0.012144	0.009185	0.011815	0.009843	0.014773	0.008035
28	0.014609	0.00935	0.014445	0.005076	0.012472	0.016581	0.011322	0.015431	0.013952	0.010336
29	0.019211	0.014445	0.013294	0.013787	0.011815	0.010829	0.014938	0.008692	0.013623	0.009021
30	0.010336	0.006884	0.01576	0.012637	0.012308	0.016417	0.007049	0.011651	0.011815	0.011651
31	0.015595	0.010664	0.011815	0.011815	0.010336	0.01691	0.01576	0.013787	0.012637	0.010664
32	0.014116	0.012472	0.013952	0.011815	0.005405	0.015431	0.010171	0.019868	0.014445	0.014445
33	0.00935	0.011322	0.012637	0.012637	0.010993	0.01313	0.012965	0.015595	0.012801	0.017732
34	0.009514	0.013952	0.013623	0.00787	0.013294	0.01428	0.011815	0.014445	0.012965	0.011486
35	0.010007	0.011651	0.011486	0.010829	0.0105	0.012308	0.009678	0.012144	0.012472	0.011486
36	0.010007	0.013787	0.007542	0.015266	0.016253	0.012472	0.013294	0.013787	0.014938	0.012965
37	0.00935	0.012308	0.009843	0.015431	0.010664	0.010993	0.012308	0.012637	0.015102	0.0105
38	0.012637	0.01428	0.011486	0.01313	0.013787	0.011979	0.011815	0.00935	0.011815	0.010336
39	0.007213	0.018882	0.011486	0.013952	0.010171	0.01313	0.016253	0.010829	0.012308	0.01313
40	0.011651	0.022663	0.01428	0.011979	0.010993	0.009678	0.013294	0.010171	0.015431	0.010829
41	0.000803	0.017732	0.018554	0.009514	0.014116	0.01313	0.010336	0.00935	0.013787	0.012308
42	0.011322	0.016088	0.013623	0.01428	0.011322	0.011322	0.012472	0.008035	0.012308	0.008528
43	0.009843	0.020526	0.013952	0.009021	0.008199	0.017403	0.011651	0.010993	0.013787	0.012965
44	0.011486	0.011322	0.01313	0.014609	0.015266	0.011651	0.01428	0.0105	0.012965	0.00935
45	0.011158	0.007706	0.013294	0.011158	0.009678	0.012965	0.009514	0.012637	0.012637	0.012472
46	0.015431	0.013787	0.012801	0.013623	0.00935	0.014116	0.011486	0.012637	0.013787	0.009678
47	0.011158	0.010007	0.007049	0.010664	0.010171	0.013952	0.013294	0.010993	0.012472	0.007049
48	0.01313	0.010993	0.010171	0.012637	0.018389	0.012144	0.01428	0.011322	0.010993	0.01313
49	0.014938	0.011322	0.013459	0.009021	0.011979	0.015266	0.010336	0.011158	0.009185	0.013952
50	0.008528	0.010007	0.009678	0.012965	0.011322	0.006884	0.012472	0.013952	0.012308	0.010993
51	0.016746	0.013952	0.009678	0.009678	0.015595	0.009843	0.010993	0.014445	0.011651	0.014938
52	0.010336	0.012965	0.008857	0.008857	0.01428	0.011815	0.009843	0.010993	0.012965	0.017732
53	0.009021	0.012472	0.01313	0.012144	0.012144	0.012801	0.009843	0.014116	0.014116	0.012472
54	0.0105	0.012308	0.010829	0.010336	0.012472	0.011979	0.015595	0.016746	0.01428	0.010336
55	0.010829	0.016417	0.013623	0.019211	0.014116	0.013623	0.014609	0.00935	0.011322	0.007706
56	0.009514	0.012801	0.010336	0.012308	0.009678	0.016253	0.008692	0.013952	0.010336	0.013294
57	0.016253	0.014609	0.010829	0.013294	0.01691	0.011158	0.012637	0.012308	0.012308	0.014116
58	0.009514	0.012472	0.010336	0.011322	0.016253	0.012472	0.012965	0.011651	0.00409	0.013952
59	0.012308	0.01576	0.012472	0.009678	0.016253	0.012144	0.014445	0.010829	0.006062	0.010007
60	0.012965	0.012965	0.014445	0.008857	0.00787	0.014445	0.010993	0.012308	0.009021	0.016088
61	0.011979	0.013787	0.011322	0.015431	0.013294	0.005241	0.013459	0.011979	0.015266	0.006556
62	0.017074	0.011815	0.01576	0.010829	0.00935	0.015266	0.012144	0.016746	0.011651	0.011815
63	0.01313	0.012637	0.007542	0.012637	0.008528	0.010664	0.009678	0.010664	0.012965	0.011979
64	0.01313	0.00672	0.009185	0.010007	0.012637	0.013294	0.012801	0.011158	0.008857	0.010829
65	0.010336	0.00672	0.009021	0.00672	0.011815	0.012144	0.01313	0.012472	0.014938	0.009021
66	0.009185	0.008857	0.013459	0.007706	0.014116	0.012144	0.013294	0.012801	0.011158	0.013459
67	0.015431	0.008857	0.0105	0.013952	0.012144	0.010664	0.007213	0.014116	0.011979	0.008692
68	0.010336	0.012637	0.019868	0.006884	0.012308	0.012965	0.006884	0.00935	0.009514	0.012637
69	0.015924	0.017732	0.0105	0.009021	0.012472	0.002611	0.008692	0.016253	0.011322	0.008528
70	0.010993	0.021512	0.012801	0.013459	0.01576	0.010829	0.008363	0.017239	0.012801	0.010171
71	0.007377	0.013787	0.012965	0.0105	0.011322	0.011979	0.009843	0.01576	0.013623	0.011158
72	0.011979	0.017896	0.014445	0.0105	0.012637	0.007706	0.010829	0.01576	0.012308	0.010171
73	0.010664	0.014609	0.011158	0.007706	0.0105	0.010171	0.017239	0.014445	0.010664	0.011979
74	0.011979	0.013787	0.009678	0.015595	0.012144	0.011651	0.01428	0.010007	0.016417	0.010829
75	0.014773	0.010336	0.014445	0.012308	0.00935	0.012801	0.013623	0.011815	0.012308	0.015924
76	0.012144	0.012637	0.010007	0.014938	0.012472	0.010336	0.01313	0.011979	0.012472	0.008857
77	0.010336	0.010829	0.012801	0.006556	0.011322	0.012637	0.014609	0.013787	0.012965	0.012308
78	0.0105	0.010336	0.010664	0.009843	0.013623	0.011651	0.012144	0.007706	0.016088	0.008692
79	0.010171	0.010336	0.011979	0.009185	0.008857	0.013294	0.012965	0.013294	0.009021	0.014445
80	0.012637	0.013294	0.0105	0.013952	0.013787	0.012144	0.012801	0.008035	0.01313	0.011815
81	0.008363	0.008199	0.01428	0.010171	0.009678	0.017403	0.0105	0.010829	0.010993	0.014773
82	0.015431	0.01576	0.011815	0.011651	0.005734	0.01428	0.014116	0.009514	0.005241	0.014938
83	0.011815	0.00935	0.010664	0.008692	0.012965	0.012308	0.009021	0.010993	0.00787	0.013787
84	0.010993	0.012637	0.014445	0.011815	0.010993	0.007542	0.01313	0.015595	0.009514	0.011651
85	0.008528	0.013623	0.013952	0.012472	0.012308	0.012965	0.011651	0.012801	0.005898	0.015924
86	0.009514	0.014445	0.014938	0.01313	0.012144	0.008363	0.015266	0.011815	0.004912	0.009185
87	0.008692	0.018225	0.009021	0.008199	0.015102	0.01428	0.011322	0.013952	0.009678	0.012144
88	0.008692	0.011815	0.012637	0.008692	0.00935	0.016088	0.011651	0.012637	0.011322	0.010171
89	0.015431	0.016253	0.009678	0.010993	0.011815	0.010336	0.018554	0.011158	0.00787	0.012144
90	0.011486	0.007377	0.011158	0.012472	0.010171	0.012965	0.012308	0.012637	0.012308	0.00935
91	0.010007	0.006556	0.012965	0.009514	0.012801	0.013294	0.014773	0.010171	0.01428	0.013294
92	0.011322	0.008857	0.014938	0.013623	0.010336	0.011651	0.013787	0.012637	0.012472	0.010007
93	0.010336	0.011322	0.013294	0.010993	0.011651	0.012965	0.015266	0.012637	0.013787	0.008692
94	0.010993	0.011979	0.013294	0.009843	0.008692	0.014938	0.011651	0.012308	0.010664	0.014445
95	0.015266	0.015102	0.0105	0.011651	0.014116	0.008035	0.012801	0.011651	0.013294	0.010993
96	0.008199	0.011651	0.012308	0.009514	0.008035	0.014938	0.011651	0.014938	0.012144	0.01428
97	0.009185	0.0105	0.010664	0.011651	0.01428	0.013787	0.021841	0.010171	0.015266	0.011651
98	0.011815	0.010007	0.010336	0.009021	0.013623	0.01313	0.014116	0.010993	0.007377	0.013294
99	0.005734	0.013459	0.006556	0.009185	0.010336	0.009021	0.017074	0.011322	0.012965	0.010993
100	0.014773	0.009021	0.012801	0.007706	0.013294	0.016253	0.011486	0.012472	0.009021	0.013952
101	0.012637	0.014116	0.006556	0.012308	0.009514	0.013294	0.00787	0.012308	0.00935	0.007213
102	0.006227	0.011979	0.009185	0.007377	0.011979	0.017567	0.009843	0.013459	0.009678	0.011815
103	0.007049	0.012637	0.012308	0.004419	0.013787	0.013294	0.00787	0.014445	0.013459	0.008857
104	0.010664	0.014116	0.009021	0.006391	0.013787	0.012637	0.011815	0.010336	0.001954	0.010829
105	0.00787	0.013623	0.01313	0.010007	0.011158	0.012965	0.012308	0.012637	0.007049	0.011979
106	0.011322	0.01428	0.010336	0.011486	0.011979	0.011158	0.010007	0.010336	0.011979	0.005241
107	0.011486	0.008035	0.011322	0.012144	0.010171	0.012801	0.01313	0.012144	0.010993	0.011322
108	0.012144	0.016581	0.019211	0.011815	0.0105	0.01313	0.013294	0.009843	0.010171	0.009514
109	0.011486	0.010993	0.012801	0.011486	0.008692	0.010171	0.013459	0.004748	0.016581	0.011979
110	0.00935	0.011815	0.009514	0.011815	0.003104	0.012637	0.012472	0.008363	0.015431	0.009678
111	0.013294	0.00935	0.013294	0.006062	0.007377	0.011979	0.015595	0.013787	0.011322	0.01313
112	0.014445	0.011815	0.009678	0.017732	0.011651	0.011486	0.011815	0.007706	0.014938	0.010007
113	0.009514	0.006556	0.009185	0.006227	0.007213	0.013623	0.00409	0.013952	0.010664	0.010336
114	0.011322	0.010829	0.009185	0.009678	0.011158	0.011815	0.009185	0.010336	0.009678	0.011651
115	0.005405	0.008035	0.018061	0.009514	0.01428	0.012472	0.013952	0.012965	0.007542	0.01428
116	0.011979	0.006556	0.0105	0.010171	0.011651	0.010664	0.010664	0.012637	0.011815	0.010007
117	0.015102	0.009678	0.013787	0.004583	0.009021	0.013952	0.00409	0.010171	0.010171	0.010664
118	0.010171	0.008692	0.013623	0.011979	0.013294	0.012144	0.011322	0.011815	0.009021	0.006391
119	0.012637	0.009021	0.010993	0.008857	0.010336	0.018718	0.006391	0.014938	0.010664	0.010664
120	0.009514	0.006884	0.010829	0.008857	0.015924	0.00935	0.009514	0.016746	0.008363	0.008199
121	0.011651	0.015431	0.011651	0.013623	0.018389	0.008528	0.008857	0.015266	0.010007	0.013294
122	0.006227	0.01313	0.010007	0.009021	0.011322	0.011158	0.011651	0.010664	0.013787	0.007706
123	0.009514	0.011322	0.018389	0.015266	0.012965	0.010829	0.018718	0.012308	0.013787	0.00935
124	0.00935	0.0105	0.013294	0.0105	0.010993	0.00672	0.01313	0.01428	0.01428	0.016581
125	0.013623	0.012308	0.005241	0.009843	0.012308	0.012965	0.012637	0.007542	0.013459	0.011486
126	0.011979	0.009514	0.00935	0.015102	0.010171	0.010007	0.015266	0.017074	0.010993	0.010829
127	0.008035	0.010664	0.010171	0.009843	0.011979	0.00672	0.0105	0.010007	0.011651	0.011815
128	0.008035	0.010007	0.012637	0.000803	0.010993	0.009843	0.013459	0.005569	0.010993	0.015266
129	0.012144	0.011322	0.010336	0.013459	0.011322	0.011158	0.012472	0.011815	0.012637	0.015102
130	0.008528	0.008692	0.011979	0.009678	0.009843	0.012965	0.012965	0.009843	0.011158	0.011486
131	0.012965	0.01313	0.009021	0.008199	0.009843	0.011158	0.010336	0.004912	0.01313	0.012144
132	0.009843	0.009843	0.011979	0.011322	0.015102	0.011815	0.009843	0.010007	0.010336	0.013459
133	0.012472	0.010336	0.009678	0.011158	0.008199	0.005734	0.010993	0.006391	0.009514	0.007377
134	0.009021	0.0105	0.013623	0.007377	0.011815	0.008363	0.011651	0.010664	0.004583	0.012472
135	0.008692	0.012965	0.012801	0.011979	0.013623	0.00935	0.010171	0.009021	0.013952	0.011322
136	0.009021	0.011815	0.014116	0.005241	0.010336	0.011322	0.008857	0.012801	0.000639	0.011979
137	0.013294	0.014773	0.011815	0.003433	0.010993	0.015595	0.004583	0.010007	0.00146	0.009843
138	0.007706	0.009678	0.013952	0.008363	0.016746	0.014938	0.005076	0.014938	0.010664	0.00935
139	0.010171	0.005734	0.011486	0.012637	0.007706	0.013294	0.015595	0.013459	0.009021	0.011979
140	0.01954	0.01428	0.011158	0.009185	0.010993	0.012144	0.01313	0.0105	0.010171	0.009843
141	0.015924	0.013623	0.010829	0.012801	0.011158	0.015266	0.014609	0.015266	0.013952	0.008692
142	0.011158	0.015266	0.013459	0.009678	0.011815	0.011651	0.0105	0.016088	0.014445	0.009678
143	0.01428	0.010829	0.01428	0.011158	0.008692	0.011158	0.015266	0.016088	0.012637	0.010171
144	0.010171	0.01576	0.008528	0.013787	0.011651	0.014938	0.014773	0.010829	0.010007	0.011486
145	0.011979	0.0105	0.011979	0.008857	0.011158	0.010664	0.012308	0.011979	0.010664	0.013952
146	0.012637	0.010007	0.00935	0.010993	0.010993	0.010336	0.012801	0.008363	0.011979	0.008199
147	0.010171	0.010171	0.010664	0.006391	0.005076	0.013787	0.011322	0.011322	0.009021	0.015924
148	0.012308	0.01428	0.009021	0.013459	0.003597	0.012144	0.006227	0.0105	0.012472	0.013459
149	0.013623	0.006391	0.008857	0.009185	0.006556	0.011815	0.00787	0.012472	0.008035	0.00935
150	0.010664	0.007706	0.009021	0.0105	0.009678	0.015266	0.0105	0.008692	0.012472	0.013294
151	0.006062	0.003761	0.013294	0.008035	0.007377	0.00935	0.002611	0.012308	0.00935	0.011651
152	0.008528	0.010993	0.012308	0.013459	0.010007	0.007213	0.011979	0.009843	0.009843	0.006556
153	0.004912	0.017403	0.015595	0.009021	0.012144	0.0105	0.008035	0.01313	0.00409	0.009185
154	0.009021	0.012308	0.011158	0.008199	0.01313	0.009843	0.008692	0.010336	0.013294	0.007377
155	0.00146	0.007213	0.012801	0.010336	0.011486	0.010171	0.012637	0.011979	0.012472	0.011158
156	0.009843	0.012472	0.009678	0.010829	0.012144	0.012308	0.013787	0.012144	0.013294	0.00409
157	0.011979	0.012637	0.013459	0.009021	0.010336	0.011979	0.011486	0.009514	0.011651	0.006556
158	0.006556	0.011322	0.016088	0.010664	0.006556	0.005405	0.012472	0.011651	0.019047	0.007377
159	0.016746	0.012965	0.013294	0.009185	0.004583	0.014938	0.013459	0.012144	0.011815	0.006884
160	0.008363	0.010336	0.010171	0.010007	0.006556	0.013952	0.012965	0.00672	0.010171	0.012637
161	0.013623	0.012965	0.010829	0.00935	0.008857	0.013623	0.015595	0.0105	0.010336	0.00935
162	0.013623	0.00672	0.011322	0.013952	0.006062	0.011322	0.012965	0.008363	0.008363	0.012308
163	0.013787	0.009843	0.016417	0.012965	0.010664	0.011486	0.007213	0.008035	0.00935	0.011651
164	0.01313	0.00787	0.011815	0.008528	0.00409	0.012308	0.010993	0.015266	0.010171	0.01313
165	0.0105	0.014445	0.020197	0.008363	0.013623	0.013623	0.009678	0.012472	0.011979	0.010664
166	0.007706	0.006391	0.016746	0.008035	0.007706	0.011486	0.007706	0.009185	0.007542	0.012144
167	0.006391	0.011979	0.00935	0.007706	0.013623	0.011322	0.011158	0.010336	0.013294	0.008035
168	0.012965	0.018225	0.012472	0.004419	0.009514	0.011651	0.005405	0.012637	0.007213	0.008035
169	0.010171	0.017732	0.009021	0.013952	0.010993	0.005734	0.008528	0.011815	0.010336	0.00787
