Ladekurvenmessung
Zeit: 2018_05_23 14.51.44
Info: T40, F27N, 0.5
Ladewiderstand[Ohm]: 10000000
Strkapazitt[pF]: 100.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 3000.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.00031	-0.030754	0.002447	-0.002155	0.006391	-0.016126	0.019375	-0.004128	-0.006757	0.005405
1	0.000146	-0.031247	0.003761	-0.003799	0.007706	-0.010373	0.019868	-0.003635	-0.004456	0.006884
2	-0.000512	-0.026809	0.002447	-0.002977	0.007377	-0.011852	0.021183	-0.000841	-0.003306	0.005734
3	0.00031	-0.028781	-0.001005	-0.001169	0.007706	-0.011524	0.020526	-0.004785	-0.003306	0.00672
4	-0.000841	-0.028617	-0.001662	-0.004128	0.008035	-0.013003	0.021348	-1.9e-05	-0.002813	0.007213
5	0.000967	-0.030589	0.002118	-0.003799	0.008199	-0.012346	0.019704	-0.005114	-0.003306	0.005898
6	0.000803	-0.028781	-0.000347	-0.00347	0.004912	-0.011031	0.02069	-0.003799	-0.004785	0.00672
7	-0.000183	-0.033055	-0.000183	-0.003142	0.009843	-0.01251	0.019868	-0.003963	-0.003963	0.007542
8	-0.000347	-0.031247	-0.000347	-0.005114	0.006227	-0.008894	0.021841	-0.00347	-0.004292	0.006556
9	0.000803	-0.030918	0.000803	-0.000512	0.009514	-0.009387	0.019868	0.00146	-0.004292	0.008363
10	-1.9e-05	-0.030096	0.000146	-0.000183	0.009843	-0.009551	0.01954	-0.000676	-0.003635	0.005405
11	0.000474	-0.031247	0.000146	-0.000183	0.008857	-0.00873	0.020855	0.001296	-0.003635	0.005734
12	0.000474	-0.031411	0.000474	-0.002484	0.007213	-0.007579	0.01954	-0.002484	-0.00347	0.00672
13	0.000474	-0.030918	0.000474	-0.001662	0.009185	-0.008237	0.020526	-0.004292	-0.005607	0.007049
14	0.000474	-0.029767	0.000639	-0.002155	0.007706	-0.006922	0.01954	-0.00347	-0.003963	0.008528
15	0.000146	-0.033383	0.00031	-0.003635	0.008857	-0.011359	0.018882	-0.003306	-0.004128	0.008857
16	-0.000183	-0.030918	0.000474	-0.004292	0.009185	-0.009058	0.017403	-0.005936	-0.00347	0.00787
17	-0.000183	-0.033876	-0.001334	-0.00347	0.006391	-0.007579	0.018718	-0.005278	-0.002813	0.006884
18	-0.000512	-0.033055	-0.001827	-0.002155	0.007706	-0.002155	0.019375	-0.006757	-0.004292	0.00935
19	-0.000183	-0.03174	-0.000512	-0.00347	0.008857	-0.000512	0.018882	-0.005443	-0.005443	0.008199
20	-0.000183	-0.030754	-0.000676	-0.003799	0.007542	0.00031	0.018882	-0.005936	-0.004128	0.006227
21	0.000146	-0.031411	-0.000183	-0.002977	0.005898	-0.001169	0.021676	-0.006922	-0.004128	0.008035
22	0.000146	-0.03174	0.00031	-0.001662	0.008692	-0.001827	0.02069	-0.008072	-0.002977	0.007377
23	0.000146	-0.032233	0.000146	-0.003799	0.007049	0.002282	0.020855	-0.008237	-0.003799	0.007706
24	0.000474	-0.034369	0.000474	-0.00232	0.007377	-0.001827	0.020033	-0.006429	-0.001334	0.007213
25	-0.000183	-0.033055	0.00031	-0.004292	0.007213	-0.004949	0.021512	-0.0061	-0.002813	0.00787
26	0.00031	-0.03289	0.000146	-0.002977	0.008528	-0.002977	0.021348	-0.007908	-0.001169	0.008692
27	-0.000347	-0.032068	0.000146	-0.003306	0.008692	-0.002155	0.020197	-0.006922	-0.002484	0.008857
28	-0.000512	-0.032726	-0.000183	-0.004456	0.010171	-0.003963	0.020197	-0.005278	-0.001991	0.008692
29	-0.000347	-0.032726	-0.000512	-0.001334	0.010336	-0.001991	0.018554	-0.006757	-0.000347	0.009843
30	0.000803	-0.032397	-0.000512	-0.00232	0.008528	-0.000512	0.019868	-0.006264	-0.001498	0.008857
31	-0.000347	-0.032233	-0.000512	-0.002155	0.00787	0.000474	0.019047	-0.007908	-0.002648	0.006556
32	0.000146	-0.033712	-0.001334	-0.002155	0.009514	0.000474	0.01954	-0.005607	-0.003142	0.008363
33	0.000474	-0.033712	0.00031	-0.000183	0.010664	0.00031	0.022169	-0.007086	-0.001005	0.008692
34	0.00031	-0.03289	0.000146	-0.001662	0.00787	0.000474	0.021348	-0.006264	-0.003142	0.008528
35	0.000474	-0.030918	-0.000183	-0.004128	0.008363	-1.9e-05	0.019704	-0.007086	-0.000841	0.009021
36	0.000639	-0.035027	0.000967	-0.002813	0.008199	-1.9e-05	0.022169	-0.003799	-0.003963	0.00935
37	0.000146	-0.032233	-0.001991	-0.003142	0.00787	-0.000512	0.021019	-0.006922	0.000146	0.007542
38	-1.9e-05	-0.032561	-0.005443	-0.002648	0.007706	-0.000347	0.018225	-0.006429	-0.002155	0.00787
39	-0.000347	-0.032233	-0.008565	-0.005607	0.009678	-0.000676	0.019868	-0.005278	-0.001005	0.009021
40	-0.001498	-0.02911	-0.01514	-0.003963	0.007377	-0.000347	0.019868	-0.005114	-0.001827	0.012965
41	-0.000347	-0.03026	-0.015797	-0.004292	0.009021	0.00031	0.021019	-0.003799	-1.9e-05	0.008035
42	-0.001827	-0.032233	-0.018591	-0.004785	0.008692	0.00031	0.021512	-0.005443	-0.001991	0.00787
43	0.000803	-0.030425	-0.019413	-0.003142	0.008528	0.000146	0.018882	-0.005278	-0.002155	0.00935
44	-0.001005	-0.030425	-0.023851	-0.005443	0.008857	-0.000841	0.021676	-0.003963	-0.002648	0.009021
45	-0.001005	-0.031247	-0.026809	-0.004292	0.009021	-0.001827	0.02069	-0.003799	-0.001005	0.008035
46	-0.00232	-0.03026	-0.027631	-0.003306	0.008363	-0.001498	0.019211	-0.005771	-0.001827	0.011158
47	0.00031	-0.033876	-0.031247	-0.002484	0.009678	-0.002155	0.019047	-0.003799	-0.000841	0.009678
48	-0.002155	-0.033055	-0.027138	-0.004128	0.008363	-0.005936	0.019868	-0.0061	-0.000183	0.009514
49	-0.001662	-0.032233	-0.000512	-0.001662	0.010007	-0.007415	0.018718	-0.006593	-0.00232	0.010007
50	-0.001827	-0.035684	-0.000183	-0.001991	0.00787	-0.010373	0.019047	-0.006429	-0.001169	0.010007
51	-0.001169	-0.032561	-0.000512	-0.001498	0.010664	-0.014647	0.019704	-0.005278	-0.001334	0.008857
52	-0.000347	-0.031411	-0.000347	-0.00347	0.008692	-0.008401	0.021348	-0.007415	-0.001005	0.008363
53	-0.000183	-0.030589	-0.000183	-0.003142	0.00935	-0.00347	0.020362	-0.005936	-0.001334	0.009021
54	0.000146	-0.030425	-0.000183	-0.003963	0.008528	-0.00347	0.016746	-0.007579	0.000639	0.008528
