Ladekurvenmessung
Zeit: 2018_05_23 14.54.13
Info: T40, F27N, 0.857
Ladewiderstand[Ohm]: 10000000
Strkapazitt[pF]: 100.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 3000.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18	Kurve_19	Kurve_20	Kurve_21	Kurve_22	Kurve_23	Kurve_24	Kurve_25	Kurve_26	Kurve_27	Kurve_28	Kurve_29	Kurve_30	Kurve_31	Kurve_32	Kurve_33	Kurve_34	Kurve_35	Kurve_36	Kurve_37	Kurve_38	Kurve_39	Kurve_40	Kurve_41	Kurve_42	Kurve_43	Kurve_44	Kurve_45	Kurve_46	Kurve_47	Kurve_48	Kurve_49	Kurve_50	Kurve_51	Kurve_52	Kurve_53	Kurve_54	Kurve_55	Kurve_56	Kurve_57	Kurve_58	Kurve_59	Kurve_60	Kurve_61	Kurve_62	Kurve_63	Kurve_64	Kurve_65	Kurve_66	Kurve_67	Kurve_68	Kurve_69	Kurve_70	Kurve_71	Kurve_72	Kurve_73	Kurve_74	Kurve_75	Kurve_76	Kurve_77	Kurve_78	Kurve_79	Kurve_80	Kurve_81	Kurve_82	Kurve_83	Kurve_84	Kurve_85	Kurve_86	Kurve_87	Kurve_88	Kurve_89	Kurve_90	Kurve_91	Kurve_92	Kurve_93	Kurve_94	Kurve_95	Kurve_96	Kurve_97	Kurve_98	Kurve_99	Kurve_100
0	0.007706	0.011979	0.017403	0.008363	0.01428	-1.9e-05	0.005405	0.001625	0.009021	0.0105	0.016253	0.013952	0.001789	0.003104	0.012965	0.008035	0.005241	0.01576	0.012472	0.01691	-0.002648	0.005898	0.006556	0.014938	0.010664	0.01576	0.011651	-0.007086	0.008857	0.013294	0.014773	0.016417	0.003926	0.009021	0.008692	0.000967	0.015431	0.015595	0.00787	0.000803	0.015924	0.00935	0.01313	0.00409	0.008035	0.008199	0.014116	0.006391	0.013294	-0.017769	0.004583	0.013459	0.010007	0.011815	0.00787	0.011651	0.008035	0.005734	0.002282	0.004583	0.00672	0.003926	0.005076	-1.9e-05	0.001954	-0.001169	0.003268	0.001954	-0.002648	0.002775	0.001789	-0.006429	0.001296	-0.011359	-0.001334	-0.005278	0.000146	-0.001662	-0.001662	-0.002155	-0.057708	0.00146	-0.000841	-0.000676	-0.000183	-0.004128	-0.005607	-0.007579	-0.006757	-0.007744	-0.007415	-0.006922	-0.007908	-0.00988	-0.010866	-0.012674	-0.013332	-0.013167	-0.010373	-0.007908
1	0.011158	0.014116	0.015431	0.0105	0.01428	0.002447	0.00672	0.005405	0.008528	0.013459	0.016088	0.015431	0.00294	0.006556	0.01428	0.012308	0.005898	0.013623	0.013623	0.018718	-0.003635	0.008692	0.007049	0.014445	0.010993	0.01691	0.012637	-0.002484	0.009843	0.015431	0.014609	0.021183	0.00672	0.010829	0.008528	0.003433	0.017074	0.017732	0.012637	-0.004128	0.017239	0.009843	0.016581	0.003926	0.012144	0.010336	0.017567	0.007542	0.015102	-0.016454	0.00787	0.010664	0.011651	0.012801	0.008363	0.012308	0.013623	0.008035	0.00409	0.003104	0.010993	0.002775	0.00935	0.00031	0.005076	0.000639	0.004748	0.00672	0.000146	0.000474	0.002447	-0.006593	0.001954	-0.009551	-0.001498	-0.000841	0.00146	-0.001991	0.000803	-0.000512	-0.006429	0.001132	-0.001498	0.000474	-0.001662	-0.002484	-0.001991	-0.006593	-0.004456	-0.006757	-0.004949	-0.001827	-0.008565	-0.007908	-0.008072	-0.009223	-0.010702	-0.012674	-0.011031	-0.006922
2	0.009678	0.014609	0.018554	0.011322	0.015431	0.001132	0.004419	0.004255	0.008692	0.012965	0.017732	0.017403	0.004419	0.005241	0.015102	0.0105	0.006884	0.016417	0.014938	0.01576	-0.001827	0.008692	0.006884	0.017074	0.010664	0.017403	0.012801	-0.004621	0.010829	0.014773	0.01428	0.019047	0.007377	0.007542	0.008528	0.001954	0.017732	0.015431	0.010829	-0.006922	0.016253	0.011486	0.012637	0.008035	0.009514	0.009185	0.015266	0.007049	0.013952	-0.017112	0.008692	0.012965	0.010336	0.013459	0.008857	0.011322	0.007542	0.007542	0.003761	0.005241	0.007377	0.003268	0.00787	-0.003142	0.003597	-0.001169	0.008363	0.005241	0.002447	0.001625	0.003597	-0.009716	0.001296	-0.008072	0.002118	-0.000676	0.000146	-1.9e-05	-0.000347	0.00031	0.00031	0.000146	-0.000512	0.00031	-0.000512	-0.001005	-0.001169	-0.00725	-0.004785	-0.008401	-0.00873	-0.0061	-0.007908	-0.008565	-0.00873	-0.009387	-0.010538	-0.011359	-0.009387	-0.007908
3	0.009514	0.015595	0.016581	0.010829	0.014609	0.001625	0.005241	0.004255	0.008857	0.013294	0.016088	0.016253	0.002447	0.004912	0.01428	0.010829	0.010993	0.015595	0.014445	0.018718	-0.003963	0.009021	0.008363	0.016746	0.012144	0.016253	0.014445	-0.002155	0.009843	0.016746	0.016253	0.019047	0.005898	0.011322	0.008528	0.002282	0.017074	0.017732	0.011486	-0.00873	0.016417	0.009678	0.014445	0.005076	0.009185	0.010336	0.016581	0.007377	0.013459	-0.014482	0.007706	0.011651	0.012965	0.013294	0.008692	0.0105	0.010336	0.007377	0.004419	0.004419	0.010336	0.005076	0.008528	0.000803	0.005405	-0.000347	0.00409	0.005405	-0.000347	0.002775	0.004912	-0.011524	-0.00232	-0.009716	-0.000183	-1.9e-05	0.000146	0.000474	0.00294	-0.001498	-0.000347	0.000474	-0.000347	-0.005443	0.000639	-0.002155	-0.002484	-0.005936	-0.005278	-0.005607	-0.004292	-0.006264	-0.00988	-0.011852	-0.011031	-0.010866	-0.011688	-0.012346	-0.010702	-0.006593
4	0.010007	0.014773	0.017239	0.01428	0.014445	0.001625	0.006227	0.00409	0.011486	0.012637	0.016088	0.017896	0.002775	0.004912	0.01691	0.009678	0.004748	0.014938	0.014609	0.015924	-0.003306	0.008528	0.007706	0.017239	0.009185	0.018225	0.013787	-0.003799	0.004255	0.017732	0.011651	0.017896	0.008199	0.009843	0.006884	0.000967	0.01576	0.01691	0.011979	-0.006264	0.017567	0.008528	0.014938	0.005241	0.009185	0.009678	0.01576	0.00672	0.015595	-0.012839	0.007706	0.012801	0.010664	0.012472	0.007213	0.011651	0.010993	0.008692	0.004255	0.004255	0.009021	0.004912	0.008692	-0.000841	0.005241	-0.001005	0.002611	0.00409	0.001296	0.002447	0.001954	-0.009716	0.002118	-0.012181	0.001132	-0.001169	0.00146	-0.001169	0.000146	0.00031	-0.00347	0.000146	-0.001169	-1.9e-05	0.00031	-0.002484	0.00031	-0.005936	-0.004456	-0.00873	-0.007579	-0.0061	-0.005771	-0.010538	-0.010866	-0.009387	-0.010702	-0.012181	-0.009223	-0.007086
5	0.012801	0.014938	0.017239	0.011158	0.013952	-0.000676	0.006391	0.003926	0.008857	0.013294	0.017567	0.019704	0.004583	0.005569	0.014445	0.012637	0.00672	0.016088	0.01428	0.016746	-0.003306	0.007377	0.008363	0.016581	0.011815	0.016253	0.011979	-0.004621	0.010336	0.016746	0.01428	0.018882	0.007049	0.009514	0.010664	0.002611	0.014609	0.018718	0.011322	-0.00347	0.015595	0.008035	0.014609	0.005076	0.009843	0.008035	0.016417	0.006556	0.012965	-0.01366	0.006062	0.013623	0.011322	0.013623	0.005898	0.011486	0.008363	0.011322	0.004419	0.004912	0.011486	0.003268	0.008363	-0.000512	0.007377	-0.002484	0.004583	0.006391	0.002282	0.00031	0.003761	-0.012674	0.001296	-0.008072	0.001132	-0.001334	-1.9e-05	0.000803	0.000474	-0.000512	0.00031	0.000146	-0.001498	-0.000512	0.001296	-0.001169	-0.002648	-0.006264	-0.004785	-0.007415	-0.006922	-0.005771	-0.0061	-0.009058	-0.013167	-0.011031	-0.013496	-0.013496	-0.009716	-0.00347
6	0.010829	0.01576	0.017403	0.011486	0.01576	0.000639	0.004912	0.004583	0.00935	0.012637	0.016581	0.018882	0.002118	0.005076	0.016253	0.009185	0.007542	0.015924	0.017403	0.01313	-0.002648	0.008857	0.006391	0.017239	0.010664	0.017074	0.012801	-0.003142	0.009185	0.01691	0.01428	0.018882	0.007213	0.010829	0.009021	0.001625	0.015595	0.016417	0.011815	-0.002813	0.01691	0.008363	0.014116	0.005405	0.00935	0.0105	0.015924	0.007706	0.01691	-0.014482	0.007377	0.013952	0.011651	0.01313	0.008528	0.009678	0.009843	0.007542	0.003268	0.004912	0.011158	0.005405	0.008363	-0.006922	0.004912	-0.002484	0.004912	0.003761	0.00031	0.000967	0.002611	-0.010045	0.000967	-0.009387	0.000146	-0.000183	-0.000512	0.000639	-0.000676	-0.003306	0.001296	-0.000841	-0.001827	-1.9e-05	0.00031	-0.000676	-0.000512	-0.004785	-0.006757	-0.00725	-0.005443	-0.007415	-0.009716	-0.009716	-0.009223	-0.011524	-0.01251	-0.011688	-0.009551	-0.006593
7	0.015102	0.016581	0.016581	0.011158	0.01313	0.00146	0.004419	0.004255	0.009843	0.012965	0.016417	0.01576	0.003104	0.004748	0.015924	0.011486	0.008363	0.014773	0.013787	0.01691	-0.00232	0.009021	0.007377	0.015431	0.011651	0.01576	0.012144	-0.001827	0.0105	0.015431	0.015595	0.018389	0.007542	0.011158	0.011158	0.002447	0.018225	0.019704	0.0105	-0.000512	0.015595	0.008857	0.01428	0.005076	0.010171	0.010171	0.017074	0.006391	0.013952	-0.01366	0.006062	0.012965	0.011651	0.011979	0.006884	0.010336	0.007706	0.009021	0.005898	0.003926	0.011486	0.003926	0.009514	-0.005443	0.006556	-0.002484	0.002447	0.00294	0.002611	-0.000512	0.001296	-0.014975	0.001296	-0.010209	0.002118	-0.001334	-0.000183	0.001954	-0.000347	-0.001498	-0.004621	0.000967	0.000146	-0.001498	-0.000183	-0.003142	-0.002813	-0.006757	-0.004949	-0.005607	-0.006429	-0.007086	-0.004456	-0.008565	-0.010209	-0.010866	-0.011195	-0.012674	-0.012017	-0.005607
8	0.010993	0.015924	0.016746	0.012308	0.01428	0.001296	0.006062	0.001625	0.00935	0.013952	0.01691	0.015595	0.000639	0.004255	0.015431	0.010171	0.007213	0.016088	0.01428	0.016581	-0.001662	0.00787	0.008363	0.018225	0.010993	0.017732	0.014609	-0.002977	0.008692	0.017239	0.016417	0.017239	0.005734	0.0105	0.009514	0.003597	0.017239	0.019047	0.012801	-0.000183	0.014445	0.010007	0.011651	0.004583	0.009185	0.011486	0.014773	0.009021	0.015431	-0.014647	0.008035	0.011979	0.011651	0.012801	0.007377	0.010007	0.007706	0.010007	0.005734	0.006227	0.011158	0.00409	0.008528	-0.005936	0.004419	-0.001169	0.004255	0.003433	-0.000676	0.000803	0.001625	-0.016126	0.002118	-0.010209	0.00031	-0.000841	0.001625	-0.000512	-0.002648	0.000146	-0.0061	0.001296	-0.001334	0.001132	-0.001991	-0.000676	-0.001005	-0.006264	-0.0061	-0.006757	-0.003799	-0.007744	-0.008072	-0.00873	-0.008401	-0.010538	-0.011524	-0.011359	-0.009551	-0.005771
9	0.012801	0.014609	0.015431	0.011322	0.013787	0.002118	0.005898	0.003104	0.010336	0.012965	0.015924	0.015102	0.003268	0.003926	0.015595	0.011486	0.008692	0.014773	0.014445	0.018554	-0.001005	0.009021	0.007706	0.017732	0.011815	0.016581	0.014445	-0.001662	0.008692	0.016746	0.018225	0.018882	0.007377	0.010664	0.010336	0.005405	0.01691	0.019047	0.011322	-0.000676	0.015431	0.009678	0.01428	0.004419	0.0105	0.008692	0.018554	0.008199	0.014609	-0.016454	0.007049	0.0105	0.015595	0.012308	0.004912	0.011158	0.008528	0.00787	0.005569	0.00409	0.010993	0.005241	0.00935	-0.002484	0.006227	-0.001498	0.002611	0.003433	0.000967	0.000474	0.000967	-0.018262	0.001296	-0.008401	0.00146	-0.001005	0.000146	-1.9e-05	-0.001827	-0.000676	-0.010373	-0.000676	-0.000183	0.000146	0.000146	-0.002813	-0.001827	-0.005278	-0.005443	-0.005443	-0.005936	-0.006922	-0.007579	-0.005936	-0.009387	-0.011359	-0.011195	-0.010538	-0.011031	-0.005771
