,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
0,2018_05_02_15_05_57_m001,1.02307e-10,9.688285e-11,9.784722e-11,9.542949e-11,9.857447e-11,FVA3,0.0404,40.0,20.0,58.8
1,2018_05_02_15_06_03_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.765989e-11,FVA3,0.0404,40.0,20.0,58.8
2,2018_05_02_15_10_14_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.0769,40.0,20.0,79.7
3,2018_05_02_15_10_22_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.924342e-11,FVA3,0.0769,40.0,20.0,79.7
4,2018_05_02_15_10_32_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.024392e-10,FVA3,0.0769,40.0,20.0,79.7
5,2018_05_02_15_10_41_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.762689e-11,FVA3,0.0769,40.0,20.0,79.7
6,2018_05_02_15_11_47_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.018849e-10,FVA3,0.1074,40.0,20.0,95.8
7,2018_05_02_15_11_57_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.1074,40.0,20.0,95.8
8,2018_05_02_15_12_05_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.577664e-11,FVA3,0.1074,40.0,20.0,95.8
9,2018_05_02_15_12_15_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.524623e-10,FVA3,0.1074,40.0,20.0,95.8
10,2018_05_02_15_12_22_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.34846e-10,FVA3,0.1074,40.0,20.0,95.8
11,2018_05_02_15_13_26_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.400936e-11,FVA3,0.151,40.0,20.0,123.8
12,2018_05_02_15_13_33_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.155075e-10,FVA3,0.151,40.0,20.0,123.8
13,2018_05_02_15_13_40_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.963703000000001e-11,FVA3,0.151,40.0,20.0,123.8
14,2018_05_02_15_13_46_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.047023e-10,FVA3,0.151,40.0,20.0,123.8
