,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
109,2018_05_03_14_47_07_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.648958e-10,SHC320,0.12,40.0,20.0,191.9
110,2018_05_03_14_47_58_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.746312e-10,SHC320,0.172,40.0,20.0,235.2
111,2018_05_03_14_48_08_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.630441e-10,SHC320,0.172,40.0,20.0,235.2
112,2018_05_03_14_49_33_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.984819e-10,SHC320,0.248,40.0,20.0,292.0
113,2018_05_03_14_49_46_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.640142e-10,SHC320,0.248,40.0,20.0,292.0
114,2018_05_03_14_49_58_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.084966e-10,SHC320,0.248,40.0,20.0,292.0
115,2018_05_03_14_50_25_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,SHC320,0.248,40.0,20.0,292.0
116,2018_05_03_14_51_04_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.39817e-10,SHC320,0.248,40.0,20.0,292.0
117,2018_05_03_14_51_20_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.577044e-10,SHC320,0.248,40.0,20.0,292.0
118,2018_05_03_14_51_58_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.700249e-10,SHC320,0.428,40.0,20.0,390.0
119,2018_05_03_14_52_10_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.743941e-10,SHC320,0.428,40.0,20.0,390.0
120,2018_05_03_14_52_24_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.696858e-10,SHC320,0.428,40.0,20.0,390.0
121,2018_05_03_14_54_03_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.593095e-10,SHC320,0.614,40.0,20.0,461.9
122,2018_05_03_14_54_15_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.564613e-10,SHC320,0.614,40.0,20.0,461.9
123,2018_05_03_14_54_24_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.478622e-10,SHC320,0.614,40.0,20.0,461.9
124,2018_05_03_14_55_48_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.719704e-10,SHC320,0.886,40.0,20.0,530.7
125,2018_05_03_14_56_02_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.582994e-10,SHC320,0.886,40.0,20.0,530.7
126,2018_05_03_14_56_13_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.620498e-10,SHC320,0.886,40.0,20.0,530.7
127,2018_05_03_14_57_31_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.602451e-10,SHC320,1.06,40.0,20.0,576.5
128,2018_05_03_14_57_42_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.596944e-10,SHC320,1.06,40.0,20.0,576.5
129,2018_05_03_14_57_53_mSHC320_005,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.697386e-10,SHC320,1.06,40.0,20.0,576.5
