,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
0,2018_05_03_11_47_47_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.1,60.0,20.0,81.6
1,2018_05_03_11_48_09_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.610641e-10,FVA3,0.1,60.0,20.0,81.6
2,2018_05_03_11_48_23_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,3.796839e-10,FVA3,0.1,60.0,20.0,81.6
3,2018_05_03_11_49_34_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.14,60.0,20.0,96.9
4,2018_05_03_11_49_50_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.549571e-10,FVA3,0.14,60.0,20.0,96.9
5,2018_05_03_11_50_01_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.14,60.0,20.0,96.9
6,2018_05_03_11_52_10_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,3.089836e-10,FVA3,0.273,60.0,20.0,144.6
7,2018_05_03_11_52_20_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.54037e-10,FVA3,0.273,60.0,20.0,144.6
8,2018_05_03_11_53_06_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.885956e-11,FVA3,0.382,60.0,20.0,178.2
9,2018_05_03_11_53_16_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.444891999999999e-11,FVA3,0.382,60.0,20.0,178.0
10,2018_05_03_11_53_28_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.807382e-10,FVA3,0.382,60.0,20.0,178.0
11,2018_05_03_11_55_13_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.018159e-10,FVA3,0.749,60.0,20.0,259.2
12,2018_05_03_11_55_25_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.679048e-11,FVA3,0.749,60.0,20.0,259.2
13,2018_05_03_11_55_34_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.04464e-10,FVA3,0.749,60.0,20.0,259.2
14,2018_05_03_11_55_44_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.005959e-10,FVA3,0.749,60.0,20.0,259.2
15,2018_05_03_11_57_03_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.030325e-10,FVA3,1.05,60.0,20.0,289.7
16,2018_05_03_11_57_13_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.877283e-11,FVA3,1.05,60.0,20.0,289.7
17,2018_05_03_11_57_23_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.535575e-11,FVA3,1.05,60.0,20.0,289.7
18,2018_05_03_11_58_09_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.966045e-11,FVA3,1.47,60.0,20.0,337.9
19,2018_05_03_11_58_18_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.022063e-10,FVA3,1.47,60.0,20.0,337.9
20,2018_05_03_11_58_28_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,8.649541e-11,FVA3,1.47,60.0,20.0,337.9
21,2018_05_03_11_58_39_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,8.708729e-11,FVA3,1.47,60.0,20.0,337.9
22,2018_05_03_11_58_49_m002,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.977875e-11,FVA3,1.47,60.0,20.0,337.9
