Software version	2.1
Lubricant name	FVA3 FVV1138 Bader
Viscosity	0
Oil refractive index	1.48
Spacer type	Silica
Ball diameter	.01905
Disc track radius	.03
Trigger point	437
Comments	FVA3, T = 20, F = 20
Number of logged data points	45
Disc Speed	Ball Speed	Slide/Roll	Pot Temp	Lube Temp	Load	Film
.0210033	0	200	24.82394	24.97594	19.9241	49.69299
.024352	0	200	24.83668	25.01785	19.81229	55.8905
2.885359E-02	0	200	24.83159	25.02166	20.01073	66.45311
3.553233E-02	0	200	24.84815	25.03054	19.9513	81.33221
4.225864E-02	0	200	24.84815	25.04324	19.80222	94.33135
5.008391E-02	0	200	24.84942	25.0407	19.8959	108.5011
6.013492E-02	0	200	24.85197	25.05721	20.01073	132.5181
7.135067E-02	0	200	24.88	25.10292	19.9644	153.5436
8.592795E-02	0	200	24.90547	25.11943	20.23637	167.5248
.1027537	0	200	24.93477	25.12578	20.05707	187.0253
.1238861	0	200	24.94751	25.1334	19.93921	219.962
.1486437	0	200	24.9577	25.12324	19.82942	249.8149
.1776667	0	200	24.96407	25.08261	19.95735	284.3531
.2121674	0	200	24.97044	25.05975	20.12658	321.2326
.2548536	0	200	24.97681	25.08007	20.01779	372.5493
.3063617	0	200	24.97936	25.08134	19.97246	412.6616
.3663626	0	200	24.97936	25.04705	20.25954	464.5624
.4407617	0	200	24.98446	25.07118	19.98757	524.6386
.5288965	0	200	24.99465	25.12959	19.99059	589.4324
.635323	0	200	25.01885	25.13721	20.05606	652.6884
.7624379	0	200	25.03669	25.14483	20.11852	724.0691
.9149362	0	200	25.04688	25.19689	19.97346	800.9132
1.098423	0	200	25.08509	25.25657	20.09636	860.1611
1.317689	0	200	25.11312	25.42926	20.07218	945.7457
1.583853	0	200	25.12968	25.45847	20.04196	992.7904
1.899454	0	200	25.24306	25.74417	20.00268	1198.946
2.281187	0	200	25.33478	25.91306	20.05606	995.7648
2.281909	0	200	25.35134	25.98543	20.07621	990.3827
2.743931	0	200	25.36153	26.0121	20.01678	1011.202
3.289834	0	200	25.43032	26.15051	20.01073	1452.528
3.286728	0	200	25.60739	26.49843	19.96742	1413.795
2.737975	0	200	25.60867	26.52129	19.95936	1411.957
2.279852	0	200	25.63414	26.54034	20.1024	1377.318
1.897547	0	200	25.6609	26.59875	19.89993	1338.891
1.582637	0	200	25.72587	26.64065	20.02584	1054.49
1.317371	0	200	25.75262	26.65716	19.88482	1305.703
1.098346	0	200	25.77682	26.62414	20.17191	1238.892
.9146987	0	200	25.80994	26.63303	19.80021	906.5197
.7625175	0	200	25.87109	26.61271	20.01275	828.2263
.6356841	0	200	25.88256	26.56573	19.98555	753.9579
.5286748	0	200	25.95262	26.55304	19.99462	533.5775
.441314	0	200	25.98574	26.51875	20.0611	398.2132
.3671988	0	200	25.98956	26.50605	19.72969	398.2132
.3672106	0	200	26.01504	26.42479	19.62392	425.0823
.3067278	0	200	26.02778	26.44129	20.185	669.6912
