Software version	2.1
Lubricant name	FVA3 FVV 1138 Bader
Viscosity	0
Oil refractive index	1.435
Spacer type	Silica
Ball diameter	.01905
Disc track radius	.03
Trigger point	509
Comments	T=30
Number of logged data points	44
Disc Speed	Ball Speed	Slide/Roll	Pot Temp	Lube Temp	Load	Film
2.125341E-02	0	200	37.01007	33.99787	19.94425	55.26963
2.462778E-02	0	200	36.61261	34.0093	19.95936	62.09684
2.908532E-02	0	200	36.31325	34.03216	19.92914	68.92332
2.909074E-02	0	200	36.09414	34.07406	19.93418	68.78667
3.582814E-02	0	200	35.92981	34.08168	19.81129	78.3234
4.247504E-02	0	200	35.80751	34.1058	19.74178	86.64903
.0503137	0	200	35.70305	34.09692	19.79416	94.82845
6.036189E-02	0	200	35.6228	34.07406	19.86669	100.7649
7.158218E-02	0	200	35.53999	34.03089	19.89187	114.8136
.0861441	0	200	35.4712	34.01311	20.07117	133.1976
.1028891	0	200	35.23298	34.01057	20.01678	142.9506
.1241174	0	200	35.17693	34.01311	20.01174	162.9546
.1488153	0	200	35.15018	34.022	19.70854	183.2786
.1778055	0	200	35.11451	34.0347	19.94022	204.359
.212624	0	200	34.99986	34.07787	20.04297	228.9778
.255229	0	200	34.93871	34.04993	20.19205	261.5767
.3067995	0	200	34.92342	34.04866	19.86669	296.0398
.3672485	0	200	34.81769	34.03089	20.06009	330.2152
.4412282	0	200	34.77438	34.03089	20.00671	369.4966
.5288765	0	200	34.76291	34.02708	20.02584	416.3759
.6356939	0	200	34.66864	34.0893	19.90597	471.0273
.7622513	0	200	34.65208	34.102	20.16485	522.1556
.9158342	0	200	34.63425	34.12866	19.83748	588.1395
1.098833	0	200	34.46991	34.28104	19.9926	642.3865
1.319411	0	200	34.44698	34.28993	19.97749	709.2357
1.584742	0	200	34.40877	34.34326	20.03088	759.8831
1.901677	0	200	34.32087	34.47405	19.9916	798.2155
2.283674	0	200	34.33743	34.48167	20.01779	844.1729
2.738902	0	200	34.26991	34.49183	19.99059	1083.718
2.740218	0	200	34.25718	34.48928	19.97548	1083.718
2.735742	0	200	34.24698	34.5096	19.97951	1082.422
2.739365	0	200	34.24826	34.52103	19.97649	1081.773
3.288368	0	200	34.22915	34.43087	19.95735	1109.001
3.287302	0	200	34.21386	34.4296	20.02282	1103.167
3.287942	0	200	34.20622	34.4131	19.98757	1100.574
3.288155	0	200	34.19603	34.41437	20.00973	1100.574
3.952202	0	200	34.18329	34.40548	20.01073	1125.854
3.950499	0	200	34.16291	34.40548	20.03189	1125.854
3.949966	0	200	34.17564	34.40675	19.99361	1124.558
3.950606	0	200	34.17437	34.40548	20.01779	1122.613
4.61988	0	200	34.16927	34.40294	19.99764	1132.336
4.617214	0	200	34.15526	34.41817	19.98757	1140.762
4.616681	0	200	34.14634	34.41183	19.95735	1129.095
4.615509	0	200	34.14889	34.42707	19.99059	1129.743
