Software version	2.1
Lubricant name	FVA3
Viscosity	96
Oil refractive index	1.4
Spacer type	Silica
Ball diameter	.01905
Disc track radius	.039
Trigger point	385
Comments	FVA3, T = 40, F = 20
Number of logged data points	16
Disc Speed	Ball Speed	Slide/Roll	Pot Temp	Lube Temp	Load	Film
.021524	0	200	40.14132	38.66058	20.06009	44.10061
4.044179E-02	0	200	40.03176	38.73169	20.00872	58.79525
7.686258E-02	0	200	40.00373	38.77232	20.28976	79.66288
.1074356	0	200	40.03304	38.82311	20.05808	95.78957
.150956	0	200	39.99992	38.82565	19.94627	123.8172
.2108134	0	200	40.00756	38.82565	20.21321	148.8109
.2936881	0	200	39.99864	38.832	20.26257	189.4565
.4105708	0	200	39.9859	38.84343	20.00771	229.2
.5752543	0	200	40.00883	38.85105	20.05405	293.046
.8059451	0	200	40.00883	38.88279	20.03692	332.7092
1.126894	0	200	39.99992	39.00596	20.34617	288.5389
1.580219	0	200	40.02539	38.98184	20.21119	351.5536
1.579774	0	200	40.00119	38.98184	20.08225	337.7082
1.579717	0	200	39.99609	38.98057	20.00066	330.4535
.5740842	0	200	40.00373	38.98057	20.17594	261.5585
.409931	0	200	39.99737	38.98311	20.02383	227.2763
