Ladekurvenmessung
Zeit: 2018_05_02 10.57.40
Info: Messung der gesamten Kapazität des System (Mit Kugel, Scheibe im Prüfkopf, ohne Last) auf der sauberen Seite (45 Grad gegen Cr Seite)
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2
0	-0.000814	0.002212
1	-0.000452	0.002805
2	-0.000387	-0.000518
3	0.00037	0.000304
4	-0.00088	0.000765
5	0.000502	-0.000189
6	-0.000584	-0.000716
7	-0.000255	-0.001604
8	-0.001735	-0.002262
9	-0.001176	-0.000551
10	0.001653	-0.003347
11	-0.00213	-0.001341
12	-0.001374	-0.00111
13	8e-06	-0.001176
14	-0.002657	0.000304
15	-0.000584	-2.5e-05
16	-0.000222	-0.001341
17	-0.001933	-0.000946
18	0.000304	4.1e-05
19	-0.002262	-0.00167
20	-0.000222	0.001028
21	-0.000288	-0.000814
22	-0.000781	0.004219
23	-0.001472	0.001587
24	-0.000419	-0.000847
25	-0.002163	4.1e-05
26	-0.002558	-0.000979
27	-0.001571	-0.004038
28	-0.003676	-0.002196
29	-0.002492	-0.001538
30	-0.00088	-0.003183
31	-0.001703	-0.000452
32	-0.003051	0.001982
33	0.000502	-0.000748
34	-0.001999	0.0006
35	0.000304	0.001719
36	-0.002755	-0.002854
37	0.000206	8e-06
38	8e-06	-0.00065
39	-0.001505	0.000962
40	-0.001374	-0.001768
41	-0.002657	0.000798
42	-0.001768	-0.002262
43	-0.001538	-0.003907
44	-0.005914	-0.00394
45	-0.001439	-0.002788
46	-0.002624	-0.00338
47	-0.002525	-0.004663
48	-0.000814	-0.001406
49	0.000107	-0.003545
50	-0.001341	-0.001637
51	-0.003347	-0.00065
52	-0.001275	0.001324
53	-9e-05	-0.002064
54	-0.0019	0.001028
55	-0.000781	-0.000551
56	-0.00088	-0.002163
57	-0.002426	-0.002064
58	-0.001406	-0.003249
59	-0.003841	-0.002525
60	-0.002393	-0.001834
61	-0.002525	-0.002887
62	-0.00292	-0.001999
63	-0.000748	-0.001406
64	-0.003676	-0.00338
65	-0.002295	-0.00065
66	-0.002328	-0.003018
67	0.000666	-0.001735
68	-0.003183	-0.002624
69	0.000173	-0.000321
70	-0.003578	-0.000847
71	-0.002624	0.001193
72	-0.001439	0.00037
73	-0.003907	0.002015
74	-0.001505	0.001193
75	-0.001472	-0.002229
76	-0.001143	-0.001867
77	-0.002854	-0.001571
78	-0.001966	-0.002657
79	-0.004828	-0.003413
80	-0.001867	-0.001768
81	-0.002624	-0.004038
82	-0.003183	0.003232
83	-0.004236	-0.004894
84	-0.007328	0.000897
85	-0.004598	-0.004071
86	-0.001308	-0.004104
87	-0.002393	-0.002953
88	0.000864	0.001061
89	-0.001275	-0.001703
90	-0.001472	0.001883
91	-0.001308	-0.002459
92	-0.001768	-0.002788
93	-0.001538	-0.001341
94	-0.002657	-0.003644
95	-0.001999	-0.001538
96	-0.003578	-0.004565
97	-0.000683	-0.004104
98	-0.002558	-0.003676
99	-0.002295	-0.000584
100	-0.001637	-0.00236
101	8e-06	-0.001439
102	-0.002064	-0.002229
103	-0.000781	-0.001801
104	-0.002755	-0.001341
105	0.000403	-0.000321
106	0.002443	-0.002657
107	-0.000551	-0.001143
108	0.001061	0.000304
109	-0.00292	-0.001341
110	-0.000551	0.001752
111	-0.001768	-0.001933
112	-0.001505	-5.8e-05
113	-0.003578	-0.001604
114	-0.001637	0.000304
115	-0.00394	-0.000781
116	-0.002558	-0.001735
117	-0.00292	-0.002262
118	-0.001768	-0.00236
119	-0.001472	-0.001275
120	-0.00088	-0.001045
121	-0.000913	-0.000814
122	-0.000748	-0.002459
123	-0.002986	0.000239
124	-0.001999	0.001291
125	-0.000255	0.001028
126	-0.003315	-0.002459
127	-0.003117	0.000666
128	-0.001768	-0.001999
129	-0.001538	-0.001341
130	-0.00338	-0.002459
131	-0.000979	-0.001604
132	-0.00338	-0.002163
133	-0.005124	-0.000419
134	-0.00167	-0.003479
135	-9e-05	-0.005881
136	-0.003282	-0.003084
137	-0.003282	-0.003808
138	-0.002492	-0.00167
139	-0.001735	0.001291
140	-0.000354	-0.003216
141	-0.002328	-0.003084
142	0.000469	-0.003808
143	-0.00111	-0.001867
144	-0.001834	-0.001045
145	0.000436	-0.001966
146	-0.002032	-0.001801
147	-0.003347	-0.001604
148	-0.001143	-0.00338
149	-0.002689	-0.00111
150	-0.001341	-0.001505
151	-0.001966	-0.002689
152	-0.002525	-0.003315
153	-0.000288	-0.002064
154	-0.001801	-0.003117
155	0.000304	-0.001604
156	-0.004005	-0.001604
157	-0.001966	0.000568
158	0.00014	-2.5e-05
159	-0.001012	0.000633
160	-0.001077	-0.001242
161	0.000765	0.00037
162	-0.000913	-0.001505
163	-0.001604	-0.001604
164	-0.002196	-0.001176
165	-0.002986	-0.000716
166	-0.002492	-0.004499
167	-0.002854	-0.001538
168	-0.002032	-0.003282
169	-0.002591	-0.002854
170	-0.000485	-0.003676
171	-0.002032	-0.001933
172	-0.001045	-0.000156
173	-0.001472	-0.005552
174	-0.000584	-0.002393
175	-0.001999	-0.002986
176	0.000271	-0.000354
177	-0.001472	-0.002163
178	-0.001406	-0.00065
179	-0.002328	-0.002821
180	-0.003282	-0.001604
181	-0.004236	-0.0019
182	-0.003545	-0.001012
183	-0.004137	-0.003282
184	-0.004104	-0.001143
185	0.000206	-0.005058
186	-0.001143	-0.002295
187	0.000271	-0.001966
188	-0.000485	-0.002755
189	-0.001045	-0.000123
190	-0.001703	-0.003183
191	0.00014	-0.001012
192	-0.001637	-0.001933
193	0.000798	-0.001538
194	-0.001801	-0.002229
195	0.001258	0.002476
196	-0.000617	-0.003578
197	-0.002163	-0.000419
198	-0.001012	-0.00315
199	-0.001176	-0.003051
200	-0.001308	-0.001538
201	-0.004729	-0.002328
202	-0.002163	-0.001604
203	-0.000189	-0.000617
204	-0.002887	-0.001176
205	-0.00496	-0.001341
206	0.000206	0.002574
207	-0.002492	-0.000321
208	0.000502	-0.001933
209	-0.0019	-5.8e-05
210	0.001587	-0.001406
211	-0.001012	-0.002032
212	-0.00213	0.000337
213	-0.001801	-0.001143
214	-0.001735	0.000107
215	-0.002459	-0.000551
216	-0.001604	-0.003578
217	-0.00236	-0.001604
218	-0.003775	-0.001933
219	-0.002229	-0.001966
220	-0.002591	-0.001604
221	-0.000518	-0.002295
222	-0.003446	-0.001999
223	-0.002262	-0.002262
224	-0.00213	-0.00292
225	-0.000814	-0.005453
226	-0.001604	-0.00315
227	0.000502	-0.002722
228	-0.002163	-0.003347
229	-0.003611	0.000107
230	-0.002689	-0.002262
231	-0.00292	-0.001637
232	-0.003611	-0.00088
233	-0.001406	-0.002196
234	-0.000847	-0.000321
235	-0.002525	-0.004104
236	0.001028	0.000732
237	-0.003347	-0.000781
238	-0.000156	-0.000321
239	-0.003775	-0.002624
240	-0.00111	0.000107
241	-0.001538	-0.001867
242	-0.001538	-0.00315
243	-0.000387	-0.00338
244	-0.002262	-0.00111
245	0.000173	-2.5e-05
246	-0.000452	-0.001966
247	-0.001308	0.000173
248	-0.001143	-0.002196
249	-0.000518	-2.5e-05
250	-0.00236	-0.00236
251	0.004219	0.004976
252	0.010602	0.011194
253	0.01807	0.020208
254	0.024847	0.028367
255	0.038007	0.039454
256	0.038928	0.03952
257	0.046988	0.052186
258	0.057878	0.052976
259	0.060082	0.063372
260	0.069623	0.069359
261	0.075775	0.072814
262	0.080709	0.081762
263	0.087191	0.086829
264	0.090842	0.091599
265	0.09479	0.096369
266	0.102028	0.101798
267	0.105285	0.10489
268	0.111207	0.110286
269	0.112161	0.112819
270	0.117688	0.118774
271	0.119399	0.121471
272	0.124663	0.125485
