Ladekurvenmessung
Zeit: 2018_05_02 15.13.46
Info: FVA3, v = 0.1510, T = 40, F = 20, h = 123.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	7.4e-05	0.00014	-0.000913	-0.001242	7.4e-05	0.003265
1	-9e-05	7.4e-05	0.003397	-0.004367	-2.5e-05	0.002443
2	-0.000518	8e-06	0.001916	-0.000781	-0.000123	0.002805
3	-0.000814	8e-06	0.002278	0.000502	-0.000123	0.001127
4	0.000864	-5.8e-05	-0.002032	0.000535	-9e-05	0.003496
5	-0.001768	-5.8e-05	0.003068	-0.000321	8e-06	-0.000222
6	-0.000814	-9e-05	0.002739	-0.001472	8e-06	-0.000189
7	-0.001439	-0.000156	0.003002	-0.005585	7.4e-05	0.001653
8	-0.000321	4.1e-05	0.003528	-0.004038	7.4e-05	0.000173
9	-0.001143	8e-06	0.000107	-0.005091	0.000107	0.002673
10	-0.002459	0.000107	0.000864	-0.003874	0.00014	-0.002459
11	-0.00065	0.000107	0.002443	-0.004565	8e-06	-9e-05
12	-0.001176	0.00014	0.000962	-0.005617	-2.5e-05	-0.003018
13	-0.001077	4.1e-05	0.001489	-0.000946	-9e-05	0.000107
14	-0.000156	-5.8e-05	0.002344	-0.001834	-9e-05	0.000206
15	0.002936	-9e-05	0.000666	-0.00236	-0.000156	-0.002393
16	0.000929	-0.000123	0.002048	-0.000584	-5.8e-05	-0.00394
17	0.000666	-9e-05	0.00116	0.000699	7.4e-05	-0.003084
18	-0.000518	-0.000156	0.001258	-0.002032	0.00014	-0.000255
19	-0.00213	-2.5e-05	0.000436	-0.000354	4.1e-05	0.00037
20	-0.000814	8e-06	0.00287	-0.000946	0.00014	-0.000748
21	-0.000189	7.4e-05	0.002607	-0.000452	0.000107	0.004384
22	-0.002887	0.000107	0.001851	-0.003578	4.1e-05	0.007411
23	-0.001571	0.00014	0.000699	-0.007262	-5.8e-05	0.0057
24	-0.001275	7.4e-05	0.004515	-0.005519	-2.5e-05	0.005996
25	8e-06	8e-06	0.001258	-0.003084	-9e-05	0.006029
26	-0.000518	-2.5e-05	0.002706	-0.004565	-0.000123	0.008101
27	0.000107	-9e-05	0.003298	-0.006012	-0.000123	0.003528
28	-0.000518	-9e-05	0.002706	0.000239	7.4e-05	0.005798
29	-0.000156	-5.8e-05	0.002936	-0.005387	0.00014	0.004318
30	0.000962	4.1e-05	0.001423	-0.001143	-2.5e-05	0.004088
31	-0.002624	4.1e-05	0.003759	-0.003084	0.000206	0.001291
32	0.001554	4.1e-05	0.002607	-0.00394	7.4e-05	0.004647
33	4.1e-05	0.00014	0.001028	-0.003084	-5.8e-05	-0.001505
34	0.001587	0.000107	8e-06	-0.001834	-5.8e-05	7.4e-05
35	0.000337	0.000107	0.002147	-0.002196	7.4e-05	0.001193
36	0.00241	-2.5e-05	-0.000452	0.003594	-0.000123	-0.000288
37	-0.000551	-5.8e-05	-0.001439	-0.003446	4.1e-05	0.00116
38	-0.000814	-0.000123	0.000897	0.001193	0.000107	-0.001242
39	-0.001867	-9e-05	0.001291	-0.000617	7.4e-05	-0.005815
40	-0.00065	-0.000156	0.001949	-0.003347	4.1e-05	-0.003018
41	0.000271	-2.5e-05	0.003726	-0.003808	7.4e-05	-0.000321
42	-0.000518	7.4e-05	0.005272	-0.002788	7.4e-05	-0.001768
43	-0.00088	0.000173	0.00014	-0.001406	0.000107	0.000304
44	0.00037	0.000107	0.003035	-0.001045	-2.5e-05	-0.000156
45	0.00116	4.1e-05	0.000271	-5.8e-05	-5.8e-05	0.001554
46	0.000271	0.000239	0.004186	-0.00292	-9e-05	-0.001703
47	-0.000156	-2.5e-05	0.002081	0.001587	-0.000123	0.000732
48	0.000633	8e-06	0.003561	-0.00213	-9e-05	0.000337
49	0.002048	-0.000123	4.1e-05	-0.001966	-5.8e-05	0.000436
50	0.001982	-2.5e-05	0.001785	-0.001867	8e-06	-0.002854
51	0.000666	-0.000156	0.001061	-0.002821	7.4e-05	-0.001637
52	0.003496	-9e-05	0.001094	-0.003907	4.1e-05	-0.000683
53	7.4e-05	4.1e-05	-0.000354	0.000469	4.1e-05	-0.002492
54	0.001094	4.1e-05	-0.000716	-0.001933	0.00014	-0.003051
55	0.000206	4.1e-05	0.000436	-0.001571	4.1e-05	-0.001801
56	-0.001637	0.000206	-0.002657	-0.003051	8e-06	-0.000913
57	-0.000979	4.1e-05	0.000765	-0.004663	-5.8e-05	-0.003775
58	0.000633	-2.5e-05	0.001818	-0.00338	-0.000123	-0.001571
59	-0.00292	-2.5e-05	4.1e-05	-0.003676	-9e-05	-0.003084
60	-0.001735	-2.5e-05	0.001752	-0.00394	-5.8e-05	0.001554
61	-0.002854	-9e-05	0.00366	-0.004696	4.1e-05	-0.002887
62	0.000403	-0.000123	0.001653	-0.002887	7.4e-05	0.000666
63	-0.001439	-5.8e-05	0.002509	-0.005354	7.4e-05	-0.000387
64	-0.000551	8e-06	0.002245	-0.000452	7.4e-05	-0.00088
65	0.000206	4.1e-05	-0.001472	-0.001505	0.00014	-9e-05
66	0.001653	7.4e-05	8e-06	-0.003018	4.1e-05	4.1e-05
67	0.000633	0.000107	0.000173	-0.004992	-2.5e-05	-0.001012
68	0.001324	7.4e-05	-0.003841	-0.000354	-0.000123	-0.003117
