Ladekurvenmessung
Zeit: 2018_05_02 15.18.38
Info: FVA3, v = 0.2937, T = 40, F = 20, h = 189.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.003726	0.007378	-0.002624	0.003923	0.00116
1	0.005272	0.012016	0.002048	0.009615	-0.000814
2	0.006884	0.010832	0.002114	0.009023	0.000502
3	0.006095	0.007937	-0.000748	0.008924	-9e-05
4	0.005305	0.008332	0.001587	0.006325	-0.000419
5	0.003956	0.008299	0.000239	0.012444	0.001291
6	-0.002755	0.006095	-0.000716	0.006259	-9e-05
7	0.000469	0.009384	0.000666	0.011556	0.001818
8	0.000469	0.004351	0.000798	0.009845	0.00241
9	0.001193	0.008233	0.000732	0.012049	0.000107
10	0.003232	0.008496	0.002969	0.010371	4.1e-05
11	0.002541	0.010174	0.000271	0.009911	-0.001538
12	0.004384	0.007082	-0.000683	0.012609	-0.000156
13	0.008858	0.006588	0.002114	0.012148	0.000107
14	0.007509	0.004746	0.000897	0.009845	0.000699
15	0.005338	0.005404	0.000403	0.009713	-0.000452
16	0.0082	0.004746	0.000436	0.003989	-0.000288
17	0.0057	0.006193	0.00287	0.007443	-0.000321
18	0.004154	0.005535	0.005338	0.00945	0.000633
19	0.00468	0.005634	0.003857	0.007213	-0.000584
20	0.005042	0.004384	0.003726	0.011062	-0.000156
21	0.000962	0.004877	0.002476	0.009911	-2.5e-05
22	0.00139	0.010931	0.002772	0.013431	0.000798
23	0.004976	0.009417	0.001423	0.013793	-0.00088
24	0.004581	0.009713	-0.00394	0.012082	0.000403
25	0.004779	0.003397	0.004055	0.007542	0.00162
26	0.002936	0.007476	0.000107	0.014122	0.006095
27	0.005108	0.005502	0.000864	0.010108	0.006687
28	0.004154	0.00672	-0.000551	0.007707	0.005009
29	0.001982	0.006391	0.000699	0.013069	0.00922
30	0.004219	0.007279	0.002805	0.0107	0.00843
