Ladekurvenmessung
Zeit: 2018_05_02 15.23.12
Info: FVA3, v = 0.5753, T = 40, F = 20, h = 293.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	0.001028	-0.013776	0.000271	0.000337	0.002969	-0.011638	-0.007131
1	0.001324	-0.011177	0.001061	0.002015	0.002048	-0.013908	-0.007197
2	-0.001538	-0.011671	-2.5e-05	-0.002459	0.003496	-0.012197	-0.010092
3	-0.000551	-0.013316	0.006193	0.004647	0.00343	-0.011309	-0.006177
4	0.001324	-0.013184	0.00139	0.003726	0.002739	-0.013941	-0.004992
5	-0.002196	-0.013645	0.000897	0.002443	0.001489	-0.013744	-0.008052
6	-0.000584	-0.013579	0.001522	0.002509	0.000469	-0.009829	-0.00644
7	0.000403	-0.017494	0.00037	0.005798	-0.00213	-0.013217	-0.008743
8	-0.000354	-0.013546	-0.007756	0.001851	0.000502	-0.009697	-0.007657
9	0.00162	-0.013118	-0.002953	0.000633	-0.001735	-0.012789	-0.007262
10	-0.000946	-0.01325	0.001357	0.002509	0.002147	-0.009664	-0.010519
11	-0.000123	-0.00769	-0.000387	0.004022	-0.000288	-0.010092	-0.006802
12	0.000666	-0.005124	0.000535	0.001456	0.001423	-0.01121	-0.010618
13	-0.002295	-0.005683	-0.002591	0.002936	-0.000321	-0.012329	-0.008249
14	0.002344	-0.007131	0.003199	0.002443	0.004614	-0.011835	-0.004729
15	0.0006	-0.007065	-0.002722	0.003528	0.004384	-0.010289	-0.007295
16	0.000897	-0.005223	-0.002788	0.006095	-0.002295	-0.01121	-0.005848
17	0.002509	-0.006868	0.001785	0.00445	0.002541	-0.008677	-0.006901
18	0.001752	-0.009598	-0.00542	0.004384	0.000831	-0.011539	-0.009829
19	0.00014	-0.005091	-0.002426	0.001094	-0.001374	-0.007526	-0.007888
20	0.000535	-0.004992	-0.003841	-0.00213	-0.000584	-0.00871	-0.010092
21	0.004417	-0.00519	-0.002393	-0.000551	0.000337	-0.008348	-0.009006
22	0.002311	-0.007262	-0.004038	-0.000617	-0.001012	-0.016836	-0.009434
23	0.000535	-0.002953	-0.002459	-0.001538	0.003726	-0.00723	-0.007657
24	0.002245	-0.010026	-0.005815	0.00139	0.001193	-0.010388	-0.012658
25	0.001883	-0.007197	-0.004137	0.001883	0.002838	-0.008085	-0.006736
26	0.00162	-0.009532	-0.007328	0.003496	0.001094	-0.007756	-0.008447
27	-0.002163	-0.005157	-0.001341	0.000897	0.000436	-0.006802	-0.01075
