Ladekurvenmessung
Zeit: 2018_05_02 15.23.47
Info: FVA3, v = 0.5753, T = 40, F = 20, h = 293.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	0.008463	-0.001867	0.000107	0.00241
1	0.011852	-0.002163	0.003199	0.008299
2	0.009154	-0.000419	-0.001999	0.003561
3	0.011227	-0.00088	-0.005552	0.003035
4	0.013365	-0.003742	0.001094	0.00445
5	0.011556	-0.003775	-5.8e-05	0.000765
6	0.011424	-0.003051	4.1e-05	0.00389
7	0.012082	-0.008184	0.003101	0.002509
8	0.010141	-0.003775	0.003792	0.003101
9	0.011589	-0.004598	0.003561	0.001916
10	0.010141	-0.00894	0.000831	0.003068
11	0.008759	-0.008677	0.003561	0.001423
12	0.01047	-0.001176	0.005535	0.001752
13	0.006785	-0.004038	0.003627	-0.000551
14	0.006588	-0.011474	0.00445	0.004154
15	0.008661	-0.005782	0.00139	0.005009
16	0.008397	-0.012263	0.005437	0.00264
17	0.00695	-0.006341	0.003594	0.004713
18	0.008266	-0.011605	0.001653	0.001785
19	0.008266	-0.002163	0.004318	0.002311
20	0.005338	-0.001966	0.00389	0.000173
21	0.005206	-0.006966	-0.000452	0.005404
22	0.00774	-0.001834	0.003265	0.000403
23	0.007411	-0.006933	0.004088	0.002443
24	0.00899	-0.006999	0.002377	-0.001242
25	0.006884	-0.009829	0.00389	0.001324
26	0.005404	-0.008249	0.005864	0.000831
27	0.00672	-0.013579	0.003068	-0.000123
28	0.006391	-0.012658	0.002838	-0.000716
29	0.007279	-0.017922	0.003627	0.001982
30	0.006687	-0.019271	0.003726	-0.001604
31	0.002772	-0.017198	0.004844	0.00116
32	0.00468	-0.021508	0.000173	0.003528
33	0.001719	-0.021343	0.005173	-0.001077
34	0.008661	-0.021606	0.00287	-0.000189
35	0.005009	-0.02131	0.003068	-0.00394
36	0.000403	-0.025061	0.002147	0.002048
37	0.002969	-0.025225	0.004713	0.000502
38	0.002936	-0.02868	-0.000584	0.000239
39	0.005338	-0.026179	0.001554	-0.002986
40	0.002574	-0.029173	0.001686	0.001225
41	0.006489	-0.02812	0.002147	-0.003315
42	0.00264	-0.029996	0.002311	-0.005683
43	-0.000189	-0.03118	-0.001735	-0.002854
44	0.002114	-0.03243	-0.000617	-0.003644
45	0.002377	-0.030358	0.001686	-0.003216
46	0.002311	-0.03095	0.003923	-0.002196
47	0.001522	-0.031213	-0.003413	-0.000485
48	0.001653	-0.032233	0.004088	-0.000485
49	0.002212	-0.031739	0.001554	-0.002328
50	0.001423	-0.030884	0.0006	-0.002262
51	0.000436	-0.032331	0.001258	0.004186
52	0.002081	-0.03197	0.004318	-0.003347
53	-0.000518	-0.033121	0.002607	-0.00167
54	0.00218	-0.033351	0.000699	-0.00167
55	0.000502	-0.032068	0.000304	0.000239
56	0.001423	-0.026574	0.000568	-0.002657
57	-0.001045	-0.030061	-0.000518	-0.001505
58	0.000798	-0.030522	0.000929	-0.000189
59	-0.000387	-0.030358	0.003726	-0.001472
60	0.002443	-0.027693	-0.001275	-0.002689
61	-0.000123	-0.031575	0.001291	-0.000518
62	0.001752	-0.028252	-0.000387	-0.002064
63	0.001851	-0.036115	0.001883	-0.002986
64	-0.002196	-0.031345	-0.000189	-0.000617
65	-0.004696	-0.033318	0.00343	-0.001834
66	-0.002426	-0.033187	-0.001242	-0.000288
67	-0.001143	-0.03243	0.00037	-0.002295
68	-0.003808	-0.02868	0.000995	-0.002624
69	0.000502	-0.032299	-0.002229	-0.001867
70	-0.001999	-0.031674	-0.000419	0.000304
71	-0.001439	-0.034898	-0.001801	-0.001242
72	-0.002064	-0.033253	0.001127	0.000995
73	0.000107	-0.030127	0.001982	0.000897
74	-0.00065	-0.033647	-0.001045	-0.002097
75	-0.000748	-0.030884	0.00162	-0.002986
76	-0.000617	-0.031937	0.004055	0.000666
77	-0.000485	-0.030127	0.001818	-0.0044
78	0.001489	-0.032693	0.003232	-0.001834
79	-0.000288	-0.029502	0.002607	-0.003183
80	0.000962	-0.031279	0.002772	-0.000189
81	0.0006	-0.031443	0.002278	0.001785
82	-0.000617	-0.029239	0.001883	4.1e-05
83	0.001785	-0.030818	0.001916	0.002147
84	0.003726	-0.03322	0.002147	-0.000156
85	0.00014	-0.033318	0.001423	-0.001801
86	0.003232	-0.030917	0.003496	-0.000617
87	0.001587	-0.035391	0.00037	-0.001045
88	0.000337	-0.033549	0.001456	-0.000354
89	-0.000452	-0.035391	0.002212	0.000502
90	-0.00088	-0.031937	0.002245	-0.003347
