Ladekurvenmessung
Zeit: 2018_05_02 15.27.09
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1
0	0.014352
1	0.012148
2	0.010108
3	0.011885
4	0.00899
5	0.011852
6	0.011029
7	0.011227
8	0.004417
9	0.007213
10	0.006687
11	0.008167
12	0.005239
13	0.004976
14	0.00774
15	0.006259
16	0.006522
17	0.008595
18	0.008299
19	0.004515
20	0.008299
21	0.006029
22	0.004318
23	0.005601
24	0.005963
25	0.00366
26	0.004055
27	0.001851
28	0.005502
29	0.001719
30	0.005009
31	0.002772
32	0.006753
33	0.005963
34	0.003561
35	0.007641
36	0.002541
37	0.008397
38	0.003364
39	0.006753
40	0.001587
41	0.003364
42	0.003298
43	0.005733
44	0.003199
45	0.002706
46	0.003594
47	0.000337
48	0.001818
49	-0.00315
50	0.004285
51	0.00014
52	0.007509
53	0.003364
54	0.00774
55	0.005206
56	0.007345
57	0.004055
58	0.00468
59	0.003068
60	0.003528
61	0.00287
62	0.003134
63	0.004055
64	0.000929
65	0.0057
66	0.003759
67	0.007772
68	0.004548
69	0.00843
70	0.006687
71	0.007246
72	0.003989
73	0.005897
74	0.005305
75	0.004186
76	0.003397
77	0.002015
78	0.003068
79	0.002509
80	0.002114
81	0.00014
82	0.00366
83	0.002739
84	0.00264
85	0.003397
86	0.003693
87	0.003364
88	0.008924
89	0.000469
90	0.003989
91	0.00491
92	0.004581
93	0.002673
94	0.003693
95	0.003463
96	0.003134
97	0.005338
98	0.006062
99	0.007082
100	0.004186
101	0.003364
102	0.003825
103	0.004548
104	0.003956
105	0.006851
106	0.000502
107	0.009779
108	0.004548
109	0.004219
110	0.005075
111	0.00491
112	0.003298
113	0.003298
114	0.003331
115	0.002114
116	0.005667
117	0.00162
118	0.004318
119	-5.8e-05
120	0.004713
121	0.001357
122	0.005371
123	0.003002
124	0.004022
125	0.005535
126	0.004022
127	0.002212
128	0.000304
129	0.002706
130	0.002903
131	0.00241
132	-0.000584
133	0.003956
134	0.001291
135	0.001752
136	0.001949
137	0.003463
138	0.002509
139	0.002476
140	0.001522
141	0.005108
142	0.002212
143	0.003232
144	0.006029
145	-5.8e-05
146	-0.000683
147	0.003397
148	0.003397
149	0.002509
150	0.003792
151	0.003134
152	0.001818
153	0.002936
154	0.003134
155	0.005864
156	0.004055
157	0.00218
158	0.003759
159	0.004417
160	0.002344
161	0.004779
162	0.003101
163	0.003759
164	0.00468
165	0.00468
166	-0.004137
167	0.00116
168	0.00287
169	0.002443
170	0.004581
171	0.009582
172	0.009154
173	0.008167
174	0.008628
175	0.006917
176	0.007213
177	0.004252
178	0.007016
179	0.005075
180	0.006424
181	0.008266
182	0.008496
183	0.006555
184	0.007904
185	0.007443
186	0.010898
187	0.010174
188	0.011391
189	0.009845
190	0.012872
191	0.010799
192	0.011951
193	0.013497
194	0.010931
195	0.011293
196	0.011029
197	0.01047
198	0.008003
199	0.009055
200	0.01047
201	0.010108
202	0.007443
203	0.012016
204	0.011687
205	0.012773
206	0.010042
207	0.014254
208	0.012674
209	0.011589
210	0.013003
211	0.013398
212	0.011885
213	0.010174
214	0.012806
215	0.009779
216	0.010437
217	0.010174
218	0.014813
219	0.010404
220	0.010437
221	0.010075
222	0.011391
223	0.007641
224	0.009713
225	0.008726
226	0.009713
227	0.009681
228	0.007345
229	0.007246
230	0.005996
231	0.0107
232	0.004548
233	0.008134
234	0.004055
235	0.006884
236	0.005601
237	0.005634
238	0.007082
239	0.004548
240	0.006193
241	0.006522
242	0.006029
243	0.00695
244	0.009352
245	0.005173
246	0.008233
247	0.005831
248	0.008661
249	0.010536
250	0.003726
251	0.007312
252	0.016524
253	0.022906
254	0.028795
255	0.039553
256	0.04735
257	0.054193
258	0.058009
259	0.064786
260	0.069261
261	0.077189
262	0.081236
263	0.086204
264	0.088605
265	0.094395
266	0.10387
267	0.107127
268	0.105318
269	0.113477
270	0.115352
271	0.118938
272	0.125024
273	0.131966
274	0.134203
275	0.135157
276	0.141046
277	0.138645
278	0.145356
279	0.142329
280	0.149106
281	0.149041
282	0.153219
283	0.157298
284	0.159766
285	0.160358
286	0.164832
287	0.164404
288	0.165852
289	0.168879
290	0.169274
291	0.173189
292	0.173715
293	0.175524
294	0.178419
295	0.179933
296	0.17661
297	0.181249
298	0.181084
299	0.18546
300	0.188783
301	0.187203
302	0.183946
303	0.188487
304	0.185855
305	0.189112
306	0.188881
307	0.190395
308	0.192632
309	0.192138
310	0.194277
311	0.186907
312	0.193882
313	0.191316
314	0.196053
315	0.190888
316	0.1976
317	0.18875
318	0.195165
319	0.195955
320	0.195527
321	0.199245
322	0.195395
323	0.19602
324	0.195922
325	0.199014
326	0.196218
327	0.195066
328	0.193191
329	0.195922
330	0.198389
331	0.199146
332	0.192533
333	0.196152
334	0.198619
335	0.200297
336	0.197501
337	0.198225
338	0.200824
339	0.19477
340	0.19931
341	0.198883
342	0.198817
343	0.197468
344	0.198422
345	0.200495
