Ladekurvenmessung
Zeit: 2018_05_03 11.52.10
Info: FVA3, v = 0.273, T = 60, F = 20, h = 144.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11
0	-0.004128	0.001625	-0.00347	-1.9e-05	-0.001498	-1.9e-05	0.000803	0.00031	-0.001498	0.001296	0.004583
1	-0.001005	-0.002155	0.000967	-1.9e-05	0.000146	0.000146	0.002447	0.000803	-0.002484	0.001954	0.006391
2	-0.002155	0.000967	-0.002484	0.00031	-0.001991	0.000146	-0.00347	0.000474	-0.004128	0.000967	0.00935
3	0.000803	-0.001498	0.001625	-1.9e-05	0.000474	0.00031	0.001132	0.00031	-0.001827	-0.002155	0.004912
4	-0.000676	-0.001169	-0.001991	0.000146	-0.003799	0.00031	-0.004128	0.000146	0.00031	0.001296	0.004255
5	0.00294	0.000639	-0.002813	-0.000347	-1.9e-05	-1.9e-05	0.000474	0.000146	-0.002813	-0.001498	0.007542
6	-0.000841	-0.000183	-0.000347	-0.000512	-0.000512	-0.000347	-0.000183	0.000146	-0.001827	-0.001827	0.004912
7	-0.000841	-0.001334	-0.002648	-0.000841	-1.9e-05	-0.000512	-0.002155	-1.9e-05	0.000803	0.003761	0.009185
8	0.001296	0.001625	-0.000183	-0.000512	-0.000676	-0.000512	-0.000183	-0.000183	-0.003635	0.002118	0.001789
9	-0.00232	0.00031	-0.003142	-0.000347	-0.001005	-0.000347	0.000639	-0.000676	-1.9e-05	0.001954	0.005569
10	-0.005607	-0.000183	0.001296	-0.000183	0.00031	-0.000512	-0.000347	-0.000183	-0.002813	0.001789	0.002447
11	-0.003142	0.000474	-0.001662	-1.9e-05	-0.000841	-0.000347	0.00294	-0.000512	-0.002813	0.003104	-0.00232
12	-0.002155	-0.002155	-0.001334	0.000146	-0.002648	-1.9e-05	-0.001334	-0.000183	-0.001662	0.000639	-0.004621
13	-0.001827	-0.001498	-0.000183	0.00031	-0.000347	0.000146	0.001296	-0.000183	-0.001498	-0.001005	-0.008894
14	-0.003306	0.000803	0.006884	0.000146	0.002118	0.00031	0.00031	-1.9e-05	-0.001169	-0.000183	-0.001991
15	-0.002155	-0.000183	-0.003635	-1.9e-05	-0.002155	0.00031	0.000146	0.000474	-0.001334	0.000967	-0.00347
16	0.00031	-0.000512	-0.000841	-0.000347	-0.000347	0.000146	0.000146	0.000146	0.000967	0.000474	-0.000841
